Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:42:00-000;2.8;2.8;2.8;2.8;1397;2.8021
29.11.2021;07:01:00-000;2.93;2.93;2.93;2.93;100;2.93
29.11.2021;07:23:00-000;2.91;2.91;2.91;2.91;4500;2.91
29.11.2021;07:28:00-000;2.92;2.92;2.92;2.92;30000;2.92
29.11.2021;07:38:00-000;2.93;2.93;2.93;2.93;31184;2.93
29.11.2021;07:46:00-000;2.93;2.93;2.93;2.93;100;2.93
29.11.2021;08:03:00-000;2.94;2.95;2.94;2.95;24723;2.9498
29.11.2021;08:10:00-000;2.95;2.95;2.95;2.95;200;2.95
29.11.2021;08:15:00-000;2.96;2.96;2.96;2.96;3100;2.96
29.11.2021;08:16:00-000;2.97;2.97;2.97;2.97;400;2.97
29.11.2021;08:17:00-000;2.97;2.97;2.97;2.97;1300;2.97
29.11.2021;08:18:00-000;2.97;2.97;2.97;2.97;1300;2.97
29.11.2021;08:19:00-000;2.97;2.97;2.97;2.97;1510;2.97
29.11.2021;08:20:00-000;2.97;2.97;2.97;2.97;100;2.97
29.11.2021;08:21:00-000;2.97;2.97;2.96;2.96;250;2.966
29.11.2021;08:22:00-000;2.97;2.97;2.97;2.97;400;2.97
29.11.2021;08:23:00-000;2.97;2.97;2.97;2.97;7800;2.97
29.11.2021;08:25:00-000;2.98;2.98;2.98;2.98;2035;2.98
29.11.2021;08:27:00-000;2.97;2.97;2.96;2.96;11100;2.9611
29.11.2021;08:28:00-000;2.96;2.96;2.96;2.96;2600;2.96
29.11.2021;08:29:00-000;2.96;2.96;2.96;2.96;100;2.96
29.11.2021;08:38:00-000;2.95;2.95;2.95;2.95;1900;2.95
29.11.2021;08:45:00-000;2.95;2.95;2.95;2.95;5800;2.95
29.11.2021;08:47:00-000;2.95;2.96;2.95;2.96;44900;2.95
29.11.2021;08:48:00-000;2.96;2.96;2.96;2.96;100;2.96
29.11.2021;08:49:00-000;2.96;2.96;2.96;2.96;100;2.96
29.11.2021;08:51:00-000;2.96;2.96;2.96;2.96;300;2.96
29.11.2021;08:53:00-000;2.96;2.96;2.96;2.96;200;2.96
29.11.2021;08:54:00-000;2.95;2.95;2.95;2.95;1000;2.95
29.11.2021;08:55:00-000;2.95;2.95;2.95;2.95;300;2.95
29.11.2021;08:56:00-000;2.95;2.95;2.95;2.95;200;2.95
29.11.2021;09:05:00-000;2.95;2.95;2.95;2.95;701;2.95
29.11.2021;09:17:00-000;2.95;2.95;2.95;2.95;200;2.95
29.11.2021;09:18:00-000;2.95;2.95;2.95;2.95;100;2.95
29.11.2021;09:20:00-000;2.96;2.96;2.96;2.96;400;2.96
29.11.2021;09:22:00-000;2.96;2.96;2.96;2.96;100;2.96
29.11.2021;09:23:00-000;2.96;2.96;2.96;2.96;650;2.96
29.11.2021;09:27:00-000;2.97;2.97;2.95;2.96;12663;2.9634
29.11.2021;09:28:00-000;2.96;2.96;2.96;2.96;1500;2.96
29.11.2021;09:29:00-000;2.96;2.96;2.96;2.96;205;2.96
29.11.2021;09:30:00-000;2.96;2.97;2.95;2.95;92008;2.9604
29.11.2021;09:31:00-000;2.95;2.95;2.9448;2.95;24117;2.9486
29.11.2021;09:32:00-000;2.9492;2.96;2.945;2.95;324175;2.9508
29.11.2021;09:33:00-000;2.95;2.9588;2.95;2.95;67380;2.9518
29.11.2021;09:34:00-000;2.95;2.96;2.95;2.95;4565;2.9511
29.11.2021;09:35:00-000;2.95;2.9589;2.95;2.95;3470;2.9518
29.11.2021;09:36:00-000;2.95;2.95;2.95;2.95;6564;2.9501
29.11.2021;09:37:00-000;2.95;2.96;2.95;2.95;30999;2.9526
29.11.2021;09:38:00-000;2.95;2.955;2.95;2.95;47951;2.9501
29.11.2021;09:39:00-000;2.95;2.9599;2.95;2.95;19085;2.951
29.11.2021;09:40:00-000;2.95;2.9515;2.95;2.95;7702;2.95
29.11.2021;09:41:00-000;2.95;2.955;2.95;2.95;32639;2.9502
29.11.2021;09:42:00-000;2.95;2.95;2.94;2.945;48258;2.9497
29.11.2021;09:43:00-000;2.94;2.94;2.94;2.94;1784;2.9401
29.11.2021;09:44:00-000;2.95;2.95;2.9487;2.9487;26200;2.9498
29.11.2021;09:45:00-000;2.945;2.95;2.9406;2.95;19173;2.9453
29.11.2021;09:46:00-000;2.945;2.945;2.94;2.945;4571;2.9447
29.11.2021;09:47:00-000;2.945;2.945;2.945;2.945;3801;2.945
29.11.2021;09:48:00-000;2.945;2.945;2.935;2.935;154320;2.94
29.11.2021;09:49:00-000;2.93;2.9365;2.93;2.935;5560;2.9331
29.11.2021;09:50:00-000;2.935;2.94;2.9311;2.9311;10295;2.9379
29.11.2021;09:51:00-000;2.935;2.935;2.935;2.935;2898;2.935
29.11.2021;09:52:00-000;2.93;2.935;2.92;2.925;61008;2.9287
29.11.2021;09:53:00-000;2.925;2.93;2.92;2.925;19181;2.9281
29.11.2021;09:54:00-000;2.93;2.93;2.925;2.925;79616;2.9294
29.11.2021;09:55:00-000;2.925;2.93;2.925;2.93;4517;2.9276
29.11.2021;09:56:00-000;2.925;2.94;2.925;2.9328;136551;2.93
29.11.2021;09:57:00-000;2.935;2.935;2.93;2.93;228255;2.9309
29.11.2021;09:58:00-000;2.93;2.9301;2.92;2.9267;85115;2.9297
29.11.2021;09:59:00-000;2.92;2.92;2.92;2.92;9010;2.92
29.11.2021;10:00:00-000;2.92;2.9218;2.92;2.92;6708;2.9203
29.11.2021;10:01:00-000;2.925;2.9292;2.92;2.925;41020;2.929
29.11.2021;10:02:00-000;2.925;2.925;2.91;2.9176;106437;2.9196
