Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:00:00-000;18;18.16;18;18;655;18.0496
29.11.2021;08:02:00-000;18.1;18.1;18.1;18.1;400;18.1
29.11.2021;08:36:00-000;18.17;18.17;18.17;18.17;390;18.1254
29.11.2021;08:52:00-000;18.17;18.17;18.17;18.17;137;18.17
29.11.2021;09:30:00-000;18.34;18.37;18.28;18.28;37454;18.3372
29.11.2021;09:31:00-000;18.315;18.315;18.28;18.28;833;18.298
29.11.2021;09:32:00-000;18.297;18.34;18.28;18.34;6358;18.312
29.11.2021;09:33:00-000;18.3594;18.3594;18.3398;18.34;1424;18.343
29.11.2021;09:34:00-000;18.31;18.33;18.31;18.31;3221;18.3271
29.11.2021;09:35:00-000;18.33;18.34;18.3283;18.34;2488;18.3347
29.11.2021;09:36:00-000;18.34;18.36;18.33;18.3484;4888;18.345
29.11.2021;09:37:00-000;18.35;18.35;18.33;18.33;2385;18.3451
29.11.2021;09:38:00-000;18.31;18.32;18.27;18.27;5821;18.2995
29.11.2021;09:39:00-000;18.2895;18.3;18.28;18.3;5404;18.2902
29.11.2021;09:40:00-000;18.27;18.28;18.255;18.27;3162;18.2707
29.11.2021;09:41:00-000;18.28;18.28;18.23;18.245;5901;18.2425
29.11.2021;09:42:00-000;18.255;18.258;18.24;18.24;1465;18.2457
29.11.2021;09:43:00-000;18.25;18.25;18.22;18.23;2339;18.2388
29.11.2021;09:44:00-000;18.23;18.23;18.21;18.21;2291;18.2137
29.11.2021;09:45:00-000;18.225;18.225;18.205;18.21;5530;18.2184
29.11.2021;09:46:00-000;18.21;18.22;18.2027;18.215;3834;18.2098
29.11.2021;09:47:00-000;18.22;18.23;18.22;18.225;2998;18.2238
29.11.2021;09:48:00-000;18.215;18.215;18.205;18.209;2493;18.2079
29.11.2021;09:49:00-000;18.2099;18.23;18.2099;18.21;6050;18.2177
29.11.2021;09:50:00-000;18.21;18.2109;18.2;18.21;3747;18.2049
29.11.2021;09:51:00-000;18.215;18.22;18.2;18.205;2163;18.2122
29.11.2021;09:52:00-000;18.2;18.21;18.1961;18.2;2745;18.2007
29.11.2021;09:53:00-000;18.2001;18.21;18.2;18.21;2236;18.2064
29.11.2021;09:54:00-000;18.22;18.23;18.22;18.225;2842;18.2261
29.11.2021;09:55:00-000;18.22;18.22;18.205;18.22;2193;18.2123
29.11.2021;09:56:00-000;18.23;18.2499;18.22;18.22;6739;18.2325
29.11.2021;09:57:00-000;18.21;18.22;18.2;18.21;2664;18.2063
29.11.2021;09:58:00-000;18.2;18.2041;18.18;18.185;3984;18.1933
29.11.2021;09:59:00-000;18.19;18.19;18.19;18.19;1188;18.1904
29.11.2021;10:00:00-000;18.175;18.19;18.1699;18.19;5429;18.1752
29.11.2021;10:02:00-000;18.19;18.19;18.18;18.1811;1930;18.1874
29.11.2021;10:03:00-000;18.18;18.18;18.17;18.17;1549;18.1788
29.11.2021;10:04:00-000;18.16;18.17;18.16;18.16;4229;18.1623
