Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;06:35:00-000;126.5;126.5;126.5;126.5;556;126.503
29.11.2021;08:00:00-000;127.26;127.26;127.26;127.26;1118;127.182
29.11.2021;09:07:00-000;126.32;126.32;126.32;126.32;100;126.32
29.11.2021;09:27:00-000;126.75;126.75;126.75;126.75;100;126.75
29.11.2021;09:29:00-000;126.3;126.4;126.25;126.4;517;126.309
29.11.2021;09:30:00-000;126.35;126.57;126.28;126.29;121618;126.378
29.11.2021;09:31:00-000;126.29;126.29;125.7;125.81;40499;125.937
29.11.2021;09:32:00-000;125.78;125.83;125.591;125.705;25928;125.723
29.11.2021;09:33:00-000;125.74;125.77;125.41;125.52;37853;125.547
29.11.2021;09:34:00-000;125.495;125.73;125.36;125.66;17797;125.515
29.11.2021;09:35:00-000;125.7;125.77;125.59;125.77;17235;125.666
29.11.2021;09:36:00-000;125.73;125.95;125.645;125.93;20855;125.752
29.11.2021;09:37:00-000;125.94;125.94;125.655;125.67;16523;125.802
29.11.2021;09:38:00-000;125.71;125.76;125.595;125.645;18853;125.659
29.11.2021;09:39:00-000;125.74;125.82;125.63;125.7;24458;125.743
29.11.2021;09:40:00-000;125.715;125.76;125.59;125.7;18794;125.677
29.11.2021;09:41:00-000;125.725;125.88;125.701;125.85;23645;125.823
29.11.2021;09:42:00-000;125.88;126;125.84;126;17270;125.894
29.11.2021;09:43:00-000;126.02;126.1;125.99;126.1;16874;126.028
29.11.2021;09:44:00-000;126.1;126.12;126.06;126.11;20284;126.092
29.11.2021;09:45:00-000;126.11;126.12;126.01;126.1;15900;126.079
29.11.2021;09:46:00-000;126.08;126.12;125.97;126.015;20738;126.059
29.11.2021;09:47:00-000;126.015;126.11;125.97;125.978;9227;126.043
29.11.2021;09:48:00-000;125.97;126.09;125.97;126.09;19026;126.028
29.11.2021;09:49:00-000;126.09;126.17;125.9;125.93;22167;126.086
29.11.2021;09:50:00-000;125.94;126.07;125.94;126.06;7438;125.999
29.11.2021;09:51:00-000;126.035;126.22;126.01;126.205;10235;126.089
