Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;43;43;43;43;698;43.0355
29.11.2021;09:34:00-000;42.4944;42.4944;42.4944;42.4944;276;42.6404
29.11.2021;09:47:00-000;42.91;42.91;42.91;42.91;149;42.9803
29.11.2021;09:49:00-000;42.55;42.55;42.55;42.55;917;42.6051
29.11.2021;09:52:00-000;42.61;42.665;42.59;42.665;1628;42.6142
29.11.2021;10:07:00-000;42.45;42.45;42.42;42.42;1352;42.4161
29.11.2021;10:08:00-000;42.41;42.41;42.41;42.41;119;42.401
29.11.2021;10:14:00-000;42.25;42.25;42.25;42.25;354;42.26
29.11.2021;10:27:00-000;42.08;42.08;42.08;42.08;829;42.0524
29.11.2021;10:31:00-000;41.8;41.8;41.8;41.8;474;41.8558
29.11.2021;10:33:00-000;41.83;41.83;41.83;41.83;362;41.8552
29.11.2021;10:34:00-000;41.935;41.935;41.935;41.935;164;41.9696
29.11.2021;10:35:00-000;41.87;41.87;41.87;41.87;121;41.8856
29.11.2021;10:37:00-000;41.82;41.82;41.81;41.81;992;41.7921
29.11.2021;10:41:00-000;41.65;41.65;41.65;41.65;362;41.6737
29.11.2021;10:43:00-000;41.65;41.65;41.65;41.65;364;41.5651
29.11.2021;10:45:00-000;41.58;41.58;41.58;41.58;157;41.5918
29.11.2021;10:48:00-000;41.615;41.615;41.54;41.54;276;41.5944
29.11.2021;10:51:00-000;41.415;41.415;41.415;41.415;110;41.4213
29.11.2021;10:53:00-000;41.435;41.435;41.435;41.435;281;41.4094
29.11.2021;10:57:00-000;41.455;41.455;41.455;41.455;620;41.491
29.11.2021;10:58:00-000;41.6;41.6;41.6;41.6;442;41.597
29.11.2021;11:00:00-000;41.53;41.53;41.53;41.53;215;41.5517
29.11.2021;11:02:00-000;41.61;41.675;41.61;41.67;1583;41.6312
29.11.2021;11:03:00-000;41.69;41.81;41.69;41.81;896;41.7947
29.11.2021;11:06:00-000;41.81;41.81;41.81;41.81;768;41.8098
29.11.2021;11:07:00-000;41.855;41.855;41.855;41.855;420;41.8974
29.11.2021;11:09:00-000;41.95;41.95;41.95;41.95;164;41.9143
29.11.2021;11:10:00-000;41.815;41.88;41.815;41.88;469;41.8397
29.11.2021;11:12:00-000;41.9;41.9;41.9;41.9;108;41.8973
29.11.2021;11:17:00-000;41.76;41.76;41.76;41.76;252;41.7693
29.11.2021;11:19:00-000;41.76;41.76;41.73;41.73;415;41.74
29.11.2021;11:21:00-000;41.71;41.71;41.71;41.71;152;41.7144
29.11.2021;11:22:00-000;41.78;41.78;41.72;41.72;209;41.7504
29.11.2021;11:23:00-000;41.67;41.67;41.67;41.67;306;41.697
29.11.2021;11:24:00-000;41.67;41.67;41.67;41.67;597;41.6695
29.11.2021;11:25:00-000;41.625;41.625;41.41;41.41;4100;41.4659
29.11.2021;11:26:00-000;41.41;41.41;41.41;41.41;995;41.4115
29.11.2021;11:27:00-000;41.465;41.465;41.465;41.465;108;41.4662
29.11.2021;11:32:00-000;41.35;41.35;41.24;41.24;419;41.2792
29.11.2021;11:34:00-000;41.29;41.32;41.29;41.32;531;41.2616
29.11.2021;11:35:00-000;41.3;41.32;41.3;41.32;1502;41.3038
29.11.2021;11:36:00-000;41.38;41.38;41.38;41.38;310;41.3805
29.11.2021;11:39:00-000;41.4;41.44;41.32;41.32;1033;41.4112
29.11.2021;11:41:00-000;41.57;41.57;41.57;41.57;112;41.5954
29.11.2021;11:54:00-000;41.76;41.91;41.76;41.91;210;41.8373
29.11.2021;11:57:00-000;41.9;41.9;41.9;41.9;118;41.8989
29.11.2021;11:58:00-000;41.835;41.835;41.835;41.835;312;41.8363
29.11.2021;11:59:00-000;41.91;41.91;41.91;41.91;452;41.9043
29.11.2021;12:01:00-000;41.94;41.94;41.94;41.94;158;41.9415
29.11.2021;12:05:00-000;42.01;42.01;42.01;42.01;182;41.9849
29.11.2021;12:06:00-000;42.05;42.05;42.05;42.05;116;42.0446
29.11.2021;12:09:00-000;41.91;41.92;41.91;41.92;572;41.9215
29.11.2021;12:11:00-000;41.89;41.89;41.87;41.87;510;41.882
29.11.2021;12:12:00-000;41.86;41.94;41.83;41.83;2677;41.8684
29.11.2021;12:13:00-000;41.85;41.85;41.85;41.85;800;41.8428
29.11.2021;12:18:00-000;41.7245;41.7245;41.7245;41.7245;220;41.7193
29.11.2021;12:21:00-000;41.85;41.85;41.85;41.85;106;41.8558
29.11.2021;12:23:00-000;41.84;41.91;41.84;41.91;207;41.8747
29.11.2021;12:24:00-000;41.98;41.98;41.85;41.85;653;41.8937
29.11.2021;12:28:00-000;41.85;41.85;41.85;41.85;328;41.851
29.11.2021;12:29:00-000;41.85;41.85;41.85;41.85;337;41.8709
29.11.2021;12:30:00-000;41.81;41.81;41.79;41.79;639;41.7946
29.11.2021;12:31:00-000;41.74;41.74;41.74;41.74;197;41.7646
29.11.2021;12:44:00-000;41.89;41.89;41.89;41.89;123;41.8924
29.11.2021;13:02:00-000;42.02;42.03;42.02;42.03;308;42.0293
29.11.2021;13:07:00-000;42.07;42.07;42.07;42.07;288;42.0903
29.11.2021;13:10:00-000;42.14;42.14;42.14;42.14;1120;42.1382
29.11.2021;13:16:00-000;42.135;42.135;42.135;42.135;375;42.1505
29.11.2021;13:19:00-000;42.2;42.2;42.2;42.2;167;42.2122
29.11.2021;13:25:00-000;42.24;42.24;42.24;42.24;107;42.2399
29.11.2021;13:30:00-000;42.23;42.23;42.23;42.23;301;42.148
29.11.2021;13:38:00-000;42.18;42.18;42.17;42.17;1058;42.1425
29.11.2021;13:43:00-000;41.97;41.97;41.97;41.97;150;42.0095
29.11.2021;13:45:00-000;42.08;42.08;42.08;42.08;217;42.0591
29.11.2021;13:57:00-000;42.055;42.055;42.055;42.055;131;42.0578
29.11.2021;14:00:00-000;42.02;42.02;42.02;42.02;304;42.0293
29.11.2021;14:02:00-000;42.07;42.07;42.04;42.04;224;42.0622
29.11.2021;14:16:00-000;42.08;42.08;42.0224;42.0224;990;42.0743
29.11.2021;14:18:00-000;42.03;42.03;42.03;42.03;245;42.0584
29.11.2021;14:24:00-000;42.04;42.05;42;42;1141;42.0402
29.11.2021;14:25:00-000;42.06;42.11;42.06;42.11;512;42.1036
29.11.2021;14:30:00-000;42.1;42.1;42.1;42.1;158;42.1066
29.11.2021;14:40:00-000;42.14;42.14;42.14;42.14;163;42.1587
29.11.2021;14:42:00-000;42.125;42.125;42.125;42.125;304;42.1248
29.11.2021;14:43:00-000;42.11;42.11;42.11;42.11;110;42.1135
29.11.2021;14:45:00-000;42.16;42.16;42.16;42.16;251;42.1533
29.11.2021;14:46:00-000;42.14;42.14;42.135;42.135;301;42.1289
29.11.2021;14:48:00-000;42.125;42.125;42.125;42.125;108;42.124
29.11.2021;14:50:00-000;42.1;42.11;42.09;42.09;2012;42.0919
29.11.2021;14:51:00-000;42.05;42.05;42.05;42.05;426;42.0416
29.11.2021;14:53:00-000;42.03;42.0536;42.03;42.0536;636;42.0511
29.11.2021;14:59:00-000;42.1;42.1;42.1;42.1;208;42.1012
29.11.2021;15:00:00-000;42.15;42.15;42.15;42.15;186;42.1085
29.11.2021;15:01:00-000;42.16;42.16;42.12;42.12;281;42.1335
29.11.2021;15:03:00-000;42.1387;42.1387;42.08;42.08;759;42.1183
29.11.2021;15:05:00-000;42.075;42.075;42.075;42.075;111;42.0797
