Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;6.57;6.57;6.57;6.57;719;6.57
29.11.2021;09:31:00-000;6.57;6.57;6.56;6.56;201;6.5651
29.11.2021;09:33:00-000;6.5;6.5;6.45;6.45;205;6.475
29.11.2021;09:41:00-000;6.44;6.44;6.44;6.44;114;6.4401
29.11.2021;09:45:00-000;6.43;6.43;6.43;6.43;101;6.4305
29.11.2021;09:53:00-000;6.4;6.4;6.4;6.4;100;6.4
29.11.2021;09:55:00-000;6.4;6.4;6.4;6.4;111;6.4011
29.11.2021;09:56:00-000;6.42;6.44;6.42;6.44;598;6.4252
29.11.2021;09:59:00-000;6.42;6.42;6.42;6.42;112;6.4215
29.11.2021;10:08:00-000;6.39;6.39;6.39;6.39;100;6.39
29.11.2021;10:12:00-000;6.425;6.425;6.425;6.425;100;6.425
29.11.2021;10:17:00-000;6.4;6.4;6.4;6.4;100;6.4
29.11.2021;10:19:00-000;6.435;6.435;6.435;6.435;313;6.434
29.11.2021;10:20:00-000;6.435;6.435;6.435;6.435;201;6.4352
29.11.2021;10:25:00-000;6.39;6.39;6.39;6.39;101;6.3903
29.11.2021;10:26:00-000;6.42;6.44;6.42;6.44;321;6.4368
29.11.2021;10:28:00-000;6.39;6.39;6.39;6.39;119;6.3901
29.11.2021;10:30:00-000;6.35;6.35;6.35;6.35;100;6.35
29.11.2021;10:31:00-000;6.35;6.37;6.3;6.3;11419;6.3227
29.11.2021;10:32:00-000;6.28;6.31;6.27;6.31;982;6.2903
29.11.2021;10:34:00-000;6.34;6.37;6.34;6.37;2444;6.3611
29.11.2021;10:35:00-000;6.32;6.32;6.32;6.32;100;6.32
29.11.2021;10:36:00-000;6.34;6.34;6.34;6.34;101;6.34
29.11.2021;10:37:00-000;6.32;6.32;6.31;6.31;578;6.3133
29.11.2021;10:43:00-000;6.295;6.295;6.295;6.295;101;6.295
29.11.2021;10:44:00-000;6.32;6.32;6.32;6.32;100;6.32
29.11.2021;10:48:00-000;6.29;6.29;6.29;6.29;101;6.2902
29.11.2021;10:50:00-000;6.315;6.315;6.315;6.315;200;6.3025
29.11.2021;10:57:00-000;6.3;6.3;6.3;6.3;101;6.3001
29.11.2021;11:01:00-000;6.31;6.31;6.31;6.31;111;6.308
29.11.2021;11:05:00-000;6.305;6.305;6.305;6.305;220;6.3036
29.11.2021;11:07:00-000;6.32;6.33;6.305;6.33;965;6.3176
29.11.2021;11:11:00-000;6.33;6.34;6.305;6.33;1075;6.3277
29.11.2021;11:12:00-000;6.34;6.41;6.34;6.41;8465;6.3813
29.11.2021;11:16:00-000;6.43;6.46;6.43;6.46;555;6.4532
29.11.2021;11:21:00-000;6.455;6.46;6.455;6.46;1642;6.4609
29.11.2021;11:25:00-000;6.45;6.45;6.45;6.45;1013;6.4502
29.11.2021;11:27:00-000;6.455;6.455;6.455;6.455;101;6.455
29.11.2021;11:30:00-000;6.43;6.43;6.43;6.43;101;6.4303
29.11.2021;11:31:00-000;6.43;6.43;6.43;6.43;604;6.429
29.11.2021;11:34:00-000;6.42;6.42;6.42;6.42;101;6.42
29.11.2021;11:38:00-000;6.4;6.4;6.4;6.4;364;6.3984
29.11.2021;11:39:00-000;6.37;6.37;6.37;6.37;123;6.3753
29.11.2021;11:42:00-000;6.36;6.36;6.36;6.36;100;6.36
29.11.2021;11:44:00-000;6.36;6.36;6.36;6.36;101;6.3602
29.11.2021;11:47:00-000;6.36;6.36;6.31;6.355;10724;6.3224
29.11.2021;11:48:00-000;6.3;6.325;6.29;6.325;920;6.3036
29.11.2021;11:50:00-000;6.28;6.3;6.28;6.3;220;6.2891
29.11.2021;11:52:00-000;6.27;6.3;6.27;6.3;246;6.2852
29.11.2021;11:53:00-000;6.3;6.3;6.3;6.3;917;6.2984
29.11.2021;11:54:00-000;6.32;6.32;6.32;6.32;104;6.32
29.11.2021;11:55:00-000;6.32;6.32;6.29;6.29;205;6.3054
29.11.2021;11:57:00-000;6.305;6.305;6.305;6.305;120;6.3008
