Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;52;52.14;51.75;51.76;4632;51.9498
29.11.2021;09:31:00-000;51.68;51.68;51.53;51.58;1256;51.6025
29.11.2021;09:34:00-000;51.87;51.88;51.87;51.88;405;51.8724
29.11.2021;09:36:00-000;52.01;52.01;51.96;51.97;703;51.983
29.11.2021;09:41:00-000;51.98;51.98;51.98;51.98;100;51.98
29.11.2021;09:43:00-000;52.045;52.045;52.045;52.045;302;52.0446
29.11.2021;09:44:00-000;52.03;52.03;52.03;52.03;204;52.0271
29.11.2021;09:45:00-000;52.02;52.02;52;52.005;1231;52.0129
29.11.2021;09:46:00-000;52.04;52.055;52.04;52.055;831;52.0387
29.11.2021;09:49:00-000;51.99;51.99;51.99;51.99;319;51.9894
29.11.2021;09:52:00-000;51.865;51.865;51.865;51.865;203;51.8649
29.11.2021;09:55:00-000;51.855;51.855;51.855;51.855;209;51.848
29.11.2021;09:56:00-000;51.88;51.88;51.86;51.86;1642;51.8765
29.11.2021;09:57:00-000;51.89;51.89;51.89;51.89;249;51.891
29.11.2021;09:58:00-000;51.99;51.99;51.99;51.99;111;51.9872
29.11.2021;09:59:00-000;52.02;52.02;52.02;52.02;470;52.0107
29.11.2021;10:00:00-000;52.01;52.01;52.01;52.01;319;52.0111
29.11.2021;10:01:00-000;52.05;52.05;51.99;51.995;1369;52.0215
29.11.2021;10:02:00-000;51.94;51.96;51.92;51.96;1754;51.9355
29.11.2021;10:03:00-000;51.96;51.99;51.96;51.96;856;51.9707
29.11.2021;10:04:00-000;51.97;51.97;51.95;51.95;310;51.9618
29.11.2021;10:05:00-000;51.955;51.955;51.955;51.955;362;51.954
29.11.2021;10:06:00-000;51.97;52.01;51.97;52.01;1093;51.9799
29.11.2021;10:08:00-000;52.01;52.01;52.01;52.01;414;52.0117
29.11.2021;10:09:00-000;51.99;52;51.99;52;606;51.9919
29.11.2021;10:10:00-000;51.98;52;51.95;51.96;1485;51.9696
29.11.2021;10:11:00-000;51.94;51.95;51.84;51.84;1272;51.9119
29.11.2021;10:12:00-000;51.86;51.975;51.86;51.975;2631;51.9088
29.11.2021;10:13:00-000;51.975;51.98;51.945;51.945;424;51.965
29.11.2021;10:15:00-000;52.03;52.03;52;52.03;611;52.0212
29.11.2021;10:20:00-000;52.03;52.03;52.025;52.025;450;52.0272
29.11.2021;10:21:00-000;52.025;52.06;52.025;52.06;895;52.0497
29.11.2021;10:22:00-000;52.07;52.07;52.07;52.07;262;52.0732
29.11.2021;10:23:00-000;52.08;52.08;52.08;52.08;400;52.0591
29.11.2021;10:25:00-000;52.12;52.16;52.1;52.1;3073;52.1227
29.11.2021;10:26:00-000;52.115;52.13;52.1;52.1;791;52.1083
29.11.2021;10:27:00-000;52.1;52.16;52.1;52.16;417;52.141
29.11.2021;10:28:00-000;52.11;52.15;52.09;52.12;2148;52.1127
29.11.2021;10:29:00-000;52.11;52.12;52.1;52.12;410;52.1077
29.11.2021;10:30:00-000;52.11;52.11;52.11;52.11;204;52.1096
29.11.2021;10:32:00-000;52.13;52.13;52.11;52.11;434;52.1256
29.11.2021;10:33:00-000;52.15;52.15;52.15;52.15;436;52.1545
29.11.2021;10:34:00-000;52.13;52.13;52.055;52.055;1372;52.0963
29.11.2021;10:35:00-000;52.01;52.01;51.99;51.99;668;52.0029
29.11.2021;10:36:00-000;51.965;51.965;51.95;51.95;405;51.9601
29.11.2021;10:37:00-000;51.95;51.95;51.95;51.95;315;51.9337
29.11.2021;10:38:00-000;51.89;51.89;51.88;51.88;442;51.8797
29.11.2021;10:39:00-000;51.85;51.85;51.85;51.85;195;51.8498
29.11.2021;10:40:00-000;51.82;51.82;51.82;51.82;329;51.8206
29.11.2021;10:41:00-000;51.83;51.83;51.83;51.83;580;51.8277
29.11.2021;10:43:00-000;51.81;51.81;51.755;51.755;1091;51.794
29.11.2021;10:44:00-000;51.77;51.8;51.77;51.79;1690;51.7845
29.11.2021;10:45:00-000;51.8;51.81;51.76;51.78;1373;51.7854
29.11.2021;10:48:00-000;51.745;51.745;51.72;51.72;245;51.7302
29.11.2021;10:49:00-000;51.7;51.7;51.63;51.68;1952;51.668
29.11.2021;10:51:00-000;51.64;51.66;51.64;51.66;720;51.656
29.11.2021;10:52:00-000;51.66;51.66;51.66;51.66;102;51.6598
29.11.2021;10:53:00-000;51.67;51.68;51.66;51.68;2049;51.6695
29.11.2021;10:54:00-000;51.67;51.67;51.67;51.67;302;51.6699
29.11.2021;10:56:00-000;51.65;51.65;51.625;51.64;958;51.6409
29.11.2021;10:57:00-000;51.65;51.65;51.65;51.65;393;51.6488
29.11.2021;10:58:00-000;51.64;51.64;51.63;51.63;768;51.6391
29.11.2021;10:59:00-000;51.61;51.61;51.59;51.59;291;51.6014
29.11.2021;11:01:00-000;51.64;51.67;51.64;51.67;972;51.6478
29.11.2021;11:02:00-000;51.68;51.69;51.68;51.69;589;51.6816
29.11.2021;11:03:00-000;51.7019;51.7019;51.7019;51.7019;265;51.6842
29.11.2021;11:04:00-000;51.69;51.69;51.66;51.69;1318;51.6825
29.11.2021;11:06:00-000;51.71;51.75;51.71;51.75;1423;51.7272
29.11.2021;11:07:00-000;51.764;51.785;51.764;51.785;281;51.7752
29.11.2021;11:08:00-000;51.8355;51.8355;51.8355;51.8355;200;51.8355
29.11.2021;11:09:00-000;51.835;51.835;51.835;51.835;427;51.8179
29.11.2021;11:10:00-000;51.835;51.835;51.835;51.835;228;51.8359
29.11.2021;11:12:00-000;51.845;51.845;51.845;51.845;120;51.8452
29.11.2021;11:13:00-000;51.87;51.88;51.85;51.85;2381;51.8721
29.11.2021;11:14:00-000;51.86;51.86;51.85;51.85;574;51.8592
29.11.2021;11:15:00-000;51.83;51.85;51.83;51.85;938;51.8323
29.11.2021;11:16:00-000;51.85;51.85;51.85;51.85;107;51.8498
29.11.2021;11:17:00-000;51.8474;51.8474;51.84;51.84;309;51.838
29.11.2021;11:18:00-000;51.83;51.85;51.83;51.85;382;51.8472
29.11.2021;11:21:00-000;51.87;51.87;51.87;51.87;413;51.8711
29.11.2021;11:22:00-000;51.89;51.89;51.88;51.88;291;51.8859
29.11.2021;11:24:00-000;51.91;51.91;51.91;51.91;105;51.91
29.11.2021;11:25:00-000;51.89;51.89;51.875;51.875;1393;51.8844
29.11.2021;11:26:00-000;51.87;51.87;51.84;51.86;451;51.8607
29.11.2021;11:28:00-000;51.86;51.87;51.86;51.87;1025;51.8722
29.11.2021;11:31:00-000;51.93;51.93;51.93;51.93;905;51.9256
29.11.2021;11:34:00-000;51.895;51.895;51.895;51.895;467;51.8927
29.11.2021;11:35:00-000;51.92;51.935;51.915;51.935;716;51.9233
29.11.2021;11:36:00-000;51.96;52.01;51.94;51.99;1206;51.9801
29.11.2021;11:37:00-000;52.01;52.02;52.01;52.01;508;52.0131
29.11.2021;11:38:00-000;52.07;52.07;52.07;52.07;315;52.07
29.11.2021;11:39:00-000;52.05;52.06;52.045;52.06;1675;52.0514
29.11.2021;11:40:00-000;52.08;52.13;52.08;52.13;693;52.101
29.11.2021;11:43:00-000;52.11;52.11;52.11;52.11;223;52.1108
29.11.2021;11:44:00-000;52.12;52.15;52.12;52.15;420;52.1427
29.11.2021;11:46:00-000;52.14;52.14;52.14;52.14;162;52.1399
29.11.2021;11:47:00-000;52.12;52.12;52.11;52.11;1469;52.1158
29.11.2021;11:48:00-000;52.07;52.07;52.06;52.06;758;52.0611
29.11.2021;11:49:00-000;52.055;52.055;52.04;52.04;263;52.0447
29.11.2021;11:51:00-000;52.01;52.02;52.01;52.01;683;52.0101
29.11.2021;11:52:00-000;51.985;51.985;51.985;51.985;105;51.9846
29.11.2021;11:54:00-000;51.96;51.97;51.96;51.96;851;51.9622
29.11.2021;11:55:00-000;51.97;51.97;51.955;51.955;266;51.9644
29.11.2021;11:56:00-000;51.97;51.975;51.97;51.975;608;51.9718
29.11.2021;11:57:00-000;51.985;51.985;51.985;51.985;105;51.9856
29.11.2021;11:59:00-000;51.985;51.985;51.985;51.985;362;51.987
29.11.2021;12:00:00-000;51.985;51.985;51.985;51.985;183;51.9917
29.11.2021;12:01:00-000;52;52.02;51.9975;52.02;1141;52.0075
29.11.2021;12:02:00-000;52.04;52.04;52.04;52.04;223;52.038
29.11.2021;12:03:00-000;52.04;52.04;52.04;52.04;136;52.0381
29.11.2021;12:04:00-000;52.0557;52.0557;52.035;52.035;871;52.0532
29.11.2021;12:05:00-000;52.06;52.06;52.04;52.04;1416;52.0421
29.11.2021;12:06:00-000;52.03;52.03;52.02;52.02;803;52.024
29.11.2021;12:07:00-000;52.03;52.05;52.03;52.05;391;52.0394
29.11.2021;12:08:00-000;52.0275;52.0275;52.0275;52.0275;138;52.0309
29.11.2021;12:10:00-000;52.05;52.05;52.05;52.05;788;52.0503
29.11.2021;12:13:00-000;52.06;52.07;52.06;52.07;405;52.0625
29.11.2021;12:14:00-000;52.06;52.06;52.06;52.06;321;52.0548
29.11.2021;12:16:00-000;52.06;52.06;52.06;52.06;490;52.0566
29.11.2021;12:19:00-000;52.1;52.11;52.1;52.11;616;52.1013
29.11.2021;12:24:00-000;52.18;52.18;52.18;52.18;110;52.1779
