Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:00:00-000;8.32;8.32;8.22;8.32;1811;8.2888
29.11.2021;04:01:00-000;8.25;8.25;8.2;8.2;644;8.2629
29.11.2021;04:02:00-000;8.1;8.2;8.1;8.2;1360;8.1343
29.11.2021;04:03:00-000;8.1;8.1;7.83;7.84;4595;7.9785
29.11.2021;04:04:00-000;7.84;7.84;7.8;7.83;5216;7.8282
29.11.2021;04:05:00-000;7.99;7.99;7.99;7.99;578;7.9523
29.11.2021;04:06:00-000;7.85;7.85;7.81;7.81;2000;7.834
29.11.2021;04:07:00-000;7.82;7.99;7.82;7.9;5011;7.8653
29.11.2021;04:08:00-000;8;8;8;8;326;8.0106
29.11.2021;04:09:00-000;8.09;8.19;8.09;8.19;1092;8.1323
29.11.2021;04:10:00-000;8.07;8.07;8.07;8.07;912;8.0744
29.11.2021;04:11:00-000;8.11;8.11;8.08;8.08;600;8.0855
29.11.2021;04:12:00-000;8.1;8.1;8.07;8.07;668;8.0907
29.11.2021;04:13:00-000;8.15;8.15;8.15;8.15;1678;8.122
29.11.2021;04:14:00-000;8.02;8.02;8.02;8.02;857;8.0189
29.11.2021;04:15:00-000;8.09;8.09;8.09;8.09;1413;8.0952
29.11.2021;04:16:00-000;8.17;8.17;8.17;8.17;206;8.1617
29.11.2021;04:17:00-000;8.17;8.18;8.15;8.15;1152;8.1763
29.11.2021;04:18:00-000;8.14;8.14;8.1;8.1;444;8.1124
29.11.2021;04:19:00-000;8.09;8.09;8.06;8.06;541;8.0681
29.11.2021;04:20:00-000;8.04;8.04;8.04;8.04;303;8.0498
29.11.2021;04:21:00-000;8.03;8.03;8;8;2556;8.0192
29.11.2021;04:22:00-000;8;8;8;8;834;8.0001
29.11.2021;04:24:00-000;7.92;7.92;7.88;7.91;4732;7.8996
29.11.2021;04:25:00-000;7.9;7.9;7.88;7.88;668;7.8972
29.11.2021;04:26:00-000;7.89;7.89;7.89;7.89;2856;7.8903
29.11.2021;04:27:00-000;7.9;8;7.9;8;796;7.9701
29.11.2021;04:28:00-000;8.05;8.05;8.05;8.05;591;8.054
29.11.2021;04:30:00-000;8.04;8.04;8;8;820;8.0161
29.11.2021;04:31:00-000;8.05;8.05;8.05;8.05;321;8.0469
29.11.2021;04:33:00-000;8;8;8;8;103;8.0002
29.11.2021;04:34:00-000;8;8;8;8;174;8.0045
29.11.2021;04:36:00-000;8;8;8;8;1030;8.0006
29.11.2021;04:38:00-000;8.01;8.01;8.01;8.01;272;8.0078
29.11.2021;04:39:00-000;8.01;8.01;8;8;317;8.0035
29.11.2021;04:43:00-000;8.08;8.08;8.08;8.08;135;8.0763
29.11.2021;04:44:00-000;8.04;8.05;8.04;8.04;881;8.0435
29.11.2021;04:45:00-000;8.05;8.05;8.05;8.05;1000;8.05
29.11.2021;04:46:00-000;8.03;8.03;8.02;8.02;529;8.0272
29.11.2021;04:47:00-000;8;8;7.92;7.92;3005;7.9624
29.11.2021;04:48:00-000;7.92;7.92;7.92;7.92;1126;7.9233
29.11.2021;04:53:00-000;7.92;7.92;7.92;7.92;374;7.9223
29.11.2021;04:54:00-000;7.93;7.93;7.92;7.92;919;7.9271
29.11.2021;04:56:00-000;7.93;7.94;7.93;7.94;720;7.9317
29.11.2021;04:58:00-000;7.95;7.95;7.94;7.94;869;7.9459
29.11.2021;05:00:00-000;7.95;7.95;7.93;7.93;1677;7.9378
29.11.2021;05:01:00-000;7.98;7.98;7.97;7.97;201;7.975
29.11.2021;05:03:00-000;7.97;7.97;7.97;7.97;487;7.97
