Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:33:00-000;56.7;56.7;56.7;56.7;204;56.6957
29.11.2021;07:34:00-000;56.71;56.72;56.71;56.71;896;56.7156
29.11.2021;07:35:00-000;56.7;56.7;56.7;56.7;1100;56.7
29.11.2021;07:37:00-000;56.63;56.63;56.63;56.63;100;56.63
29.11.2021;07:55:00-000;56.62;56.62;56.62;56.62;107;56.6161
29.11.2021;08:02:00-000;56.55;56.55;56.55;56.55;101;56.545
29.11.2021;08:05:00-000;56.51;56.51;56.51;56.51;1000;56.51
29.11.2021;08:06:00-000;56.51;56.51;56.51;56.51;500;56.51
29.11.2021;08:19:00-000;56.51;56.52;56.51;56.52;600;56.5117
29.11.2021;08:20:00-000;56.51;56.51;56.51;56.51;510;56.5139
29.11.2021;08:35:00-000;56.57;56.59;56.57;56.59;709;56.5832
29.11.2021;09:19:00-000;56.75;56.75;56.75;56.75;126;56.75
29.11.2021;09:29:00-000;56.63;56.63;56.56;56.56;400;56.595
29.11.2021;09:30:00-000;56.755;56.81;56.54;56.56;66469;56.6655
29.11.2021;09:31:00-000;56.59;56.79;56.54;56.752;45784;56.6448
29.11.2021;09:32:00-000;56.8;56.83;56.61;56.75;23292;56.7312
29.11.2021;09:33:00-000;56.75;56.86;56.355;56.355;18396;56.6802
29.11.2021;09:34:00-000;56.4;56.62;56.398;56.5;23212;56.5149
29.11.2021;09:35:00-000;56.5;56.57;56.375;56.48;16336;56.5119
29.11.2021;09:36:00-000;56.54;56.68;56.53;56.625;17991;56.5865
29.11.2021;09:37:00-000;56.62;56.67;56.48;56.49;17218;56.5764
29.11.2021;09:38:00-000;56.49;56.59;56.4;56.45;15639;56.4925
29.11.2021;09:39:00-000;56.4;56.5165;56.36;56.39;8447;56.4274
29.11.2021;09:40:00-000;56.365;56.45;56.31;56.41;11796;56.392
29.11.2021;09:41:00-000;56.41;56.41;56.21;56.27;7898;56.2937
29.11.2021;09:42:00-000;56.244;56.37;56.16;56.22;8951;56.2478
29.11.2021;09:43:00-000;56.22;56.23;56.09;56.13;6022;56.138
29.11.2021;09:44:00-000;56.185;56.27;56.1;56.18;7817;56.1798
29.11.2021;09:45:00-000;56.19;56.24;56.13;56.13;12373;56.2014
29.11.2021;09:46:00-000;56.14;56.15;56.085;56.09;7537;56.1122
29.11.2021;09:47:00-000;56.09;56.145;56.005;56.01;13608;56.0895
29.11.2021;09:48:00-000;56.01;56.02;55.8;55.88;22674;55.8879
29.11.2021;09:49:00-000;55.9;55.9;55.66;55.67;22581;55.7281
29.11.2021;09:50:00-000;55.67;55.71;55.56;55.57;20724;55.646
29.11.2021;09:51:00-000;55.56;55.7;55.525;55.65;18987;55.5935
29.11.2021;09:52:00-000;55.66;55.72;55.61;55.61;4160;55.68
29.11.2021;09:53:00-000;55.59;55.7;55.58;55.68;18304;55.6497
29.11.2021;09:54:00-000;55.71;55.76;55.65;55.65;9038;55.7356
29.11.2021;09:55:00-000;55.65;55.71;55.56;55.6;6713;55.6297
29.11.2021;09:56:00-000;55.62;55.65;55.53;55.53;5509;55.6045
29.11.2021;09:57:00-000;55.48;55.53;55.46;55.46;5154;55.4907
29.11.2021;09:58:00-000;55.5;55.56;55.485;55.55;5756;55.5228
29.11.2021;09:59:00-000;55.55;55.6;55.5;55.51;11831;55.5399
29.11.2021;10:00:00-000;55.54;55.54;55.39;55.45;19422;55.4603
29.11.2021;10:01:00-000;55.46;55.51;55.455;55.48;6747;55.4848
29.11.2021;10:02:00-000;55.5;55.58;55.45;55.46;6491;55.5094
29.11.2021;10:03:00-000;55.44;55.53;55.42;55.51;7622;55.4769
29.11.2021;10:04:00-000;55.54;55.64;55.54;55.64;11770;55.5916
29.11.2021;10:05:00-000;55.63;55.7;55.62;55.63;5084;55.6525
29.11.2021;10:06:00-000;55.63;55.72;55.63;55.69;4571;55.6661
29.11.2021;10:07:00-000;55.64;55.66;55.54;55.54;3515;55.6061
29.11.2021;10:08:00-000;55.51;55.51;55.41;55.42;5203;55.4728
29.11.2021;10:09:00-000;55.45;55.54;55.45;55.535;7222;55.4703
29.11.2021;10:10:00-000;55.52;55.64;55.52;55.6;5893;55.5595
29.11.2021;10:11:00-000;55.65;55.65;55.57;55.6;3927;55.6062
29.11.2021;10:12:00-000;55.59;55.59;55.47;55.48;5300;55.4986
29.11.2021;10:13:00-000;55.47;55.47;55.4;55.44;7687;55.4308
29.11.2021;10:14:00-000;55.465;55.551;55.44;55.44;3502;55.4965
29.11.2021;10:15:00-000;55.44;55.54;55.4113;55.48;9498;55.4883
29.11.2021;10:16:00-000;55.46;55.46;55.38;55.38;4373;55.4195
29.11.2021;10:17:00-000;55.37;55.43;55.35;55.41;5160;55.3835
29.11.2021;10:18:00-000;55.41;55.44;55.37;55.4342;4230;55.4051
29.11.2021;10:19:00-000;55.534;55.57;55.5;55.56;3250;55.5274
29.11.2021;10:20:00-000;55.56;55.61;55.5;55.5;6082;55.5617
29.11.2021;10:21:00-000;55.5;55.55;55.5;55.54;6308;55.529
29.11.2021;10:22:00-000;55.545;55.545;55.4;55.4;6167;55.4586
29.11.2021;10:23:00-000;55.39;55.48;55.38;55.48;8798;55.4139
29.11.2021;10:24:00-000;55.475;55.49;55.45;55.46;5653;55.4751
29.11.2021;10:25:00-000;55.465;55.48;55.45;55.45;4269;55.468
29.11.2021;10:26:00-000;55.47;55.47;55.42;55.42;3899;55.4435
29.11.2021;10:27:00-000;55.41;55.41;55.33;55.34;5128;55.3802
29.11.2021;10:28:00-000;55.36;55.38;55.35;55.35;5088;55.3624
29.11.2021;10:29:00-000;55.345;55.345;55.31;55.31;3884;55.3313
29.11.2021;10:30:00-000;55.3;55.384;55.28;55.35;7827;55.3354
29.11.2021;10:31:00-000;55.34;55.34;55.245;55.2495;5071;55.2961
29.11.2021;10:32:00-000;55.25;55.37;55.25;55.3;6101;55.3154
29.11.2021;10:33:00-000;55.3;55.36;55.28;55.36;3155;55.3063
29.11.2021;10:34:00-000;55.36;55.38;55.32;55.33;6384;55.3381
29.11.2021;10:35:00-000;55.37;55.42;55.37;55.39;6894;55.3948
29.11.2021;10:36:00-000;55.4;55.4;55.28;55.28;6336;55.3457
29.11.2021;10:37:00-000;55.28;55.28;55.21;55.23;4151;55.2484
29.11.2021;10:38:00-000;55.22;55.24;55.2;55.2;6824;55.2343
29.11.2021;10:39:00-000;55.2;55.31;55.2;55.3;12196;55.2632
29.11.2021;10:40:00-000;55.31;55.31;55.24;55.265;13930;55.2759
29.11.2021;10:41:00-000;55.26;55.271;55.21;55.21;9049;55.2531
29.11.2021;10:42:00-000;55.21;55.24;55.2;55.21;5053;55.2157
29.11.2021;10:43:00-000;55.21;55.24;55.18;55.23;14257;55.2065
29.11.2021;10:44:00-000;55.24;55.24;55.17;55.23;10502;55.208
29.11.2021;10:45:00-000;55.23;55.31;55.23;55.29;11008;55.2876
29.11.2021;10:46:00-000;55.27;55.28;55.2217;55.27;4343;55.259
29.11.2021;10:47:00-000;55.26;55.3;55.25;55.3;1571;55.2638
29.11.2021;10:48:00-000;55.3;55.3;55.22;55.22;6377;55.2591
29.11.2021;10:49:00-000;55.2;55.235;55.1709;55.23;6685;55.206
29.11.2021;10:50:00-000;55.235;55.29;55.215;55.29;10549;55.2386
29.11.2021;10:51:00-000;55.28;55.29;55.23;55.28;13946;55.2593
29.11.2021;10:52:00-000;55.29;55.35;55.275;55.275;5933;55.3106
29.11.2021;10:53:00-000;55.27;55.29;55.25;55.255;12079;55.2634
29.11.2021;10:54:00-000;55.25;55.3;55.24;55.26;9013;55.2633
29.11.2021;10:55:00-000;55.26;55.32;55.26;55.31;12044;55.2846
29.11.2021;10:56:00-000;55.3;55.31;55.24;55.26;28663;55.2694
