Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;12.99;13.064;12.99;13.04;15966;12.999
29.11.2021;09:31:00-000;13.05;13.08;13.05;13.08;7006;13.0643
29.11.2021;09:33:00-000;13.1;13.11;13.06;13.06;5468;13.0933
29.11.2021;09:34:00-000;13.06;13.06;13.06;13.06;816;13.0601
29.11.2021;09:35:00-000;13.07;13.09;13.068;13.09;1172;13.0753
29.11.2021;09:37:00-000;13.12;13.12;13.11;13.115;1710;13.1139
29.11.2021;09:38:00-000;13.1;13.1191;13.1;13.1191;1120;13.1099
29.11.2021;09:39:00-000;13.1;13.11;13.09;13.11;4679;13.1008
29.11.2021;09:40:00-000;13.1;13.14;13.1;13.13;15462;13.1275
29.11.2021;09:41:00-000;13.1473;13.1473;13.11;13.11;3248;13.1341
29.11.2021;09:42:00-000;13.0928;13.0984;13.0928;13.0984;2858;13.0945
29.11.2021;09:43:00-000;13.08;13.08;13.07;13.07;949;13.0777
29.11.2021;09:44:00-000;13.0727;13.08;13.0594;13.075;8637;13.0684
29.11.2021;09:45:00-000;13.08;13.08;13.08;13.08;2040;13.0798
29.11.2021;09:46:00-000;13.07;13.07;13.04;13.04;2540;13.0628
29.11.2021;09:47:00-000;13.03;13.0399;13.03;13.0399;2450;13.0351
29.11.2021;09:48:00-000;13.0347;13.04;13.0347;13.04;1835;13.0368
29.11.2021;09:49:00-000;13.05;13.05;13.035;13.035;7637;13.0468
29.11.2021;09:50:00-000;13.035;13.05;13.035;13.04;6473;13.0426
29.11.2021;09:51:00-000;13.03;13.05;13.03;13.03;9678;13.0303
29.11.2021;09:53:00-000;13.04;13.05;13.04;13.05;701;13.0429
29.11.2021;09:54:00-000;13.05;13.07;13.05;13.05;13237;13.0544
29.11.2021;09:55:00-000;13.05;13.05;13.02;13.03;3933;13.0313
29.11.2021;09:56:00-000;13.02;13.025;13.02;13.02;2498;13.0247
29.11.2021;09:57:00-000;13.02;13.02;13.01;13.02;640;13.0184
29.11.2021;09:59:00-000;13.02;13.0291;13.02;13.0291;2389;13.0255
29.11.2021;10:00:00-000;13.02;13.02;13.02;13.02;3415;13.0196
29.11.2021;10:02:00-000;13.02;13.03;13.02;13.03;5423;13.0288
29.11.2021;10:03:00-000;13.03;13.04;13.02;13.02;3809;13.029
29.11.2021;10:05:00-000;13.03;13.03;13.03;13.03;340;13.0308
29.11.2021;10:06:00-000;13.035;13.036;13.035;13.035;2330;13.0355
29.11.2021;10:07:00-000;13.04;13.04;13.035;13.04;2067;13.037
29.11.2021;10:08:00-000;13.035;13.035;13.03;13.03;661;13.0317
29.11.2021;10:09:00-000;13.035;13.035;13.035;13.035;120;13.0354
29.11.2021;10:10:00-000;13.04;13.06;13.0394;13.04;8149;13.0478
29.11.2021;10:12:00-000;13.03;13.03;13.0155;13.0155;1228;13.0233
