Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;46.34;46.34;46.34;46.34;1031;46.3402
29.11.2021;09:35:00-000;46.15;46.15;46.15;46.15;100;46.15
29.11.2021;09:40:00-000;46.0092;46.0092;46.0092;46.0092;250;46.0092
29.11.2021;09:42:00-000;46.01;46.01;46.01;46.01;675;45.9982
29.11.2021;09:50:00-000;45.8467;45.8467;45.8467;45.8467;182;45.8549
29.11.2021;09:51:00-000;45.8;45.8;45.8;45.8;125;45.8
29.11.2021;09:54:00-000;45.83;45.83;45.83;45.83;100;45.83
29.11.2021;09:57:00-000;45.76;45.76;45.76;45.76;100;45.76
29.11.2021;09:59:00-000;45.815;45.815;45.815;45.815;550;45.815
29.11.2021;10:11:00-000;45.7;45.72;45.7;45.72;267;45.7079
29.11.2021;10:14:00-000;45.6;45.6;45.6;45.6;218;45.6031
29.11.2021;10:16:00-000;45.56;45.56;45.56;45.56;449;45.56
29.11.2021;10:17:00-000;45.5707;45.5707;45.5707;45.5707;500;45.5707
29.11.2021;10:19:00-000;45.63;45.63;45.63;45.63;600;45.63
29.11.2021;10:36:00-000;45.4391;45.4391;45.4391;45.4391;376;45.439
29.11.2021;10:42:00-000;45.18;45.18;45.14;45.14;3600;45.1467
29.11.2021;10:43:00-000;45.15;45.15;45.15;45.15;2300;45.15
29.11.2021;10:44:00-000;45.15;45.18;45.15;45.18;9164;45.1776
29.11.2021;10:48:00-000;45.25;45.25;45.25;45.25;200;45.25
29.11.2021;10:59:00-000;45.25;45.25;45.25;45.25;3068;45.25
29.11.2021;11:00:00-000;45.22;45.25;45.22;45.25;6452;45.2486
29.11.2021;11:04:00-000;45.379;45.379;45.379;45.379;174;45.379
29.11.2021;11:09:00-000;45.39;45.39;45.39;45.39;1741;45.39
29.11.2021;11:28:00-000;45.19;45.19;45.19;45.19;1191;45.1907
29.11.2021;11:30:00-000;45.19;45.19;45.19;45.19;7029;45.19
29.11.2021;11:33:00-000;45.16;45.17;45.16;45.16;2440;45.1608
29.11.2021;11:38:00-000;45.2573;45.2573;45.2573;45.2573;288;45.2573
29.11.2021;11:45:00-000;45.4386;45.4386;45.4386;45.4386;331;45.4386
29.11.2021;11:55:00-000;45.43;45.43;45.43;45.43;286;45.43
29.11.2021;11:57:00-000;45.5191;45.5191;45.5191;45.5191;200;45.5191
29.11.2021;12:06:00-000;45.61;45.61;45.61;45.61;100;45.61
29.11.2021;12:23:00-000;45.7799;45.7799;45.7799;45.7799;100;45.7799
29.11.2021;12:34:00-000;45.85;45.85;45.85;45.85;205;45.8495
29.11.2021;12:50:00-000;45.97;45.97;45.96;45.97;803;45.9688
29.11.2021;12:53:00-000;45.935;45.935;45.935;45.935;541;45.935
29.11.2021;13:03:00-000;46.02;46.02;46.02;46.02;100;46.02
29.11.2021;13:16:00-000;45.91;45.92;45.91;45.92;583;45.9126
29.11.2021;13:18:00-000;45.825;45.825;45.825;45.825;116;45.825
29.11.2021;13:52:00-000;45.75;45.75;45.7491;45.7491;640;45.7494
29.11.2021;14:01:00-000;45.7548;45.7548;45.7548;45.7548;387;45.7549
29.11.2021;14:07:00-000;45.7636;45.7636;45.7636;45.7636;1116;45.7636
29.11.2021;14:14:00-000;45.7631;45.7631;45.7631;45.7631;546;45.7631
29.11.2021;14:20:00-000;45.682;45.682;45.682;45.682;502;45.682
29.11.2021;14:22:00-000;45.71;45.71;45.71;45.71;140;45.7094
29.11.2021;14:25:00-000;45.5919;45.5919;45.5919;45.5919;250;45.5919
29.11.2021;14:28:00-000;45.6723;45.6723;45.6723;45.6723;238;45.6764
29.11.2021;14:49:00-000;45.68;45.68;45.68;45.68;100;45.68
29.11.2021;15:09:00-000;45.6282;45.6282;45.6282;45.6282;568;45.6283
29.11.2021;15:15:00-000;45.68;45.68;45.68;45.68;101;45.68
29.11.2021;15:34:00-000;45.49;45.49;45.4651;45.4651;224;45.4776
29.11.2021;15:37:00-000;45.4339;45.4339;45.4339;45.4339;221;45.4341
29.11.2021;15:41:00-000;45.46;45.46;45.46;45.46;237;45.458
29.11.2021;15:44:00-000;45.4;45.4;45.4;45.4;1702;45.4
29.11.2021;15:49:00-000;45.3388;45.3388;45.3388;45.3388;196;45.336
29.11.2021;15:52:00-000;45.3186;45.3186;45.3186;45.3186;767;45.3186
29.11.2021;15:58:00-000;45.38;45.415;45.35;45.415;822;45.3843
29.11.2021;15:59:00-000;45.46;45.46;45.34;45.34;325;45.3768
