Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:00:00-000;49.4;49.4;49.4;49.4;107;49.4
29.11.2021;06:05:00-000;49.7;49.7;49.7;49.7;130;49.7462
29.11.2021;07:09:00-000;50.24;50.24;50.24;50.24;335;50.2037
29.11.2021;07:11:00-000;50;50;50;50;439;50
29.11.2021;07:33:00-000;50.24;50.24;50.24;50.24;200;50.24
29.11.2021;07:57:00-000;50.24;50.24;50.24;50.24;100;50.24
29.11.2021;08:00:00-000;50;50.25;50;50.24;4034;50.1794
29.11.2021;08:03:00-000;50;50;50;50;500;50
29.11.2021;08:08:00-000;50.25;50.3;50;50;1739;50.2277
29.11.2021;08:16:00-000;50.1;50.1;50.1;50.1;299;50.1013
29.11.2021;08:38:00-000;50.75;50.75;50.75;50.75;455;50.7492
29.11.2021;08:39:00-000;50.6;50.6;50.6;50.6;475;50.6
29.11.2021;08:40:00-000;50.75;50.75;50.75;50.75;612;50.7638
29.11.2021;08:44:00-000;51.35;51.35;51.35;51.35;975;51.2933
29.11.2021;08:45:00-000;51.54;51.55;51.54;51.55;1142;51.5389
29.11.2021;08:52:00-000;51.27;51.27;51.27;51.27;285;51.2737
29.11.2021;08:54:00-000;51.5;51.5;51.5;51.5;100;51.5
29.11.2021;08:57:00-000;51;51;51;51;402;51.0003
29.11.2021;08:58:00-000;51.11;51.5;51.11;51.5;685;51.383
29.11.2021;09:00:00-000;51.55;51.55;51.55;51.55;200;51.5959
29.11.2021;09:02:00-000;51.6;51.6;51.6;51.6;121;51.5959
29.11.2021;09:06:00-000;51.5;51.5;51.39;51.39;220;51.44
29.11.2021;09:08:00-000;51.39;51.39;51.39;51.39;1000;51.39
29.11.2021;09:09:00-000;51.39;51.39;51.39;51.39;519;51.3851
29.11.2021;09:12:00-000;51.1;51.1;51.1;51.1;402;51.1016
29.11.2021;09:13:00-000;51.1;51.1;51.1;51.1;119;51.102
29.11.2021;09:14:00-000;51.1;51.1;51.1;51.1;215;51.0427
29.11.2021;09:17:00-000;51;51;51;51;128;50.9616
29.11.2021;09:20:00-000;50.8;50.8;50.8;50.8;100;50.8
29.11.2021;09:24:00-000;50.84;50.84;50.84;50.84;243;50.8472
29.11.2021;09:28:00-000;50.83;50.83;50.83;50.83;100;50.83
29.11.2021;09:29:00-000;50.83;50.83;50.44;50.44;943;50.5674
29.11.2021;09:30:00-000;50.19;50.98;50.1;50.46;75596;50.1592
29.11.2021;09:31:00-000;50.3901;50.7799;50.3901;50.65;3702;50.6058
29.11.2021;09:32:00-000;50.67;50.87;50.63;50.645;15481;50.7293
29.11.2021;09:33:00-000;50.615;50.71;50.33;50.4514;10678;50.5317
29.11.2021;09:34:00-000;50.3304;50.39;49.98;50.08;17558;50.0924
29.11.2021;09:35:00-000;50.05;50.12;50;50.03;21018;50.0392
29.11.2021;09:36:00-000;50.12;50.13;49.97;50.01;19550;50.0538
29.11.2021;09:37:00-000;50.0759;50.195;49.9;49.97;19891;50.0402
29.11.2021;09:38:00-000;49.975;49.975;49.751;49.8399;10149;49.908
29.11.2021;09:39:00-000;49.7771;50.08;49.7771;50.015;7412;49.9488
29.11.2021;09:40:00-000;50.015;50.015;49.8;49.955;4769;49.9333
29.11.2021;09:41:00-000;49.91;49.945;49.77;49.77;5244;49.8494
29.11.2021;09:42:00-000;49.88;49.88;49.74;49.75;8234;49.7859
29.11.2021;09:43:00-000;49.74;49.74;49.65;49.65;8608;49.7167
29.11.2021;09:44:00-000;49.685;49.6966;49.6;49.6;6877;49.6335
29.11.2021;09:45:00-000;49.62;49.68;49.57;49.68;15820;49.6257
29.11.2021;09:46:00-000;49.61;49.61;49.45;49.51;6453;49.5179
29.11.2021;09:47:00-000;49.52;49.54;49.4;49.47;12529;49.4655
29.11.2021;09:48:00-000;49.41;49.45;49.32;49.37;4290;49.3549
29.11.2021;09:49:00-000;49.44;49.44;49.25;49.28;9435;49.3584
29.11.2021;09:50:00-000;49.25;49.31;49.15;49.1684;9252;49.226
29.11.2021;09:51:00-000;49.15;49.2999;49.11;49.11;6561;49.192
29.11.2021;09:52:00-000;49.14;49.195;49.13;49.1601;7947;49.1589
29.11.2021;09:53:00-000;49.19;49.34;49.19;49.33;13750;49.274
29.11.2021;09:54:00-000;49.36;49.575;49.36;49.455;8966;49.4782
29.11.2021;09:55:00-000;49.455;49.54;49.39;49.5001;6396;49.4621
29.11.2021;09:56:00-000;49.51;49.6726;49.5;49.51;7127;49.5652
29.11.2021;09:57:00-000;49.53;49.55;49.485;49.5301;10761;49.5142
29.11.2021;09:58:00-000;49.5;49.51;49.42;49.46;7751;49.4834
29.11.2021;09:59:00-000;49.44;49.565;49.38;49.51;7757;49.4706
29.11.2021;10:00:00-000;49.49;49.6162;49.41;49.54;6103;49.5181
29.11.2021;10:01:00-000;49.6;49.64;49.57;49.57;5539;49.6016
29.11.2021;10:02:00-000;49.6;49.695;49.465;49.5399;8699;49.5623
29.11.2021;10:03:00-000;49.47;49.485;49.3;49.3;6808;49.396
29.11.2021;10:04:00-000;49.24;49.2555;49.2;49.24;4759;49.2203
29.11.2021;10:05:00-000;49.235;49.3324;49.17;49.2187;11262;49.2326
29.11.2021;10:06:00-000;49.2023;49.28;49.18;49.19;7800;49.223
29.11.2021;10:07:00-000;49.13;49.15;49;49.0104;9394;49.0587
29.11.2021;10:08:00-000;48.985;49.0599;48.8905;48.8905;5748;48.9648
29.11.2021;10:09:00-000;48.94;48.97;48.8401;48.87;4064;48.9104
29.11.2021;10:10:00-000;48.89;49.02;48.88;48.94;6740;48.9359
29.11.2021;10:11:00-000;48.94;49.0024;48.92;48.925;4235;48.953
29.11.2021;10:12:00-000;48.925;48.925;48.8169;48.8169;6384;48.899
29.11.2021;10:13:00-000;48.8197;48.85;48.76;48.785;8047;48.8166
29.11.2021;10:14:00-000;48.79;48.95;48.79;48.935;10584;48.8838
29.11.2021;10:15:00-000;48.92;48.985;48.83;48.845;14895;48.9253
29.11.2021;10:16:00-000;48.82;48.85;48.78;48.78;7582;48.8216
29.11.2021;10:17:00-000;48.7801;48.89;48.78;48.87;6601;48.8292
29.11.2021;10:18:00-000;48.89;49.05;48.89;49.05;7722;48.9411
29.11.2021;10:19:00-000;49.055;49.23;49.0401;49.185;17988;49.146
29.11.2021;10:20:00-000;49.19;49.24;49.1;49.24;37989;49.1765
29.11.2021;10:21:00-000;49.2278;49.4;49.2;49.355;21420;49.3004
29.11.2021;10:22:00-000;49.37;49.37;49.24;49.24;8644;49.2868
29.11.2021;10:23:00-000;49.24;49.28;49.17;49.2047;12039;49.2167
29.11.2021;10:24:00-000;49.18;49.204;49.14;49.14;5476;49.1701
29.11.2021;10:25:00-000;49.11;49.14;49.095;49.095;3719;49.1145
29.11.2021;10:26:00-000;49.0814;49.0814;49;49.06;4090;49.042
29.11.2021;10:27:00-000;49.01;49.06;49.01;49.0462;4622;49.0412
29.11.2021;10:28:00-000;49.05;49.09;49;49.04;10068;49.0303
29.11.2021;10:29:00-000;49.02;49.0995;49.01;49.05;3295;49.0413
29.11.2021;10:30:00-000;49.03;49.075;49;49;8070;49.0217
29.11.2021;10:31:00-000;48.99;48.9917;48.97;48.97;2289;48.9822
29.11.2021;10:32:00-000;48.9899;49.0605;48.97;49.0605;14297;49.0194
29.11.2021;10:33:00-000;49.03;49.05;48.96;48.98;5467;48.9994
29.11.2021;10:34:00-000;49;49.05;48.98;49.05;5289;49.0108
29.11.2021;10:35:00-000;49.07;49.25;49.07;49.24;7653;49.1928
29.11.2021;10:36:00-000;49.23;49.32;49.125;49.125;16673;49.2497
29.11.2021;10:37:00-000;49.12;49.1249;49.07;49.07;3621;49.104
29.11.2021;10:38:00-000;49.04;49.04;48.96;49.01;4101;49.0132
29.11.2021;10:39:00-000;48.96;48.98;48.9;48.9;5520;48.9313
29.11.2021;10:40:00-000;48.9675;48.9675;48.88;48.885;2547;48.9615
29.11.2021;10:41:00-000;48.86;48.86;48.84;48.84;1858;48.8496
29.11.2021;10:42:00-000;48.85;48.9;48.85;48.85;4059;48.863
29.11.2021;10:43:00-000;48.8793;48.8793;48.81;48.8647;932;48.8451
29.11.2021;10:44:00-000;48.87;48.94;48.86;48.9;6721;48.9083
29.11.2021;10:45:00-000;48.9499;49.06;48.92;49.06;8021;48.9886
29.11.2021;10:46:00-000;49.087;49.11;49.03;49.03;2140;49.0707
29.11.2021;10:47:00-000;49.0283;49.09;49.02;49.09;1637;49.0564
29.11.2021;10:48:00-000;49.1;49.13;49.05;49.0729;5221;49.0837
29.11.2021;10:49:00-000;49.0639;49.0639;49.02;49.0592;3294;49.0481
29.11.2021;10:50:00-000;49.04;49.0468;48.9;48.915;8651;48.9884
29.11.2021;10:51:00-000;48.93;49.06;48.93;49.06;12232;48.9836
29.11.2021;10:52:00-000;49.04;49.1;48.98;48.98;4118;49.0441
29.11.2021;10:53:00-000;49;49.0296;48.925;48.95;5722;48.9828
29.11.2021;10:54:00-000;48.9544;48.96;48.91;48.935;1961;48.9426
29.11.2021;10:55:00-000;48.96;49.12;48.95;49.1;8017;49.0255
29.11.2021;10:56:00-000;49.13;49.16;49.105;49.1115;2704;49.1255
29.11.2021;10:57:00-000;49.14;49.2174;49.14;49.14;4086;49.1825
29.11.2021;10:58:00-000;49.13;49.25;49.118;49.22;2700;49.1822
29.11.2021;10:59:00-000;49.25;49.315;49.22;49.315;3020;49.2843
29.11.2021;11:00:00-000;49.34;49.4401;49.3;49.3;3269;49.367
29.11.2021;11:01:00-000;49.2801;49.36;49.231;49.315;4484;49.2654
29.11.2021;11:02:00-000;49.355;49.5;49.355;49.475;29689;49.4673
29.11.2021;11:03:00-000;49.475;49.475;49.41;49.41;4181;49.4343
29.11.2021;11:04:00-000;49.4;49.42;49.35;49.4;5302;49.3891
29.11.2021;11:05:00-000;49.41;49.45;49.41;49.4335;3675;49.4348
29.11.2021;11:06:00-000;49.435;49.49;49.41;49.43;7914;49.4588
