Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:14:00-000;9.92;9.92;9.92;9.92;100;9.92
29.11.2021;09:30:00-000;9.87;9.88;9.86;9.88;1272;9.8714
29.11.2021;09:51:00-000;9.88;9.88;9.88;9.88;400;9.88
29.11.2021;09:58:00-000;9.88;9.88;9.87;9.87;4593;9.8773
29.11.2021;09:59:00-000;9.87;9.87;9.87;9.87;400;9.87
29.11.2021;10:00:00-000;9.89;9.89;9.89;9.89;3420;9.89
29.11.2021;10:01:00-000;9.87;9.87;9.87;9.87;300;9.87
29.11.2021;10:12:00-000;9.89;9.89;9.89;9.89;310;9.8897
29.11.2021;10:55:00-000;9.87;9.8701;9.87;9.8701;1284;9.8701
29.11.2021;10:56:00-000;9.87;9.87;9.87;9.87;100;9.87
29.11.2021;11:58:00-000;9.87;9.8701;9.87;9.87;1078;9.8701
29.11.2021;11:59:00-000;9.87;9.87;9.87;9.87;200;9.87
29.11.2021;12:24:00-000;9.87;9.872;9.865;9.87;91030;9.8699
29.11.2021;12:25:00-000;9.87;9.87;9.86;9.87;4700;9.8675
29.11.2021;12:26:00-000;9.87;9.87;9.87;9.87;2839;9.87
29.11.2021;12:27:00-000;9.87;9.87;9.87;9.87;200;9.87
29.11.2021;12:38:00-000;9.87;9.87;9.87;9.87;2210;9.87
29.11.2021;12:44:00-000;9.87;9.87;9.87;9.87;2634;9.8701
29.11.2021;12:51:00-000;9.87;9.87;9.87;9.87;2602;9.87
29.11.2021;12:58:00-000;9.87;9.87;9.87;9.87;2598;9.8701
29.11.2021;13:04:00-000;9.87;9.87;9.87;9.87;2523;9.8701
29.11.2021;13:11:00-000;9.86;9.86;9.86;9.86;400;9.86
29.11.2021;13:35:00-000;9.8601;9.8601;9.8601;9.8601;200;9.8601
29.11.2021;14:12:00-000;9.86;9.86;9.86;9.86;110;9.8605
29.11.2021;14:18:00-000;9.8699;9.8699;9.8699;9.8699;150;9.8699
29.11.2021;14:21:00-000;9.8689;9.8689;9.8689;9.8689;300;9.8689
29.11.2021;14:25:00-000;9.86;9.86;9.86;9.86;400;9.86
29.11.2021;14:35:00-000;9.86;9.86;9.86;9.86;100;9.86
29.11.2021;14:42:00-000;9.87;9.87;9.865;9.87;7789;9.8696
29.11.2021;14:50:00-000;9.87;9.87;9.87;9.87;2282;9.87
29.11.2021;14:53:00-000;9.87;9.87;9.87;9.87;2289;9.87
29.11.2021;14:57:00-000;9.87;9.87;9.87;9.87;2290;9.87
29.11.2021;15:00:00-000;9.87;9.87;9.87;9.87;2286;9.87
29.11.2021;15:03:00-000;9.87;9.87;9.87;9.87;2292;9.87
29.11.2021;15:06:00-000;9.87;9.87;9.86;9.86;2423;9.8647
29.11.2021;15:10:00-000;9.86;9.86;9.86;9.86;2998;9.8605
29.11.2021;15:13:00-000;9.86;9.86;9.86;9.86;1030;9.86
29.11.2021;15:17:00-000;9.86;9.86;9.86;9.86;380;9.86
29.11.2021;15:21:00-000;9.86;9.86;9.86;9.86;1740;9.86
29.11.2021;15:23:00-000;9.86;9.86;9.86;9.86;1742;9.86
29.11.2021;15:25:00-000;9.86;9.87;9.86;9.87;12188;9.8683
29.11.2021;15:26:00-000;9.87;9.87;9.87;9.87;125;9.87
29.11.2021;15:28:00-000;9.87;9.87;9.87;9.87;103;9.8703
29.11.2021;15:35:00-000;9.87;9.87;9.87;9.87;110;9.87
29.11.2021;15:50:00-000;9.87;9.88;9.87;9.88;827;9.8725
29.11.2021;15:58:00-000;9.88;9.88;9.88;9.88;211;9.8702
29.11.2021;15:59:00-000;9.86;9.86;9.86;9.86;2881;9.8602
29.11.2021;16:00:00-000;9.88;9.88;9.88;9.88;2400;9.88
29.11.2021;16:02:00-000;9.87;9.87;9.87;9.87;100;9.87
