Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:25:00-000;40.48;40.48;40.47;40.48;403;40.475
29.11.2021;09:30:00-000;40.72;40.72;40.52;40.52;16764;40.6289
29.11.2021;09:31:00-000;40.51;40.51;40.32;40.37;3710;40.4132
29.11.2021;09:32:00-000;40.35;40.38;40.31;40.33;3728;40.3467
29.11.2021;09:33:00-000;40.38;40.42;40.33;40.405;2138;40.3984
29.11.2021;09:34:00-000;40.405;40.51;40.36;40.51;31716;40.4977
29.11.2021;09:35:00-000;40.48;40.51;40.44;40.46;1815;40.4751
29.11.2021;09:36:00-000;40.45;40.47;40.445;40.445;1387;40.4594
29.11.2021;09:37:00-000;40.425;40.44;40.42;40.43;1743;40.4288
29.11.2021;09:38:00-000;40.42;40.43;40.4;40.42;1694;40.4185
29.11.2021;09:39:00-000;40.405;40.485;40.405;40.46;12775;40.4681
29.11.2021;09:40:00-000;40.46;40.46;40.42;40.455;3084;40.4414
29.11.2021;09:41:00-000;40.48;40.54;40.39;40.43;57984;40.4801
29.11.2021;09:42:00-000;40.42;40.48;40.42;40.475;10590;40.4749
29.11.2021;09:43:00-000;40.48;40.525;40.48;40.52;9593;40.4962
29.11.2021;09:44:00-000;40.5;40.5;40.46;40.495;11626;40.4947
29.11.2021;09:45:00-000;40.49;40.49;40.43;40.46;2340;40.4621
29.11.2021;09:46:00-000;40.48;40.52;40.47;40.47;6285;40.4863
29.11.2021;09:47:00-000;40.47;40.52;40.47;40.52;9877;40.4828
29.11.2021;09:48:00-000;40.5165;40.55;40.5165;40.54;12548;40.5338
29.11.2021;09:49:00-000;40.51;40.59;40.51;40.55;17969;40.5532
29.11.2021;09:50:00-000;40.53;40.58;40.53;40.54;6100;40.5626
29.11.2021;09:51:00-000;40.555;40.555;40.54;40.54;202;40.5474
29.11.2021;09:52:00-000;40.55;40.585;40.54;40.585;3117;40.5609
29.11.2021;09:53:00-000;40.58;40.61;40.56;40.61;3163;40.5816
29.11.2021;09:54:00-000;40.61;40.68;40.61;40.61;7068;40.6313
29.11.2021;09:55:00-000;40.615;40.66;40.58;40.645;4252;40.6255
29.11.2021;09:56:00-000;40.645;40.68;40.625;40.675;6891;40.6565
29.11.2021;09:57:00-000;40.675;40.675;40.66;40.66;1620;40.6659
29.11.2021;09:58:00-000;40.66;40.66;40.62;40.62;3452;40.6395
29.11.2021;09:59:00-000;40.64;40.64;40.53;40.53;3493;40.62
29.11.2021;10:00:00-000;40.56;40.655;40.56;40.62;6676;40.6222
29.11.2021;10:01:00-000;40.63;40.66;40.62;40.625;2938;40.646
29.11.2021;10:02:00-000;40.635;40.64;40.62;40.625;7970;40.625
29.11.2021;10:03:00-000;40.595;40.6;40.55;40.59;2413;40.5781
29.11.2021;10:04:00-000;40.59;40.6201;40.59;40.62;1146;40.6133
29.11.2021;10:05:00-000;40.7;40.7;40.67;40.67;3475;40.6909
29.11.2021;10:06:00-000;40.661;40.69;40.661;40.68;1805;40.679
29.11.2021;10:07:00-000;40.69;40.69;40.665;40.685;2187;40.68
29.11.2021;10:08:00-000;40.69;40.7;40.67;40.67;1949;40.6784
29.11.2021;10:09:00-000;40.68;40.7;40.68;40.69;1137;40.6879
29.11.2021;10:10:00-000;40.69;40.69;40.68;40.68;1134;40.6823
29.11.2021;10:11:00-000;40.67;40.67;40.63;40.6436;2528;40.6467
29.11.2021;10:12:00-000;40.655;40.66;40.6;40.63;11893;40.6509
29.11.2021;10:13:00-000;40.62;40.63;40.6;40.6;878;40.6173
29.11.2021;10:14:00-000;40.63;40.645;40.6;40.62;3925;40.6245
29.11.2021;10:15:00-000;40.61;40.63;40.59;40.62;1828;40.6078
29.11.2021;10:16:00-000;40.62;40.63;40.62;40.63;894;40.6255
29.11.2021;10:17:00-000;40.63;40.63;40.53;40.55;20855;40.5817
29.11.2021;10:18:00-000;40.54;40.54;40.515;40.515;764;40.5585
29.11.2021;10:19:00-000;40.53;40.55;40.53;40.535;4057;40.5376
29.11.2021;10:20:00-000;40.55;40.58;40.52;40.53;3355;40.5591
29.11.2021;10:21:00-000;40.55;40.57;40.54;40.56;4740;40.5564
29.11.2021;10:22:00-000;40.54;40.54;40.54;40.54;300;40.5469
29.11.2021;10:23:00-000;40.545;40.59;40.545;40.55;5388;40.5689
29.11.2021;10:24:00-000;40.55;40.58;40.55;40.55;1542;40.5629
29.11.2021;10:25:00-000;40.56;40.58;40.56;40.56;1530;40.5707
29.11.2021;10:26:00-000;40.53;40.53;40.51;40.52;4147;40.5236
29.11.2021;10:27:00-000;40.53;40.53;40.48;40.48;4965;40.5145
29.11.2021;10:28:00-000;40.475;40.51;40.475;40.5;6877;40.4961
29.11.2021;10:29:00-000;40.505;40.55;40.505;40.54;6424;40.5291
29.11.2021;10:30:00-000;40.52;40.58;40.52;40.58;2866;40.5449
29.11.2021;10:31:00-000;40.57;40.58;40.57;40.575;1536;40.5687
29.11.2021;10:32:00-000;40.55;40.55;40.55;40.55;100;40.55
29.11.2021;10:33:00-000;40.546;40.56;40.546;40.5524;2280;40.5522
29.11.2021;10:34:00-000;40.55;40.55;40.54;40.54;616;40.5416
29.11.2021;10:35:00-000;40.55;40.57;40.55;40.56;1672;40.5592
29.11.2021;10:36:00-000;40.55;40.56;40.55;40.56;2504;40.553
29.11.2021;10:37:00-000;40.54;40.54;40.53;40.54;1472;40.5369
29.11.2021;10:38:00-000;40.54;40.54;40.5;40.52;3141;40.5245
29.11.2021;10:39:00-000;40.5;40.52;40.5;40.52;1077;40.5084
29.11.2021;10:40:00-000;40.52;40.52;40.45;40.45;8451;40.4837
29.11.2021;10:41:00-000;40.4438;40.51;40.43;40.51;31279;40.4778
29.11.2021;10:42:00-000;40.5;40.55;40.48;40.52;17836;40.5235
29.11.2021;10:43:00-000;40.54;40.54;40.525;40.525;1934;40.5349
29.11.2021;10:44:00-000;40.54;40.58;40.5;40.58;109016;40.5055
29.11.2021;10:45:00-000;40.57;40.57;40.57;40.57;201;40.5699
29.11.2021;10:46:00-000;40.57;40.58;40.57;40.58;200;40.575
29.11.2021;10:47:00-000;40.58;40.585;40.55;40.58;6567;40.5675
29.11.2021;10:48:00-000;40.58;40.605;40.56;40.56;8169;40.5938
29.11.2021;10:49:00-000;40.575;40.575;40.56;40.575;401;40.5713
29.11.2021;10:50:00-000;40.58;40.6;40.56;40.59;3740;40.5851
29.11.2021;10:51:00-000;40.61;40.61;40.59;40.59;1012;40.6007
29.11.2021;10:52:00-000;40.59;40.595;40.58;40.58;400;40.5888
29.11.2021;10:53:00-000;40.59;40.59;40.58;40.59;1298;40.5832
29.11.2021;10:54:00-000;40.58;40.58;40.55;40.57;1136;40.5664
29.11.2021;10:55:00-000;40.57;40.57;40.55;40.55;508;40.5656
29.11.2021;10:56:00-000;40.56;40.56;40.54;40.54;1161;40.5442
29.11.2021;10:57:00-000;40.52;40.53;40.5195;40.53;392;40.5226
29.11.2021;10:58:00-000;40.51;40.51;40.46;40.46;2571;40.476
29.11.2021;10:59:00-000;40.46;40.47;40.45;40.45;1206;40.4737
29.11.2021;11:00:00-000;40.47;40.49;40.47;40.49;1555;40.4812
29.11.2021;11:01:00-000;40.5;40.51;40.5;40.5;1597;40.5021
29.11.2021;11:02:00-000;40.51;40.53;40.51;40.52;3456;40.5195
29.11.2021;11:03:00-000;40.52;40.52;40.49;40.49;3518;40.5015
29.11.2021;11:04:00-000;40.48;40.51;40.47;40.485;9911;40.4986
29.11.2021;11:05:00-000;40.485;40.5;40.485;40.5;2815;40.499
29.11.2021;11:06:00-000;40.49;40.49;40.49;40.49;482;40.4892
29.11.2021;11:07:00-000;40.5;40.51;40.49;40.505;2267;40.5019
29.11.2021;11:08:00-000;40.5;40.51;40.5;40.51;1978;40.5059
29.11.2021;11:09:00-000;40.51;40.52;40.51;40.51;1140;40.5138
29.11.2021;11:10:00-000;40.51;40.51;40.49;40.509;2561;40.5055
29.11.2021;11:11:00-000;40.5;40.52;40.48;40.48;2204;40.5064
29.11.2021;11:13:00-000;40.51;40.51;40.51;40.51;348;40.4982
29.11.2021;11:14:00-000;40.49;40.51;40.49;40.5;8102;40.4994
29.11.2021;11:15:00-000;40.5;40.51;40.5;40.51;3139;40.5068
29.11.2021;11:16:00-000;40.51;40.54;40.51;40.54;2172;40.5202
29.11.2021;11:17:00-000;40.54;40.54;40.535;40.535;675;40.537
29.11.2021;11:18:00-000;40.53;40.55;40.515;40.54;5022;40.5359
29.11.2021;11:19:00-000;40.54;40.56;40.53;40.54;7481;40.5459
29.11.2021;11:20:00-000;40.55;40.56;40.55;40.55;2209;40.5567
29.11.2021;11:21:00-000;40.56;40.58;40.56;40.58;1285;40.563
29.11.2021;11:22:00-000;40.58;40.595;40.58;40.58;1822;40.5863
29.11.2021;11:23:00-000;40.58;40.58;40.58;40.58;630;40.5803
29.11.2021;11:25:00-000;40.6;40.6;40.57;40.57;1288;40.5798
29.11.2021;11:26:00-000;40.57;40.62;40.57;40.58;3264;40.6014
29.11.2021;11:28:00-000;40.605;40.6225;40.6;40.61;1405;40.6109
29.11.2021;11:29:00-000;40.615;40.64;40.61;40.64;3501;40.6247
29.11.2021;11:30:00-000;40.64;40.68;40.64;40.6725;3061;40.6606
29.11.2021;11:31:00-000;40.675;40.675;40.65;40.66;3193;40.6656
29.11.2021;11:32:00-000;40.67;40.67;40.66;40.66;2011;40.6548
29.11.2021;11:33:00-000;40.65;40.66;40.63;40.6596;2419;40.6418
29.11.2021;11:34:00-000;40.64;40.67;40.64;40.66;2879;40.6597
29.11.2021;11:35:00-000;40.68;40.68;40.665;40.665;3431;40.6756
29.11.2021;11:36:00-000;40.67;40.69;40.67;40.685;1988;40.6784
29.11.2021;11:37:00-000;40.685;40.71;40.685;40.7;3548;40.7062
29.11.2021;11:38:00-000;40.72;40.72;40.68;40.705;1012;40.7002
29.11.2021;11:39:00-000;40.72;40.74;40.72;40.72;1058;40.7203
29.11.2021;11:40:00-000;40.72;40.73;40.71;40.72;5909;40.7213
29.11.2021;11:41:00-000;40.72;40.74;40.72;40.74;1458;40.7313
29.11.2021;11:42:00-000;40.74;40.765;40.73;40.765;2600;40.742
29.11.2021;11:43:00-000;40.765;40.77;40.765;40.77;593;40.7706
29.11.2021;11:44:00-000;40.78;40.78;40.76;40.77;2330;40.7755
29.11.2021;11:45:00-000;40.77;40.785;40.77;40.785;2221;40.781
29.11.2021;11:46:00-000;40.79;40.79;40.79;40.79;103;40.7898
29.11.2021;11:47:00-000;40.79;40.81;40.77;40.77;6636;40.7916
29.11.2021;11:48:00-000;40.78;40.79;40.78;40.785;452;40.7823
29.11.2021;11:49:00-000;40.8;40.8;40.78;40.78;1444;40.7886
29.11.2021;11:50:00-000;40.77;40.77;40.75;40.76;3570;40.7604
