Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:32:00-000;297.65;297.65;295.71;295.71;6537;297.195
29.11.2021;09:33:00-000;296.42;297;295.92;295.92;3369;296.537
29.11.2021;09:34:00-000;295.698;295.698;295.18;295.18;475;295.554
29.11.2021;09:37:00-000;295.1;295.13;295;295;552;295.096
29.11.2021;09:38:00-000;294.44;294.78;294.39;294.49;2348;294.587
29.11.2021;09:39:00-000;294.49;294.49;294.49;294.49;154;294.4
29.11.2021;09:40:00-000;294.06;294.82;293.92;294.75;3656;294.565
29.11.2021;09:41:00-000;294.94;294.94;294.94;294.94;798;294.723
29.11.2021;09:42:00-000;294.58;294.58;294.21;294.21;1787;294.546
29.11.2021;09:44:00-000;293.52;293.53;293.34;293.34;725;293.634
29.11.2021;09:45:00-000;294.05;294.05;293;293.084;2382;293.494
29.11.2021;09:46:00-000;293.33;293.33;293.33;293.33;275;293.461
29.11.2021;09:47:00-000;292.74;293.04;292.74;293.04;438;293.043
29.11.2021;09:48:00-000;293.005;293.55;292.76;292.97;5112;293.3
29.11.2021;09:49:00-000;293.61;294.025;293.61;293.61;1913;293.705
29.11.2021;09:50:00-000;293.6;293.76;293.6;293.73;582;293.676
29.11.2021;09:52:00-000;293.375;293.375;293.18;293.18;1314;293.196
29.11.2021;09:53:00-000;293.27;293.27;293.27;293.27;187;293.337
29.11.2021;09:54:00-000;293.475;293.68;293.28;293.49;2734;293.55
29.11.2021;09:55:00-000;293.425;293.83;293.425;293.83;1399;293.598
29.11.2021;09:56:00-000;293.56;293.56;293.56;293.56;831;293.553
29.11.2021;09:57:00-000;293.19;293.28;292.76;292.8;1513;293.077
29.11.2021;09:58:00-000;292.995;292.995;292.995;292.995;207;292.854
29.11.2021;09:59:00-000;292.74;292.84;292.73;292.73;983;292.678
29.11.2021;10:00:00-000;292.36;292.54;292.23;292.54;3118;292.425
29.11.2021;10:01:00-000;292.45;292.45;292.355;292.355;1123;292.437
29.11.2021;10:02:00-000;292.136;292.95;292.136;292.7;2256;292.726
29.11.2021;10:04:00-000;292.175;292.175;292.175;292.175;123;292.172
