Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;17.1;17.28;17.1;17.21;8042;17.2081
29.11.2021;09:31:00-000;17.14;17.16;17.11;17.11;6501;17.1387
29.11.2021;09:32:00-000;17.11;17.15;17.11;17.1214;4102;17.1337
29.11.2021;09:33:00-000;17.11;17.12;17.11;17.11;2107;17.1144
29.11.2021;09:34:00-000;17.12;17.14;17.12;17.14;7850;17.131
29.11.2021;09:35:00-000;17.15;17.15;17.14;17.15;3420;17.1466
29.11.2021;09:36:00-000;17.17;17.17;17.17;17.17;476;17.17
29.11.2021;09:37:00-000;17.19;17.195;17.16;17.175;2526;17.1799
29.11.2021;09:38:00-000;17.18;17.18;17.18;17.18;831;17.181
29.11.2021;09:39:00-000;17.18;17.18;17.15;17.16;1812;17.1611
29.11.2021;09:40:00-000;17.16;17.17;17.15;17.165;7486;17.1566
29.11.2021;09:41:00-000;17.165;17.21;17.165;17.21;2009;17.1872
29.11.2021;09:42:00-000;17.22;17.22;17.18;17.185;7813;17.2011
29.11.2021;09:43:00-000;17.19;17.2;17.185;17.19;1631;17.1923
29.11.2021;09:44:00-000;17.19;17.19;17.185;17.185;1356;17.1895
29.11.2021;09:45:00-000;17.185;17.195;17.18;17.19;3937;17.1858
29.11.2021;09:46:00-000;17.19;17.19;17.16;17.175;3128;17.1783
29.11.2021;09:47:00-000;17.17;17.175;17.155;17.16;7332;17.1658
29.11.2021;09:48:00-000;17.16;17.16;17.15;17.16;2443;17.1566
29.11.2021;09:49:00-000;17.145;17.15;17.14;17.145;431;17.1453
29.11.2021;09:50:00-000;17.125;17.13;17.115;17.12;10529;17.1282
29.11.2021;09:51:00-000;17.115;17.12;17.115;17.12;420;17.116
29.11.2021;09:52:00-000;17.11;17.11;17.11;17.11;100;17.11
29.11.2021;09:53:00-000;17.11;17.115;17.105;17.115;1000;17.1115
29.11.2021;09:55:00-000;17.12;17.13;17.115;17.13;3513;17.1254
29.11.2021;09:56:00-000;17.125;17.13;17.115;17.115;3844;17.121
29.11.2021;09:57:00-000;17.11;17.11;17.105;17.11;2834;17.1086
29.11.2021;09:58:00-000;17.115;17.1299;17.115;17.125;2075;17.1243
29.11.2021;09:59:00-000;17.125;17.125;17.12;17.12;653;17.1215
29.11.2021;10:00:00-000;17.115;17.115;17.11;17.11;286;17.1138
29.11.2021;10:01:00-000;17.111;17.111;17.11;17.11;383;17.1107
29.11.2021;10:02:00-000;17.11;17.11;17.09;17.11;3437;17.1011
29.11.2021;10:03:00-000;17.11;17.11;17.105;17.11;1162;17.1092
29.11.2021;10:04:00-000;17.11;17.11;17.095;17.11;1612;17.1046
29.11.2021;10:05:00-000;17.11;17.13;17.11;17.13;3358;17.1184
29.11.2021;10:06:00-000;17.13;17.13;17.12;17.12;367;17.1198
29.11.2021;10:07:00-000;17.12;17.12;17.12;17.12;1085;17.1201
29.11.2021;10:08:00-000;17.13;17.13;17.13;17.13;258;17.1285
29.11.2021;10:09:00-000;17.13;17.16;17.125;17.16;1226;17.1335
29.11.2021;10:11:00-000;17.15;17.17;17.15;17.16;2493;17.1598
29.11.2021;10:12:00-000;17.16;17.17;17.15;17.15;3418;17.1616
29.11.2021;10:13:00-000;17.15;17.16;17.13;17.14;26087;17.1436
29.11.2021;10:14:00-000;17.14;17.15;17.138;17.15;6477;17.1474
29.11.2021;10:15:00-000;17.16;17.17;17.16;17.17;4170;17.1645
29.11.2021;10:16:00-000;17.17;17.19;17.165;17.18;5446;17.1819
29.11.2021;10:18:00-000;17.1798;17.19;17.175;17.19;1792;17.1823
29.11.2021;10:20:00-000;17.19;17.205;17.19;17.195;39459;17.1996
29.11.2021;10:21:00-000;17.2;17.205;17.19;17.195;47692;17.1994
29.11.2021;10:22:00-000;17.2;17.2053;17.19;17.2053;41647;17.1997
29.11.2021;10:23:00-000;17.2001;17.2001;17.2001;17.2001;174;17.2016
29.11.2021;10:24:00-000;17.21;17.225;17.21;17.225;2375;17.2142
29.11.2021;10:26:00-000;17.23;17.23;17.23;17.23;1986;17.23
29.11.2021;10:27:00-000;17.23;17.23;17.23;17.23;211;17.23
29.11.2021;10:28:00-000;17.22;17.22;17.22;17.22;3069;17.2201
29.11.2021;10:29:00-000;17.215;17.22;17.215;17.22;2909;17.2191
29.11.2021;10:30:00-000;17.23;17.23;17.22;17.22;5225;17.2261
29.11.2021;10:31:00-000;17.22;17.22;17.2;17.21;25702;17.2134
29.11.2021;10:32:00-000;17.22;17.22;17.21;17.21;3361;17.219
29.11.2021;10:33:00-000;17.21;17.23;17.21;17.23;2353;17.222
29.11.2021;10:34:00-000;17.23;17.23;17.22;17.22;1714;17.2244
29.11.2021;10:35:00-000;17.23;17.23;17.22;17.22;305;17.2234
29.11.2021;10:36:00-000;17.215;17.23;17.21;17.23;21024;17.2175
29.11.2021;10:37:00-000;17.23;17.23;17.215;17.225;23560;17.222
29.11.2021;10:38:00-000;17.23;17.23;17.205;17.21;6403;17.2103
29.11.2021;10:39:00-000;17.2124;17.2124;17.2048;17.2048;2477;17.2095
29.11.2021;10:42:00-000;17.205;17.205;17.205;17.205;100;17.205
29.11.2021;10:43:00-000;17.205;17.205;17.19;17.19;7736;17.1957
29.11.2021;10:44:00-000;17.19;17.2;17.185;17.195;2934;17.1931
29.11.2021;10:45:00-000;17.19;17.19;17.185;17.1891;7437;17.1895
29.11.2021;10:46:00-000;17.19;17.21;17.19;17.2;6542;17.199
29.11.2021;10:47:00-000;17.19;17.1937;17.18;17.19;6410;17.191
29.11.2021;10:48:00-000;17.18;17.18;17.16;17.17;5214;17.1688
29.11.2021;10:49:00-000;17.17;17.17;17.165;17.17;918;17.1678
29.11.2021;10:50:00-000;17.17;17.17;17.16;17.165;1528;17.1662
29.11.2021;10:51:00-000;17.17;17.17;17.165;17.165;1123;17.1687
29.11.2021;10:52:00-000;17.17;17.17;17.16;17.16;700;17.1671
