Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:00:00-000;1.8;1.8;1.8;1.8;100;1.8
29.11.2021;04:08:00-000;1.71;1.71;1.71;1.71;550;1.71
29.11.2021;04:12:00-000;1.73;1.74;1.73;1.74;10477;1.7386
29.11.2021;04:13:00-000;1.82;1.82;1.82;1.82;1000;1.82
29.11.2021;06:18:00-000;1.74;1.74;1.74;1.74;476;1.74
29.11.2021;06:32:00-000;1.74;1.74;1.74;1.74;100;1.74
29.11.2021;07:06:00-000;1.72;1.72;1.72;1.72;400;1.72
29.11.2021;07:56:00-000;1.73;1.73;1.72;1.73;1294;1.7266
29.11.2021;07:59:00-000;1.74;1.74;1.74;1.74;100;1.74
29.11.2021;08:00:00-000;1.72;1.7899;1.7;1.7899;1051;1.7248
29.11.2021;08:06:00-000;1.7799;1.7799;1.7799;1.7799;250;1.7799
29.11.2021;08:07:00-000;1.7799;1.7799;1.7799;1.7799;250;1.7799
29.11.2021;08:34:00-000;1.74;1.74;1.72;1.73;3500;1.7307
29.11.2021;08:36:00-000;1.73;1.73;1.73;1.73;1000;1.73
29.11.2021;08:39:00-000;1.73;1.73;1.72;1.72;3500;1.7276
29.11.2021;08:43:00-000;1.72;1.72;1.72;1.72;803;1.72
29.11.2021;08:52:00-000;1.71;1.71;1.71;1.71;3503;1.71
29.11.2021;08:54:00-000;1.71;1.71;1.71;1.71;923;1.71
29.11.2021;08:55:00-000;1.71;1.7199;1.71;1.7199;200;1.715
29.11.2021;08:56:00-000;1.71;1.72;1.71;1.72;2412;1.7141
29.11.2021;09:30:00-000;1.7;1.74;1.7;1.74;2762;1.7079
29.11.2021;09:31:00-000;1.72;1.74;1.72;1.72;800;1.7306
29.11.2021;09:32:00-000;1.7201;1.7201;1.72;1.72;12100;1.72
29.11.2021;09:33:00-000;1.75;1.75;1.75;1.75;1053;1.7503
29.11.2021;09:34:00-000;1.76;1.78;1.76;1.78;2144;1.7768
29.11.2021;09:35:00-000;1.78;1.8;1.77;1.7951;7488;1.7802
29.11.2021;09:36:00-000;1.8;1.8;1.77;1.77;7327;1.7841
29.11.2021;09:37:00-000;1.77;1.77;1.77;1.77;2200;1.77
29.11.2021;09:38:00-000;1.76;1.7895;1.73;1.78;10147;1.7684
29.11.2021;09:39:00-000;1.76;1.8;1.76;1.775;1090;1.7828
29.11.2021;09:40:00-000;1.8;1.8;1.79;1.79;10200;1.7997
29.11.2021;09:41:00-000;1.8;1.8364;1.799;1.8;23608;1.8013
29.11.2021;09:42:00-000;1.8027;1.8027;1.8;1.8;977;1.8014
29.11.2021;09:43:00-000;1.8;1.8;1.79;1.79;15723;1.7997
29.11.2021;09:44:00-000;1.79;1.79;1.79;1.79;167;1.7889
29.11.2021;09:45:00-000;1.73;1.7499;1.73;1.73;17959;1.7365
29.11.2021;09:46:00-000;1.77;1.77;1.77;1.77;2000;1.77
29.11.2021;09:47:00-000;1.77;1.77;1.765;1.765;3300;1.7686
29.11.2021;09:48:00-000;1.765;1.77;1.76;1.77;5600;1.7689
29.11.2021;09:49:00-000;1.77;1.77;1.77;1.77;2700;1.77
29.11.2021;09:50:00-000;1.77;1.77;1.76;1.76;5700;1.7604
29.11.2021;09:51:00-000;1.79;1.79;1.7501;1.76;5023;1.7748
29.11.2021;09:52:00-000;1.76;1.76;1.73;1.75;1502;1.7417
29.11.2021;09:53:00-000;1.75;1.77;1.74;1.75;2303;1.7478
29.11.2021;09:54:00-000;1.75;1.75;1.74;1.74;2600;1.7465
29.11.2021;09:55:00-000;1.75;1.75;1.75;1.75;3482;1.75
29.11.2021;09:56:00-000;1.74;1.77;1.74;1.76;1005;1.7589
29.11.2021;09:57:00-000;1.76;1.76;1.76;1.76;600;1.76
29.11.2021;09:58:00-000;1.75;1.75;1.75;1.75;600;1.75
29.11.2021;09:59:00-000;1.745;1.745;1.745;1.745;510;1.7449
29.11.2021;10:00:00-000;1.75;1.75;1.75;1.75;600;1.75
29.11.2021;10:02:00-000;1.74;1.75;1.71;1.75;11400;1.7184
29.11.2021;10:03:00-000;1.73;1.73;1.725;1.725;3218;1.7286
29.11.2021;10:04:00-000;1.7474;1.7474;1.7474;1.7474;333;1.7474
29.11.2021;10:06:00-000;1.735;1.735;1.735;1.735;700;1.735
29.11.2021;10:09:00-000;1.74;1.74;1.74;1.74;600;1.74
29.11.2021;10:10:00-000;1.75;1.75;1.75;1.75;300;1.75
29.11.2021;10:11:00-000;1.7464;1.7464;1.7464;1.7464;100;1.7464
29.11.2021;10:12:00-000;1.74;1.74;1.74;1.74;500;1.74
29.11.2021;10:13:00-000;1.73;1.7301;1.73;1.7301;310;1.73
29.11.2021;10:16:00-000;1.715;1.73;1.715;1.7246;1500;1.7273
29.11.2021;10:17:00-000;1.73;1.73;1.73;1.73;1563;1.73
29.11.2021;10:18:00-000;1.72;1.73;1.72;1.725;550;1.7241
29.11.2021;10:19:00-000;1.73;1.73;1.72;1.72;1407;1.7293
29.11.2021;10:21:00-000;1.73;1.73;1.73;1.73;110;1.7291
29.11.2021;10:25:00-000;1.73;1.73;1.71;1.71;9060;1.7111
29.11.2021;10:26:00-000;1.73;1.73;1.72;1.72;200;1.725
29.11.2021;10:27:00-000;1.725;1.725;1.71;1.72;3400;1.7184
29.11.2021;10:29:00-000;1.71;1.73;1.71;1.73;1596;1.7177
29.11.2021;10:30:00-000;1.73;1.73;1.73;1.73;110;1.7291
29.11.2021;10:31:00-000;1.73;1.76;1.73;1.76;3908;1.756
29.11.2021;10:32:00-000;1.76;1.76;1.75;1.75;400;1.7525
29.11.2021;10:33:00-000;1.74;1.74;1.74;1.74;400;1.74
29.11.2021;10:34:00-000;1.74;1.7553;1.73;1.7553;4728;1.7331
29.11.2021;10:35:00-000;1.73;1.73;1.73;1.73;300;1.73
29.11.2021;10:40:00-000;1.7471;1.7471;1.735;1.735;302;1.7431
29.11.2021;10:45:00-000;1.735;1.735;1.735;1.735;300;1.735
29.11.2021;10:50:00-000;1.735;1.735;1.735;1.735;100;1.735
29.11.2021;10:52:00-000;1.73;1.73;1.725;1.725;515;1.7271
29.11.2021;10:53:00-000;1.7213;1.7213;1.72;1.72;3600;1.721
29.11.2021;10:54:00-000;1.71;1.71;1.71;1.71;300;1.71
29.11.2021;10:58:00-000;1.7001;1.7001;1.7001;1.7001;2000;1.7001
29.11.2021;11:00:00-000;1.7;1.715;1.7;1.715;800;1.7019
29.11.2021;11:01:00-000;1.73;1.73;1.73;1.73;100;1.73
29.11.2021;11:02:00-000;1.72;1.73;1.72;1.73;1450;1.7227
29.11.2021;11:04:00-000;1.72;1.72;1.72;1.72;401;1.72
