Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:43:00-000;21.4;21.4;21.4;21.4;270;21.3909
29.11.2021;09:30:00-000;21.4;21.49;21.23;21.23;1839;21.4177
29.11.2021;09:38:00-000;21.2;21.2;21.2;21.2;220;21.2146
29.11.2021;09:39:00-000;21.11;21.2;21.11;21.2;404;21.1322
29.11.2021;09:42:00-000;21.09;21.09;21.09;21.09;103;21.0905
29.11.2021;09:45:00-000;21.2;21.21;21.14;21.14;1257;21.1747
29.11.2021;09:53:00-000;21.06;21.06;21.06;21.06;508;21.0585
29.11.2021;09:54:00-000;21;21;21;21;519;20.9998
29.11.2021;09:55:00-000;20.978;20.98;20.96;20.96;525;20.968
29.11.2021;09:59:00-000;20.92;20.92;20.92;20.92;487;20.9144
29.11.2021;10:02:00-000;20.905;20.905;20.905;20.905;100;20.905
29.11.2021;10:05:00-000;20.895;20.895;20.895;20.895;101;20.8941
29.11.2021;10:08:00-000;20.77;20.77;20.77;20.77;265;20.7707
29.11.2021;10:09:00-000;20.7899;20.79;20.7899;20.79;408;20.7867
29.11.2021;10:14:00-000;20.65;20.65;20.65;20.65;206;20.6736
29.11.2021;10:16:00-000;20.63;20.65;20.63;20.63;1638;20.632
29.11.2021;10:23:00-000;20.7;20.7;20.7;20.7;394;20.6933
29.11.2021;10:26:00-000;20.65;20.65;20.63;20.63;496;20.6505
29.11.2021;10:30:00-000;20.58;20.58;20.58;20.58;506;20.573
29.11.2021;10:34:00-000;20.52;20.52;20.52;20.52;134;20.531
29.11.2021;10:36:00-000;20.51;20.51;20.5;20.5;360;20.5006
29.11.2021;10:38:00-000;20.35;20.35;20.35;20.35;598;20.3456
29.11.2021;10:41:00-000;20.29;20.29;20.29;20.29;204;20.2895
29.11.2021;10:44:00-000;20.2605;20.2605;20.2605;20.2605;100;20.2605
29.11.2021;10:46:00-000;20.31;20.31;20.31;20.31;541;20.303
29.11.2021;10:47:00-000;20.32;20.32;20.32;20.32;346;20.3193
29.11.2021;10:54:00-000;20.25;20.25;20.16;20.16;1606;20.2422
29.11.2021;10:55:00-000;20.2191;20.2191;20.2191;20.2191;171;20.1924
29.11.2021;10:56:00-000;20.1899;20.1899;20.1899;20.1899;101;20.1899
29.11.2021;11:00:00-000;20.19;20.2;20.11;20.11;1816;20.1753
29.11.2021;11:01:00-000;20.12;20.12;20.12;20.12;178;20.1136
29.11.2021;11:02:00-000;20.13;20.13;20.13;20.13;824;20.1256
29.11.2021;11:04:00-000;20.1001;20.12;20.1001;20.12;484;20.1158
29.11.2021;11:06:00-000;20.15;20.15;20.15;20.15;651;20.148
29.11.2021;11:12:00-000;20.16;20.16;20.16;20.16;526;20.1605
29.11.2021;11:16:00-000;20.16;20.16;20.1;20.1;1234;20.1493
29.11.2021;11:18:00-000;20.1;20.1;20.1;20.1;299;20.0996
29.11.2021;11:22:00-000;20.06;20.06;20.01;20.01;3235;20.0271
29.11.2021;11:23:00-000;19.97;19.97;19.97;19.97;170;19.9701
29.11.2021;11:26:00-000;20;20;19.98;19.98;571;19.9832
29.11.2021;11:27:00-000;19.98;20;19.975;20;1258;19.9894
29.11.2021;11:30:00-000;20.045;20.045;20.01;20.01;489;20.0213
29.11.2021;11:32:00-000;20.03;20.03;20.015;20.015;234;20.0192
29.11.2021;11:33:00-000;20.045;20.05;20.045;20.05;486;20.0478
29.11.2021;11:35:00-000;20.07;20.07;20.07;20.07;110;20.0662
29.11.2021;11:36:00-000;20.05;20.05;20.05;20.05;102;20.0494
29.11.2021;11:38:00-000;20.06;20.06;20;20.04;1252;20.0347
29.11.2021;11:48:00-000;20.1;20.1;20.08;20.1;701;20.0937
29.11.2021;11:54:00-000;20.05;20.05;20.05;20.05;329;20.0514
29.11.2021;11:55:00-000;20.05;20.05;20.045;20.045;411;20.0443
29.11.2021;12:00:00-000;20.02;20.02;20.01;20.01;651;20.0125
29.11.2021;12:03:00-000;20.04;20.05;20.04;20.04;796;20.0459
29.11.2021;12:05:00-000;20.06;20.06;20.06;20.06;576;20.0588
29.11.2021;12:07:00-000;20.06;20.06;20.04;20.04;695;20.0563
29.11.2021;12:08:00-000;20.05;20.07;20.035;20.035;733;20.0507
29.11.2021;12:22:00-000;20.09;20.09;20.09;20.09;398;20.0895
