Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;15.45;15.45;15.3501;15.4;24913;15.4269
29.11.2021;09:31:00-000;15.4;15.48;15.4;15.44;4147;15.4472
29.11.2021;09:32:00-000;15.48;15.49;15.45;15.46;2698;15.467
29.11.2021;09:33:00-000;15.47;15.47;15.39;15.39;3227;15.441
29.11.2021;09:34:00-000;15.34;15.34;15.27;15.27;6026;15.3055
29.11.2021;09:35:00-000;15.28;15.37;15.27;15.35;7183;15.3262
29.11.2021;09:36:00-000;15.37;15.38;15.3302;15.3302;10940;15.3604
29.11.2021;09:37:00-000;15.31;15.36;15.31;15.33;9765;15.3403
29.11.2021;09:38:00-000;15.3221;15.37;15.3221;15.35;12239;15.3471
29.11.2021;09:39:00-000;15.35;15.37;15.34;15.37;2791;15.3585
29.11.2021;09:40:00-000;15.365;15.365;15.35;15.36;2737;15.3632
29.11.2021;09:41:00-000;15.36;15.37;15.32;15.33;6586;15.3433
29.11.2021;09:42:00-000;15.33;15.345;15.27;15.27;89775;15.3406
29.11.2021;09:43:00-000;15.26;15.27;15.25;15.27;9264;15.2549
29.11.2021;09:44:00-000;15.28;15.285;15.275;15.275;7958;15.2799
29.11.2021;09:45:00-000;15.28;15.28;15.23;15.26;6587;15.2521
29.11.2021;09:46:00-000;15.2531;15.28;15.2531;15.28;973;15.2742
29.11.2021;09:47:00-000;15.28;15.32;15.28;15.32;3767;15.3115
29.11.2021;09:48:00-000;15.31;15.31;15.28;15.3;2437;15.2941
29.11.2021;09:49:00-000;15.31;15.32;15.295;15.31;15644;15.3096
29.11.2021;09:50:00-000;15.3;15.3;15.27;15.27;2690;15.2879
29.11.2021;09:51:00-000;15.27;15.315;15.27;15.28;3087;15.2946
29.11.2021;09:52:00-000;15.285;15.29;15.26;15.28;14778;15.2774
29.11.2021;09:53:00-000;15.27;15.33;15.27;15.33;6560;15.3045
29.11.2021;09:54:00-000;15.325;15.33;15.28;15.29;5620;15.3085
29.11.2021;09:55:00-000;15.29;15.34;15.28;15.33;12268;15.3145
29.11.2021;09:56:00-000;15.32;15.32;15.3;15.3;2321;15.3156
29.11.2021;09:57:00-000;15.29;15.34;15.29;15.33;12611;15.3171
29.11.2021;09:58:00-000;15.32;15.34;15.3;15.33;14608;15.3214
29.11.2021;09:59:00-000;15.33;15.37;15.33;15.33;13298;15.3482
29.11.2021;10:00:00-000;15.33;15.39;15.31;15.37;19182;15.3445
29.11.2021;10:01:00-000;15.375;15.39;15.36;15.36;8085;15.3727
29.11.2021;10:02:00-000;15.36;15.42;15.36;15.42;19036;15.3988
29.11.2021;10:03:00-000;15.42;15.42;15.4;15.4;6433;15.4062
29.11.2021;10:04:00-000;15.4;15.405;15.4;15.405;4137;15.4006
29.11.2021;10:05:00-000;15.41;15.44;15.41;15.42;11361;15.4261
29.11.2021;10:06:00-000;15.42;15.425;15.4;15.4;106598;15.4146
29.11.2021;10:07:00-000;15.39;15.41;15.39;15.4;4031;15.4018
29.11.2021;10:08:00-000;15.39;15.39;15.345;15.35;6929;15.3559
29.11.2021;10:09:00-000;15.35;15.37;15.345;15.35;9843;15.3535
29.11.2021;10:10:00-000;15.36;15.4;15.36;15.4;6569;15.3882
29.11.2021;10:11:00-000;15.38;15.38;15.37;15.37;2415;15.3737
29.11.2021;10:12:00-000;15.38;15.38;15.36;15.36;2611;15.3655
29.11.2021;10:13:00-000;15.36;15.36;15.36;15.36;116;15.36
29.11.2021;10:14:00-000;15.355;15.38;15.35;15.35;4477;15.3604
29.11.2021;10:15:00-000;15.34;15.36;15.33;15.35;3519;15.3425
29.11.2021;10:16:00-000;15.33;15.34;15.31;15.32;6118;15.3206
29.11.2021;10:17:00-000;15.32;15.34;15.32;15.335;2092;15.3311
29.11.2021;10:18:00-000;15.33;15.36;15.33;15.345;1306;15.34
29.11.2021;10:19:00-000;15.355;15.365;15.335;15.34;17965;15.351
29.11.2021;10:20:00-000;15.34;15.35;15.32;15.32;22642;15.34
29.11.2021;10:21:00-000;15.315;15.325;15.305;15.305;4612;15.3179
29.11.2021;10:22:00-000;15.31;15.315;15.29;15.31;60352;15.2958
29.11.2021;10:23:00-000;15.32;15.32;15.3;15.32;52122;15.315
29.11.2021;10:24:00-000;15.32;15.32;15.31;15.31;2451;15.3176
29.11.2021;10:25:00-000;15.315;15.315;15.285;15.3;42876;15.311
29.11.2021;10:26:00-000;15.31;15.32;15.2875;15.2875;6988;15.3038
29.11.2021;10:27:00-000;15.28;15.28;15.265;15.28;11975;15.2724
29.11.2021;10:28:00-000;15.275;15.28;15.275;15.275;1983;15.2775
29.11.2021;10:29:00-000;15.27;15.27;15.26;15.26;3957;15.2707
29.11.2021;10:30:00-000;15.25;15.27;15.245;15.27;12068;15.2597
29.11.2021;10:31:00-000;15.26;15.26;15.24;15.245;5536;15.2552
29.11.2021;10:32:00-000;15.25;15.26;15.23;15.25;16793;15.2492
29.11.2021;10:33:00-000;15.25;15.265;15.235;15.26;43977;15.2503
29.11.2021;10:34:00-000;15.27;15.27;15.24;15.26;4712;15.2563
29.11.2021;10:35:00-000;15.26;15.27;15.25;15.255;8422;15.2604
29.11.2021;10:36:00-000;15.25;15.26;15.21;15.21;43639;15.2492
29.11.2021;10:37:00-000;15.205;15.255;15.2;15.25;52587;15.2357
29.11.2021;10:38:00-000;15.25;15.255;15.24;15.25;17240;15.2502
29.11.2021;10:39:00-000;15.25;15.255;15.25;15.25;24071;15.2501
29.11.2021;10:40:00-000;15.255;15.26;15.25;15.255;8984;15.2509
29.11.2021;10:41:00-000;15.255;15.26;15.25;15.255;9149;15.2508
29.11.2021;10:42:00-000;15.255;15.26;15.25;15.25;10198;15.251
29.11.2021;10:43:00-000;15.25;15.26;15.19;15.205;280799;15.248
29.11.2021;10:44:00-000;15.21;15.215;15.185;15.185;9273;15.2012
29.11.2021;10:45:00-000;15.19;15.21;15.19;15.205;3491;15.1962
29.11.2021;10:46:00-000;15.2;15.2;15.18;15.185;2342;15.1886
29.11.2021;10:47:00-000;15.18;15.18;15.175;15.175;314;15.1769
29.11.2021;10:48:00-000;15.17;15.17;15.15;15.16;4439;15.1643
29.11.2021;10:49:00-000;15.16;15.16;15.15;15.15;2920;15.1662
29.11.2021;10:50:00-000;15.15;15.15;15.15;15.15;103;15.15
29.11.2021;10:51:00-000;15.15;15.23;15.15;15.23;25718;15.2053
29.11.2021;10:52:00-000;15.24;15.26;15.24;15.255;19371;15.2549
29.11.2021;10:53:00-000;15.26;15.26;15.21;15.21;16076;15.2518
29.11.2021;10:54:00-000;15.205;15.27;15.205;15.25;22825;15.244
29.11.2021;10:55:00-000;15.25;15.25;15.25;15.25;1410;15.2501
29.11.2021;10:56:00-000;15.25;15.25;15.23;15.23;3319;15.2347
29.11.2021;10:57:00-000;15.22;15.23;15.22;15.23;4230;15.2224
29.11.2021;10:58:00-000;15.23;15.24;15.22;15.22;5690;15.2332
29.11.2021;10:59:00-000;15.22;15.23;15.22;15.23;5121;15.2261
29.11.2021;11:00:00-000;15.24;15.29;15.24;15.29;9741;15.2824
29.11.2021;11:01:00-000;15.28;15.3;15.28;15.3;5894;15.2975
29.11.2021;11:02:00-000;15.31;15.33;15.3;15.33;4833;15.3122
29.11.2021;11:03:00-000;15.32;15.32;15.3;15.3;4620;15.3141
29.11.2021;11:04:00-000;15.29;15.2965;15.29;15.29;950;15.2926
29.11.2021;11:05:00-000;15.3;15.3;15.29;15.29;2303;15.2953
29.11.2021;11:06:00-000;15.28;15.28;15.27;15.27;1546;15.2792
29.11.2021;11:07:00-000;15.27;15.27;15.26;15.265;3475;15.2683
29.11.2021;11:08:00-000;15.27;15.3;15.27;15.3;5383;15.2793
29.11.2021;11:10:00-000;15.3;15.32;15.3;15.32;3362;15.3058
29.11.2021;11:11:00-000;15.32;15.35;15.32;15.33;10761;15.3341
29.11.2021;11:12:00-000;15.33;15.33;15.32;15.32;603;15.325
29.11.2021;11:13:00-000;15.33;15.34;15.33;15.34;4336;15.3362
29.11.2021;11:14:00-000;15.335;15.34;15.335;15.34;532;15.3389
29.11.2021;11:15:00-000;15.35;15.37;15.35;15.37;3985;15.3569
29.11.2021;11:16:00-000;15.37;15.37;15.36;15.37;1768;15.363
29.11.2021;11:17:00-000;15.365;15.365;15.35;15.35;3226;15.356
29.11.2021;11:18:00-000;15.35;15.35;15.33;15.33;3711;15.3376
29.11.2021;11:19:00-000;15.32;15.32;15.29;15.29;12939;15.2997
29.11.2021;11:20:00-000;15.28;15.32;15.28;15.29;13660;15.2983
29.11.2021;11:21:00-000;15.28;15.28;15.25;15.26;2799;15.2604
29.11.2021;11:22:00-000;15.26;15.27;15.25;15.265;4334;15.2595
29.11.2021;11:23:00-000;15.26;15.26;15.253;15.255;426;15.2571
29.11.2021;11:24:00-000;15.25;15.28;15.25;15.27;10654;15.2629
29.11.2021;11:25:00-000;15.27;15.275;15.25;15.275;6553;15.2632
29.11.2021;11:26:00-000;15.28;15.285;15.28;15.285;1897;15.2795
29.11.2021;11:27:00-000;15.28;15.29;15.27;15.27;5264;15.2766
29.11.2021;11:28:00-000;15.27;15.27;15.25;15.25;1894;15.263
29.11.2021;11:29:00-000;15.25;15.26;15.25;15.25;3164;15.2532
29.11.2021;11:30:00-000;15.25;15.27;15.25;15.265;8464;15.263
29.11.2021;11:31:00-000;15.27;15.28;15.27;15.27;1830;15.2705
29.11.2021;11:32:00-000;15.26;15.26;15.25;15.25;5420;15.2506
29.11.2021;11:33:00-000;15.241;15.241;15.23;15.23;2038;15.2321
29.11.2021;11:34:00-000;15.2365;15.2365;15.2365;15.2365;524;15.2521
29.11.2021;11:35:00-000;15.24;15.24;15.24;15.24;1622;15.24
29.11.2021;11:36:00-000;15.24;15.25;15.24;15.245;1103;15.2418
29.11.2021;11:37:00-000;15.245;15.255;15.24;15.25;3068;15.249
29.11.2021;11:38:00-000;15.24;15.24;15.22;15.22;1529;15.2367
29.11.2021;11:39:00-000;15.225;15.27;15.225;15.27;9662;15.2549
29.11.2021;11:40:00-000;15.28;15.28;15.23;15.24;7167;15.2579
29.11.2021;11:41:00-000;15.24;15.24;15.24;15.24;126;15.242
29.11.2021;11:42:00-000;15.24;15.24;15.23;15.23;336;15.2343
29.11.2021;11:43:00-000;15.23;15.245;15.23;15.245;3839;15.2339
29.11.2021;11:44:00-000;15.25;15.26;15.25;15.26;4059;15.2564
29.11.2021;11:45:00-000;15.26;15.26;15.26;15.26;802;15.26
29.11.2021;11:46:00-000;15.25;15.26;15.25;15.26;2850;15.2521
29.11.2021;11:47:00-000;15.26;15.26;15.26;15.26;719;15.2607
29.11.2021;11:48:00-000;15.265;15.27;15.265;15.27;237;15.2674
29.11.2021;11:49:00-000;15.27;15.28;15.265;15.27;3295;15.2698
29.11.2021;11:50:00-000;15.26;15.26;15.25;15.25;1335;15.2558
29.11.2021;11:51:00-000;15.24;15.24;15.24;15.24;602;15.24
29.11.2021;11:52:00-000;15.24;15.24;15.24;15.24;468;15.2401
29.11.2021;11:53:00-000;15.25;15.25;15.25;15.25;215;15.25
29.11.2021;11:54:00-000;15.26;15.26;15.24;15.24;2156;15.2547
29.11.2021;11:55:00-000;15.25;15.25;15.24;15.24;4487;15.2492
29.11.2021;11:56:00-000;15.23;15.24;15.23;15.24;1659;15.2342
29.11.2021;11:57:00-000;15.23;15.23;15.23;15.23;114;15.2305
29.11.2021;11:58:00-000;15.23;15.24;15.23;15.24;2513;15.2314
29.11.2021;11:59:00-000;15.24;15.24;15.24;15.24;1130;15.2395
29.11.2021;12:01:00-000;15.25;15.25;15.25;15.25;4993;15.25
29.11.2021;12:02:00-000;15.25;15.26;15.245;15.26;6704;15.254
29.11.2021;12:03:00-000;15.26;15.265;15.26;15.265;1303;15.2604
29.11.2021;12:04:00-000;15.27;15.27;15.25;15.25;2034;15.261
29.11.2021;12:05:00-000;15.26;15.26;15.2594;15.26;2547;15.2595
29.11.2021;12:06:00-000;15.26;15.275;15.26;15.27;5957;15.265
29.11.2021;12:07:00-000;15.26;15.265;15.24;15.25;5626;15.2541
29.11.2021;12:08:00-000;15.26;15.26;15.26;15.26;506;15.2597
29.11.2021;12:09:00-000;15.26;15.26;15.25;15.25;1021;15.2564
29.11.2021;12:10:00-000;15.25;15.26;15.25;15.26;1671;15.2542
29.11.2021;12:11:00-000;15.26;15.27;15.26;15.27;2935;15.2652
29.11.2021;12:12:00-000;15.27;15.27;15.26;15.26;2732;15.2626
29.11.2021;12:13:00-000;15.26;15.27;15.26;15.27;1645;15.2627
29.11.2021;12:14:00-000;15.27;15.28;15.27;15.27;2435;15.271
29.11.2021;12:15:00-000;15.27;15.28;15.27;15.28;803;15.275
29.11.2021;12:16:00-000;15.28;15.28;15.275;15.275;392;15.2787
29.11.2021;12:17:00-000;15.28;15.29;15.28;15.29;1946;15.2821
29.11.2021;12:18:00-000;15.29;15.3;15.29;15.29;2558;15.2864
29.11.2021;12:19:00-000;15.29;15.29;15.28;15.28;3627;15.2892
29.11.2021;12:20:00-000;15.29;15.3;15.281;15.29;5541;15.2907
29.11.2021;12:21:00-000;15.295;15.3;15.29;15.295;1052;15.2962
29.11.2021;12:22:00-000;15.29;15.31;15.29;15.31;1357;15.3012
29.11.2021;12:23:00-000;15.31;15.325;15.31;15.325;3569;15.3156
29.11.2021;12:24:00-000;15.32;15.33;15.315;15.32;5566;15.3199
29.11.2021;12:25:00-000;15.32;15.33;15.3102;15.3102;13267;15.3196
29.11.2021;12:26:00-000;15.31;15.3102;15.3002;15.305;8196;15.3093
29.11.2021;12:27:00-000;15.3075;15.32;15.305;15.32;4233;15.3145
29.11.2021;12:28:00-000;15.32;15.325;15.32;15.325;2478;15.3222
29.11.2021;12:29:00-000;15.33;15.335;15.33;15.33;3277;15.3302
29.11.2021;12:30:00-000;15.33;15.33;15.33;15.33;404;15.327
29.11.2021;12:31:00-000;15.34;15.34;15.34;15.34;2019;15.3391
29.11.2021;12:32:00-000;15.35;15.35;15.35;15.35;1448;15.349
29.11.2021;12:33:00-000;15.36;15.37;15.36;15.37;3609;15.3622
29.11.2021;12:34:00-000;15.37;15.37;15.37;15.37;794;15.3707
29.11.2021;12:35:00-000;15.38;15.39;15.36;15.37;10584;15.3766
29.11.2021;12:36:00-000;15.37;15.37;15.34;15.36;13957;15.3575
