Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:05:00-000;75.04;75.04;75.01;75.01;533;75.025
29.11.2021;08:42:00-000;75.02;75.02;75.02;75.02;200;75.02
29.11.2021;09:06:00-000;76;76;76;76;200;76
29.11.2021;09:27:00-000;75.01;75.51;75.01;75.51;760;75.3338
29.11.2021;09:28:00-000;75.55;75.55;75.51;75.51;1751;75.5089
29.11.2021;09:30:00-000;75.22;76.1478;75.22;76.1478;12459;75.2434
29.11.2021;09:31:00-000;75.775;75.91;75.775;75.91;723;75.8412
29.11.2021;09:32:00-000;75.35;75.57;75.35;75.53;1798;75.4603
29.11.2021;09:33:00-000;75.12;75.18;74.81;75.115;1653;74.9402
29.11.2021;09:34:00-000;74.9786;75.18;74.9786;75.18;956;75.0897
29.11.2021;09:35:00-000;74.905;75.05;74.54;74.54;1114;74.7856
29.11.2021;09:36:00-000;74.46;74.46;74.01;74.41;2408;74.1371
29.11.2021;09:37:00-000;74.46;74.46;74.46;74.46;326;74.4965
29.11.2021;09:38:00-000;74.59;74.59;74.59;74.59;423;74.7255
29.11.2021;09:39:00-000;74.95;74.95;74.95;74.95;392;74.9126
29.11.2021;09:41:00-000;74.27;74.5;74.27;74.5;758;74.4446
29.11.2021;09:42:00-000;74.1505;74.1505;73.7601;73.901;655;74.0026
29.11.2021;09:43:00-000;73.92;73.92;73.92;73.92;592;73.8472
29.11.2021;09:44:00-000;73.9074;73.9074;73.9074;73.9074;322;73.9
29.11.2021;09:45:00-000;73.66;73.69;73.2;73.48;4681;73.4195
29.11.2021;09:46:00-000;73.02;73.09;72.8;73.09;3173;72.9846
29.11.2021;09:47:00-000;73.23;73.59;73.2;73.5;3500;73.3264
29.11.2021;09:48:00-000;73.54;73.96;73.47;73.715;2416;73.6376
29.11.2021;09:49:00-000;73.74;74;73.74;73.74;820;73.8435
29.11.2021;09:50:00-000;73.615;74.04;73.615;73.7819;752;73.657
29.11.2021;09:51:00-000;73.44;73.85;73.44;73.85;431;73.6442
29.11.2021;09:52:00-000;73.855;74.02;73.55;74.02;785;73.8389
29.11.2021;09:53:00-000;73.95;74.3;73.95;74.22;1020;74.1156
29.11.2021;09:54:00-000;74.5;74.5;74.245;74.275;552;74.3809
29.11.2021;09:55:00-000;74.61;74.77;74.61;74.62;1108;74.6673
29.11.2021;09:58:00-000;74.98;74.99;74.6;74.6;1017;74.8231
29.11.2021;09:59:00-000;74.6;74.6;74.56;74.56;727;74.584
29.11.2021;10:00:00-000;74.405;74.41;74.405;74.41;559;74.4086
29.11.2021;10:01:00-000;74.32;74.33;74.18;74.18;1379;74.3299
29.11.2021;10:02:00-000;74.35;74.4117;74.34;74.4117;710;74.3683
29.11.2021;10:03:00-000;74.23;74.54;74.1318;74.54;1487;74.3442
29.11.2021;10:04:00-000;74.491;74.491;74.32;74.32;327;74.3183
29.11.2021;10:05:00-000;74.1435;74.37;74.1435;74.37;874;74.2976
29.11.2021;10:06:00-000;74.52;74.52;74.52;74.52;130;74.5294
29.11.2021;10:07:00-000;74.25;74.265;73.98;74.085;1730;74.1659
29.11.2021;10:08:00-000;73.94;73.94;73.94;73.94;333;73.9199
29.11.2021;10:09:00-000;74.02;74.06;73.9875;74.06;1098;74.0303
29.11.2021;10:11:00-000;74.135;74.15;73.94;73.94;1423;73.9932
29.11.2021;10:12:00-000;73.72;73.72;73.69;73.705;537;73.688
29.11.2021;10:13:00-000;73.57;73.57;73.3218;73.415;1259;73.4362
29.11.2021;10:14:00-000;73.55;73.72;73.5;73.5;2231;73.6042
29.11.2021;10:15:00-000;73.66;73.845;73.66;73.845;573;73.7371
29.11.2021;10:16:00-000;73.815;73.815;73.4;73.56;1336;73.5233
29.11.2021;10:17:00-000;73.51;73.51;73.51;73.51;746;73.6241
29.11.2021;10:18:00-000;73.5701;73.815;73.5701;73.815;304;73.6539
29.11.2021;10:19:00-000;73.89;73.89;73.785;73.86;771;73.8641
29.11.2021;10:21:00-000;73.82;74.01;73.79;74.01;929;73.9086
29.11.2021;10:22:00-000;73.86;73.86;73.86;73.86;121;73.8872
29.11.2021;10:23:00-000;73.76;73.76;73.67;73.67;434;73.71
29.11.2021;10:24:00-000;73.76;73.76;73.68;73.68;808;73.701
29.11.2021;10:26:00-000;73.62;73.635;73.54;73.54;1614;73.6078
29.11.2021;10:27:00-000;73.4;73.4;73.4;73.4;280;73.3794
29.11.2021;10:28:00-000;73.21;73.21;73.05;73.16;504;73.149
29.11.2021;10:29:00-000;73.0866;73.19;73.0866;73.19;745;73.1682
29.11.2021;10:30:00-000;73.0795;73.42;73.0795;73.42;877;73.2439
29.11.2021;10:31:00-000;73.2267;73.2267;72.89;72.89;3302;73.0089
29.11.2021;10:33:00-000;72.79;73.17;72.68;73.17;3443;72.8982
29.11.2021;10:34:00-000;73.125;73.125;73.125;73.125;345;73.1099
29.11.2021;10:35:00-000;73.64;73.64;73.64;73.64;183;73.52
29.11.2021;10:36:00-000;73.635;73.675;73.405;73.405;1597;73.5414
29.11.2021;10:37:00-000;73.28;73.28;72.86;72.89;1483;73.0398
29.11.2021;10:38:00-000;72.85;73.13;72.85;73.01;1578;73.0581
29.11.2021;10:39:00-000;72.874;73.07;72.874;72.95;1814;72.9194
29.11.2021;10:40:00-000;72.82;72.82;72.785;72.81;958;72.7952
29.11.2021;10:41:00-000;72.77;72.77;72.68;72.68;3153;72.7207
29.11.2021;10:42:00-000;72.73;73.08;72.73;72.98;2685;72.888
29.11.2021;10:43:00-000;72.9876;73.13;72.9876;73.13;563;73.0904
29.11.2021;10:44:00-000;73.36;73.36;73.355;73.355;591;73.3707
29.11.2021;10:45:00-000;73.595;73.595;73.595;73.595;194;73.585
29.11.2021;10:47:00-000;73.6899;73.6899;73.555;73.555;1201;73.6673
29.11.2021;10:48:00-000;73.555;73.58;73.555;73.58;973;73.6322
29.11.2021;10:49:00-000;73.5162;73.625;73.365;73.365;1711;73.4747
29.11.2021;10:50:00-000;73.45;73.45;73.3;73.3;1886;73.3847
29.11.2021;10:51:00-000;73.09;73.36;73.09;73.36;1291;73.2247
29.11.2021;10:53:00-000;73.43;73.49;73.43;73.45;433;73.4517
29.11.2021;10:54:00-000;73.43;73.65;73.43;73.56;1135;73.5462
29.11.2021;10:56:00-000;73.83;73.855;73.825;73.855;562;73.8316
29.11.2021;10:57:00-000;73.72;73.83;73.69;73.69;957;73.7378
29.11.2021;10:58:00-000;73.695;73.81;73.695;73.81;481;73.7633
29.11.2021;10:59:00-000;73.74;73.74;73.74;73.74;396;73.7481
29.11.2021;11:00:00-000;73.83;74.07;73.83;74.036;909;73.9762
29.11.2021;11:01:00-000;74;74;73.82;73.86;582;73.8653
29.11.2021;11:02:00-000;73.995;73.995;73.995;73.995;371;73.9844
29.11.2021;11:03:00-000;73.88;73.88;73.85;73.86;805;73.8551
29.11.2021;11:04:00-000;73.775;73.775;73.775;73.775;314;73.7651
29.11.2021;11:05:00-000;73.86;73.89;73.86;73.89;335;73.8685
29.11.2021;11:06:00-000;73.91;73.91;73.91;73.91;603;73.8534
29.11.2021;11:07:00-000;73.63;73.63;73.59;73.59;285;73.65
29.11.2021;11:08:00-000;73.73;73.81;73.73;73.805;500;73.7494
29.11.2021;11:09:00-000;73.8;73.8;73.74;73.79;707;73.779
29.11.2021;11:10:00-000;73.85;73.87;73.85;73.87;278;73.887
29.11.2021;11:11:00-000;73.86;73.86;73.86;73.86;197;73.8855
29.11.2021;11:13:00-000;73.875;74.24;73.875;74.24;1429;73.9966
29.11.2021;11:14:00-000;74.2;74.2;73.93;73.93;787;74.0528
29.11.2021;11:15:00-000;73.93;74.005;73.93;73.93;1189;73.9531
29.11.2021;11:17:00-000;73.92;73.92;73.92;73.92;290;73.9304
29.11.2021;11:18:00-000;73.92;74.08;73.82;74.035;1371;73.9735
29.11.2021;11:19:00-000;74.1;74.1;73.83;73.83;1107;73.9285
29.11.2021;11:20:00-000;73.85;73.98;73.85;73.98;746;73.9105
29.11.2021;11:21:00-000;73.84;73.84;73.84;73.84;102;73.8418
29.11.2021;11:22:00-000;73.915;73.915;73.915;73.915;217;73.9125
29.11.2021;11:24:00-000;73.935;74.13;73.935;74.13;836;74.0582
29.11.2021;11:25:00-000;74.175;74.175;73.96;73.96;851;74.0453
29.11.2021;11:26:00-000;74.06;74.32;74.06;74.25;737;74.217
29.11.2021;11:27:00-000;74.0587;74.0587;74.0587;74.0587;136;74.0597
29.11.2021;11:28:00-000;74.145;74.145;74.01;74.04;640;74.0426
29.11.2021;11:29:00-000;73.87;73.87;73.87;73.87;378;73.8633
29.11.2021;11:30:00-000;73.78;74.13;73.78;74.105;695;74.0637
29.11.2021;11:31:00-000;74.045;74.045;73.95;73.95;670;73.9887
29.11.2021;11:32:00-000;73.76;73.76;73.76;73.76;131;73.7745
29.11.2021;11:33:00-000;73.84;73.84;73.84;73.84;186;73.8398
29.11.2021;11:34:00-000;73.915;73.915;73.915;73.915;1299;73.8871
29.11.2021;11:35:00-000;73.8357;73.8357;73.8357;73.8357;410;73.7865
29.11.2021;11:36:00-000;73.72;73.72;73.5539;73.5539;253;73.6304
29.11.2021;11:37:00-000;73.74;73.74;73.74;73.74;258;73.7491
29.11.2021;11:38:00-000;73.7315;73.81;73.7315;73.81;372;73.7687
29.11.2021;11:41:00-000;73.95;73.95;73.95;73.95;457;74.0214
29.11.2021;11:42:00-000;73.99;74.03;73.92;74.03;732;73.9686
29.11.2021;11:43:00-000;74.03;74.06;74.01;74.06;436;74.0224
29.11.2021;11:44:00-000;74.06;74.1646;74.06;74.13;1625;74.1113
29.11.2021;11:45:00-000;74.125;74.125;74.125;74.125;228;74.0998
29.11.2021;11:47:00-000;74.05;74.1;74.05;74.1;778;74.0751
29.11.2021;11:50:00-000;74.15;74.15;74.06;74.06;542;74.0966
29.11.2021;11:53:00-000;74.26;74.3;74.26;74.3;483;74.2843
29.11.2021;11:54:00-000;74.2156;74.25;74.16;74.16;1095;74.1959
29.11.2021;11:57:00-000;74.14;74.1818;74.1101;74.1818;648;74.1472
29.11.2021;11:58:00-000;74.27;74.27;74.27;74.27;138;74.2487
29.11.2021;11:59:00-000;74.29;74.35;74.29;74.3;1004;74.3135
29.11.2021;12:00:00-000;74.38;74.38;74.38;74.38;376;74.3763
29.11.2021;12:01:00-000;74.39;74.42;74.39;74.42;247;74.4044
29.11.2021;12:03:00-000;74.405;74.405;74.405;74.405;740;74.3696
29.11.2021;12:04:00-000;74.43;74.43;74.43;74.43;187;74.4198
29.11.2021;12:06:00-000;74.34;74.585;74.34;74.585;1569;74.4403
29.11.2021;12:08:00-000;74.72;74.84;74.7;74.74;1482;74.7434
29.11.2021;12:09:00-000;74.7027;74.7027;74.7027;74.7027;102;74.7027
29.11.2021;12:10:00-000;74.81;74.88;74.81;74.87;682;74.8493
29.11.2021;12:11:00-000;74.79;74.79;74.73;74.74;751;74.7419
29.11.2021;12:13:00-000;74.755;74.755;74.6979;74.6979;466;74.7319
29.11.2021;12:14:00-000;74.8;74.81;74.795;74.795;795;74.7711
29.11.2021;12:16:00-000;74.81;74.81;74.8;74.8;354;74.8057
29.11.2021;12:17:00-000;74.8;74.8;74.8;74.8;403;74.8
29.11.2021;12:19:00-000;74.89;74.89;74.89;74.89;470;74.889
29.11.2021;12:20:00-000;74.94;74.94;74.916;74.916;363;74.9268
29.11.2021;12:21:00-000;74.99;75.01;74.99;75.01;1107;75.007
29.11.2021;12:22:00-000;75.05;75.05;74.93;74.99;1031;74.9831
29.11.2021;12:23:00-000;74.995;74.995;74.995;74.995;126;75.0021
29.11.2021;12:25:00-000;75;75;75;75;152;75.0052
29.11.2021;12:26:00-000;75.07;75.07;75.0291;75.0291;614;75.0626
29.11.2021;12:27:00-000;75.1;75.1;75.045;75.045;670;75.0876
29.11.2021;12:28:00-000;75.14;75.22;75.02;75.165;1603;75.1265
29.11.2021;12:29:00-000;75.145;75.145;75.145;75.145;242;75.1371
29.11.2021;12:30:00-000;75.3299;75.3299;75.26;75.285;665;75.2733
29.11.2021;12:32:00-000;75.2063;75.2063;75.2063;75.2063;445;75.2935
29.11.2021;12:33:00-000;75.38;75.38;75.38;75.38;515;75.3908
29.11.2021;12:34:00-000;75.49;75.49;75.49;75.49;275;75.4686
29.11.2021;12:35:00-000;75.375;75.375;75.25;75.26;1560;75.2988
29.11.2021;12:36:00-000;75.27;75.37;75.27;75.34;1546;75.3034
29.11.2021;12:37:00-000;75.4;75.4;75.38;75.4;556;75.3958
29.11.2021;12:38:00-000;75.45;75.45;75.41;75.41;251;75.4239
29.11.2021;12:39:00-000;75.4;75.4;75.4;75.4;406;75.4004
29.11.2021;12:40:00-000;75.48;75.48;75.395;75.395;599;75.4484
29.11.2021;12:41:00-000;75.425;75.425;75.32;75.32;944;75.3474
29.11.2021;12:44:00-000;75.25;75.25;75.13;75.13;424;75.1756
29.11.2021;12:45:00-000;75.075;75.14;75.075;75.14;432;75.1081
29.11.2021;12:46:00-000;75.15;75.21;75.15;75.21;336;75.194
29.11.2021;12:47:00-000;75.22;75.255;75.22;75.25;494;75.2391
29.11.2021;12:48:00-000;75.29;75.35;75.29;75.35;808;75.3409
29.11.2021;12:49:00-000;75.49;75.49;75.49;75.49;293;75.4713
29.11.2021;12:50:00-000;75.55;75.61;75.44;75.45;1180;75.5036
29.11.2021;12:51:00-000;75.5;75.5;75.5;75.5;150;75.514
29.11.2021;12:55:00-000;75.635;75.635;75.635;75.635;197;75.6383
29.11.2021;12:56:00-000;75.645;75.645;75.645;75.645;105;75.6452
29.11.2021;12:57:00-000;75.76;75.79;75.69;75.79;387;75.7515
29.11.2021;12:58:00-000;75.887;75.887;75.887;75.887;613;75.8711
29.11.2021;12:59:00-000;75.885;75.885;75.885;75.885;186;75.9174
29.11.2021;13:01:00-000;75.813;75.813;75.813;75.813;632;75.8725
29.11.2021;13:02:00-000;75.811;75.811;75.811;75.811;287;75.8359
29.11.2021;13:03:00-000;75.92;75.92;75.77;75.77;1779;75.8321
29.11.2021;13:05:00-000;75.6617;75.735;75.6617;75.735;1200;75.6857
29.11.2021;13:07:00-000;75.81;75.82;75.81;75.82;1039;75.8012
29.11.2021;13:08:00-000;75.716;75.77;75.65;75.67;1314;75.6899
29.11.2021;13:09:00-000;75.725;75.725;75.725;75.725;149;75.7374
29.11.2021;13:11:00-000;75.76;75.76;75.665;75.665;474;75.701
