Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:00:00-000;18.5;18.5;18.5;18.5;177;18.487
29.11.2021;07:17:00-000;18.62;18.62;18.61;18.61;2500;18.6195
29.11.2021;07:19:00-000;18.77;18.77;18.77;18.77;266;18.7723
29.11.2021;07:40:00-000;18.76;18.76;18.76;18.76;230;18.7572
29.11.2021;07:48:00-000;18.69;18.69;18.68;18.69;706;18.6857
29.11.2021;08:00:00-000;18.7599;18.7599;18.7599;18.7599;243;18.7538
29.11.2021;08:03:00-000;18.61;18.61;18.6;18.6;500;18.6055
29.11.2021;08:07:00-000;18.68;18.68;18.6;18.6;913;18.6251
29.11.2021;08:08:00-000;18.51;18.51;18.51;18.51;400;18.51
29.11.2021;08:09:00-000;18.51;18.51;18.5;18.5;1000;18.501
29.11.2021;08:18:00-000;18.59;18.6;18.59;18.6;650;18.5977
29.11.2021;08:19:00-000;18.69;18.69;18.69;18.69;1500;18.69
29.11.2021;08:24:00-000;18.68;18.68;18.59;18.59;567;18.646
29.11.2021;08:25:00-000;18.59;18.65;18.56;18.56;2067;18.5878
29.11.2021;08:37:00-000;18.61;18.61;18.53;18.53;440;18.5824
29.11.2021;08:43:00-000;18.68;18.69;18.62;18.62;2653;18.6802
29.11.2021;08:46:00-000;18.68;18.71;18.68;18.7;651;18.6985
29.11.2021;08:48:00-000;18.76;18.76;18.76;18.76;2090;18.76
29.11.2021;08:52:00-000;18.7;18.7;18.7;18.7;1000;18.7
29.11.2021;08:54:00-000;18.71;18.71;18.66;18.66;1321;18.6947
29.11.2021;09:02:00-000;18.77;18.77;18.76;18.76;800;18.7606
29.11.2021;09:03:00-000;18.68;18.68;18.66;18.66;500;18.6715
29.11.2021;09:04:00-000;18.66;18.66;18.66;18.66;316;18.6555
29.11.2021;09:07:00-000;18.69;18.69;18.68;18.68;1500;18.6807
29.11.2021;09:10:00-000;18.7;18.7;18.7;18.7;500;18.7
29.11.2021;09:12:00-000;18.7499;18.7499;18.7499;18.7499;1070;18.7499
29.11.2021;09:13:00-000;18.7;18.7;18.69;18.69;500;18.692
29.11.2021;09:14:00-000;18.68;18.68;18.67;18.67;384;18.6726
29.11.2021;09:15:00-000;18.5;18.58;18.5;18.51;1591;18.5271
29.11.2021;09:17:00-000;18.52;18.52;18.4;18.4;809;18.473
29.11.2021;09:18:00-000;18.41;18.41;18.4;18.4;1003;18.402
29.11.2021;09:19:00-000;18.4;18.47;18.4;18.47;773;18.4362
29.11.2021;09:20:00-000;18.4;18.4;18.4;18.4;100;18.4
29.11.2021;09:30:00-000;18.55;18.6;18.49;18.56;117344;18.5471
29.11.2021;09:31:00-000;18.54;18.71;18.51;18.69;32049;18.6007
29.11.2021;09:32:00-000;18.695;18.91;18.69;18.865;66095;18.8349
29.11.2021;09:33:00-000;18.9;18.9;18.64;18.645;14686;18.8098
29.11.2021;09:34:00-000;18.67;18.75;18.6316;18.64;16651;18.6838
29.11.2021;09:35:00-000;18.65;18.65;18.5;18.58;31801;18.5533
29.11.2021;09:36:00-000;18.615;18.6258;18.555;18.57;32322;18.5975
29.11.2021;09:37:00-000;18.59;18.59;18.45;18.48;21579;18.4973
29.11.2021;09:38:00-000;18.45;18.5;18.35;18.35;18171;18.4433
29.11.2021;09:39:00-000;18.36;18.58;18.35;18.5535;31806;18.4545
29.11.2021;09:40:00-000;18.55;18.57;18.36;18.395;46078;18.4319
29.11.2021;09:41:00-000;18.41;18.42;18.335;18.36;5162;18.3801
29.11.2021;09:42:00-000;18.36;18.44;18.36;18.43;11520;18.4053
29.11.2021;09:43:00-000;18.43;18.43;18.35;18.37;19207;18.3626
29.11.2021;09:44:00-000;18.36;18.39;18.35;18.36;12749;18.3709
29.11.2021;09:45:00-000;18.37;18.41;18.31;18.31;22987;18.3593
29.11.2021;09:46:00-000;18.31;18.37;18.29;18.37;15105;18.3107
29.11.2021;09:47:00-000;18.36;18.36;18.23;18.23;24516;18.2919
29.11.2021;09:48:00-000;18.24;18.31;18.24;18.305;15555;18.2905
29.11.2021;09:49:00-000;18.3;18.35;18.255;18.28;105947;18.2951
29.11.2021;09:50:00-000;18.28;18.3;18.22;18.225;15407;18.2636
29.11.2021;09:51:00-000;18.22;18.33;18.22;18.31;6280;18.278
29.11.2021;09:52:00-000;18.31;18.31;18.21;18.21;8913;18.275
29.11.2021;09:53:00-000;18.21;18.27;18.21;18.27;5431;18.2549
29.11.2021;09:54:00-000;18.28;18.35;18.28;18.285;10058;18.312
29.11.2021;09:55:00-000;18.27;18.36;18.25;18.36;5395;18.3045
29.11.2021;09:56:00-000;18.35;18.42;18.34;18.35;11728;18.3704
29.11.2021;09:57:00-000;18.34;18.355;18.3101;18.3101;4708;18.3337
29.11.2021;09:58:00-000;18.31;18.31;18.2239;18.255;16443;18.2501
29.11.2021;09:59:00-000;18.25;18.31;18.23;18.3;10514;18.2865
29.11.2021;10:00:00-000;18.32;18.32;18.25;18.255;21402;18.2877
29.11.2021;10:01:00-000;18.279;18.3;18.24;18.26;12165;18.2759
29.11.2021;10:02:00-000;18.28;18.31;18.26;18.265;11912;18.2886
29.11.2021;10:03:00-000;18.25;18.25;18.2;18.22;14988;18.2174
29.11.2021;10:04:00-000;18.22;18.225;18.15;18.16;12810;18.1773
29.11.2021;10:05:00-000;18.16;18.27;18.15;18.26;12675;18.2178
29.11.2021;10:06:00-000;18.27;18.32;18.27;18.29;24281;18.3005
29.11.2021;10:07:00-000;18.29;18.31;18.24;18.25;12379;18.2765
29.11.2021;10:08:00-000;18.25;18.3;18.24;18.25;81696;18.2679
29.11.2021;10:09:00-000;18.26;18.31;18.26;18.31;24216;18.2948
29.11.2021;10:10:00-000;18.3;18.305;18.245;18.3;27165;18.2747
29.11.2021;10:11:00-000;18.3;18.37;18.3;18.36;12643;18.3347
29.11.2021;10:12:00-000;18.355;18.36;18.235;18.235;30828;18.2767
29.11.2021;10:13:00-000;18.235;18.235;18.17;18.18;6827;18.2027
29.11.2021;10:14:00-000;18.18;18.21;18.1673;18.17;9180;18.1814
29.11.2021;10:15:00-000;18.18;18.275;18.18;18.24;8356;18.2396
29.11.2021;10:16:00-000;18.23;18.23;18.17;18.21;40058;18.1999
29.11.2021;10:17:00-000;18.22;18.295;18.217;18.2805;26129;18.265
29.11.2021;10:18:00-000;18.285;18.32;18.265;18.31;8268;18.2829
29.11.2021;10:19:00-000;18.315;18.39;18.305;18.39;11787;18.3418
29.11.2021;10:20:00-000;18.38;18.38;18.33;18.33;12613;18.3572
29.11.2021;10:21:00-000;18.34;18.37;18.34;18.36;2409;18.3576
29.11.2021;10:22:00-000;18.36;18.36;18.32;18.34;10187;18.3383
29.11.2021;10:23:00-000;18.34;18.37;18.32;18.35;7847;18.3443
29.11.2021;10:24:00-000;18.35;18.35;18.3;18.305;25917;18.3189
29.11.2021;10:25:00-000;18.3;18.32;18.28;18.28;4176;18.3026
29.11.2021;10:26:00-000;18.28;18.285;18.22;18.225;12726;18.2645
29.11.2021;10:27:00-000;18.22;18.24;18.195;18.2;15645;18.2173
29.11.2021;10:28:00-000;18.19;18.28;18.19;18.28;20027;18.2375
29.11.2021;10:29:00-000;18.3;18.3;18.23;18.23;12810;18.2627
29.11.2021;10:30:00-000;18.22;18.245;18.185;18.19;30261;18.2096
29.11.2021;10:31:00-000;18.18;18.18;18.1;18.17;58444;18.1355
29.11.2021;10:32:00-000;18.17;18.18;18.09;18.09;41758;18.1434
29.11.2021;10:33:00-000;18.09;18.095;18.06;18.075;34278;18.0736
29.11.2021;10:34:00-000;18.07;18.12;18.04;18.12;25195;18.0817
29.11.2021;10:35:00-000;18.15;18.22;18.14;18.14;15009;18.1797
29.11.2021;10:36:00-000;18.13;18.16;18.06;18.06;29731;18.1046
29.11.2021;10:37:00-000;18.05;18.07;18.03;18.05;14004;18.0484
29.11.2021;10:38:00-000;18.03;18.08;17.99;17.99;23952;18.0217
29.11.2021;10:39:00-000;17.99;18.04;17.99;18.02;13278;18.0177
29.11.2021;10:40:00-000;18.02;18.03;17.97;18.02;10879;17.9984
29.11.2021;10:41:00-000;18.03;18.04;17.99;17.99;8046;18.0085
29.11.2021;10:42:00-000;17.99;18.02;17.97;18.015;6487;18.0004
29.11.2021;10:43:00-000;18.01;18.05;17.98;17.99;42937;18.0228
29.11.2021;10:44:00-000;17.99;17.99;17.925;17.945;56627;17.954
29.11.2021;10:45:00-000;17.945;18.07;17.93;18.07;48749;17.9588
29.11.2021;10:46:00-000;18.07;18.1;18.04;18.1;17466;18.0679
29.11.2021;10:47:00-000;18.09;18.09;18.06;18.07;5575;18.0762
29.11.2021;10:48:00-000;18.06;18.1;18.05;18.06;23220;18.0563
29.11.2021;10:49:00-000;18.05;18.1;18.04;18.08;7730;18.0508
29.11.2021;10:50:00-000;18.075;18.08;18.06;18.075;5898;18.0666
29.11.2021;10:51:00-000;18.08;18.17;18.07;18.15;25457;18.1421
29.11.2021;10:52:00-000;18.15;18.22;18.15;18.17;7739;18.1906
29.11.2021;10:53:00-000;18.17;18.18;18.15;18.15;19106;18.1649
29.11.2021;10:54:00-000;18.13;18.14;18.1;18.115;10177;18.1275
29.11.2021;10:55:00-000;18.12;18.19;18.12;18.17;4079;18.1542
29.11.2021;10:56:00-000;18.17;18.17;18.1;18.14;26538;18.1371
29.11.2021;10:57:00-000;18.145;18.17;18.135;18.16;15096;18.153
29.11.2021;10:58:00-000;18.16;18.22;18.16;18.19;15687;18.1826
29.11.2021;10:59:00-000;18.2;18.25;18.2;18.24;6346;18.2338
