Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;1.41;1.41;1.41;1.41;600;1.41
29.11.2021;09:38:00-000;1.51;1.74;1.5;1.74;1600;1.5213
29.11.2021;09:40:00-000;1.44;1.44;1.44;1.44;192;1.5598
29.11.2021;10:10:00-000;1.69;1.7;1.69;1.69;1300;1.6985
29.11.2021;10:11:00-000;1.69;1.76;1.6;1.7;9620;1.6789
29.11.2021;10:13:00-000;1.85;1.86;1.85;1.86;1169;1.8437
29.11.2021;10:14:00-000;1.84;1.84;1.84;1.84;334;1.84
29.11.2021;10:17:00-000;1.765;1.765;1.74;1.74;3205;1.7634
29.11.2021;10:20:00-000;1.74;1.74;1.74;1.74;1100;1.74
29.11.2021;10:23:00-000;1.7401;1.7401;1.7401;1.7401;1000;1.7401
29.11.2021;10:26:00-000;1.78;1.78;1.78;1.78;108;1.7775
29.11.2021;10:31:00-000;1.74;1.76;1.74;1.76;240;1.7483
29.11.2021;10:34:00-000;1.74;1.74;1.74;1.74;100;1.74
29.11.2021;10:36:00-000;1.74;1.74;1.74;1.74;9390;1.74
29.11.2021;10:37:00-000;1.75;1.75;1.74;1.74;603;1.7433
29.11.2021;10:38:00-000;1.74;1.74;1.74;1.74;401;1.74
29.11.2021;10:41:00-000;1.74;1.7402;1.74;1.74;8814;1.74
29.11.2021;10:43:00-000;1.74;1.74;1.74;1.74;4568;1.74
29.11.2021;10:48:00-000;1.75;1.75;1.75;1.75;1000;1.75
29.11.2021;10:50:00-000;1.76;1.76;1.75;1.75;253;1.757
29.11.2021;10:54:00-000;1.74;1.74;1.74;1.74;200;1.74
29.11.2021;10:55:00-000;1.76;1.78;1.76;1.78;3100;1.7645
29.11.2021;10:56:00-000;1.79;1.79;1.74;1.74;2300;1.7465
29.11.2021;10:57:00-000;1.74;1.8;1.74;1.8;2833;1.7538
29.11.2021;10:58:00-000;1.77;1.77;1.75;1.755;1648;1.7606
29.11.2021;11:03:00-000;1.75;1.77;1.75;1.77;5814;1.7503
29.11.2021;11:06:00-000;1.71;1.71;1.71;1.71;100;1.71
29.11.2021;11:07:00-000;1.71;1.71;1.71;1.71;100;1.71
29.11.2021;11:08:00-000;1.71;1.71;1.71;1.71;201;1.71
29.11.2021;11:09:00-000;1.6001;1.77;1.6001;1.77;1250;1.6336
29.11.2021;11:10:00-000;1.62;1.62;1.62;1.62;250;1.62
29.11.2021;11:15:00-000;1.77;1.77;1.77;1.77;903;1.77
29.11.2021;11:16:00-000;1.755;1.8;1.755;1.79;6800;1.7819
29.11.2021;11:27:00-000;1.79;1.79;1.76;1.76;5100;1.7894
29.11.2021;11:31:00-000;1.79;1.79;1.785;1.785;400;1.7888
29.11.2021;11:32:00-000;1.79;1.79;1.79;1.79;600;1.79
29.11.2021;11:34:00-000;1.79;1.79;1.79;1.79;101;1.7901
29.11.2021;11:35:00-000;1.795;1.8;1.795;1.8;3492;1.7994
29.11.2021;11:37:00-000;1.8;1.8;1.8;1.8;201;1.7951
29.11.2021;11:40:00-000;1.78;1.78;1.78;1.78;199;1.78
29.11.2021;12:42:00-000;1.7723;1.7723;1.76;1.76;1296;1.7695
29.11.2021;12:58:00-000;1.75;1.75;1.748;1.748;2042;1.7491
29.11.2021;12:59:00-000;1.73;1.735;1.7;1.71;1755;1.7212
29.11.2021;13:05:00-000;1.7;1.7;1.6994;1.6994;2360;1.6995
29.11.2021;13:34:00-000;1.67;1.67;1.67;1.67;1471;1.67
29.11.2021;13:56:00-000;1.7458;1.75;1.7458;1.75;600;1.7479
29.11.2021;14:05:00-000;1.7;1.7;1.7;1.7;100;1.7
29.11.2021;14:18:00-000;1.7499;1.75;1.7;1.7;1400;1.7428
29.11.2021;14:41:00-000;1.75;1.75;1.75;1.75;224;1.7493
29.11.2021;14:50:00-000;1.71;1.71;1.71;1.71;200;1.71
29.11.2021;14:54:00-000;1.72;1.72;1.72;1.72;300;1.72
29.11.2021;14:56:00-000;1.65;1.65;1.65;1.65;216;1.65
29.11.2021;15:15:00-000;1.6701;1.6701;1.6701;1.6701;300;1.6701
29.11.2021;15:40:00-000;1.69;1.69;1.69;1.69;168;1.694
29.11.2021;15:44:00-000;1.66;1.67;1.65;1.66;6040;1.6592
29.11.2021;15:48:00-000;1.65;1.65;1.65;1.65;510;1.65
29.11.2021;15:50:00-000;1.65;1.65;1.65;1.65;1500;1.65
29.11.2021;15:51:00-000;1.65;1.65;1.65;1.65;940;1.65
29.11.2021;15:53:00-000;1.65;1.65;1.65;1.65;3304;1.65
29.11.2021;15:55:00-000;1.64;1.6402;1.64;1.6402;700;1.64
29.11.2021;15:59:00-000;1.62;1.62;1.62;1.62;100;1.62
