Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;1.16;1.16;1.16;1.16;101;1.1594
29.11.2021;09:37:00-000;1.15;1.18;1.15;1.16;9259;1.1554
29.11.2021;09:49:00-000;1.18;1.18;1.18;1.18;100;1.18
29.11.2021;09:51:00-000;1.16;1.16;1.16;1.16;7900;1.16
29.11.2021;11:43:00-000;1.16;1.16;1.16;1.16;4241;1.16
29.11.2021;12:00:00-000;1.16;1.16;1.15;1.15;1250;1.1561
29.11.2021;12:29:00-000;1.15;1.15;1.15;1.15;4609;1.15
29.11.2021;12:32:00-000;1.14;1.14;1.13;1.13;5100;1.1302
29.11.2021;12:35:00-000;1.14;1.15;1.14;1.15;9049;1.1496
29.11.2021;12:43:00-000;1.15;1.15;1.15;1.15;1298;1.15
29.11.2021;12:57:00-000;1.14;1.15;1.14;1.15;602;1.1483
29.11.2021;13:21:00-000;1.15;1.15;1.15;1.15;1800;1.15
29.11.2021;13:33:00-000;1.16;1.16;1.15;1.15;200;1.155
29.11.2021;13:42:00-000;1.15;1.15;1.15;1.15;3300;1.15
29.11.2021;14:18:00-000;1.155;1.155;1.15;1.15;1800;1.1503
29.11.2021;14:30:00-000;1.15;1.15;1.15;1.15;2300;1.15
29.11.2021;15:08:00-000;1.1549;1.1549;1.15;1.15;2000;1.1502
29.11.2021;15:14:00-000;1.16;1.16;1.16;1.16;100;1.16
29.11.2021;15:15:00-000;1.15;1.15;1.15;1.15;800;1.15
29.11.2021;15:21:00-000;1.14;1.14;1.14;1.14;1100;1.14
29.11.2021;15:22:00-000;1.1499;1.1499;1.14;1.14;2794;1.1407
29.11.2021;15:23:00-000;1.155;1.155;1.155;1.155;100;1.155
29.11.2021;15:24:00-000;1.14;1.14;1.14;1.14;1252;1.14
