Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;10.11;10.11;10.11;10.11;216;10.1077
29.11.2021;09:40:00-000;10.14;10.14;10.135;10.135;228;10.1378
29.11.2021;09:44:00-000;10.13;10.13;10.13;10.13;100;10.13
29.11.2021;09:47:00-000;10.13;10.13;10.13;10.13;3328;10.1301
29.11.2021;09:53:00-000;10.13;10.13;10.13;10.13;6203;10.13
29.11.2021;09:54:00-000;10.13;10.13;10.13;10.13;4162;10.1307
29.11.2021;10:21:00-000;10.13;10.15;10.13;10.15;33918;10.1306
29.11.2021;10:23:00-000;10.13;10.15;10.125;10.13;7054;10.1341
29.11.2021;10:32:00-000;10.13;10.13;10.13;10.13;24461;10.13
29.11.2021;10:44:00-000;10.14;10.14;10.14;10.14;11200;10.14
29.11.2021;10:45:00-000;10.14;10.14;10.14;10.14;5200;10.14
29.11.2021;11:10:00-000;10.1318;10.1318;10.1318;10.1318;80000;10.1319
29.11.2021;11:12:00-000;10.15;10.15;10.15;10.15;200;10.15
29.11.2021;14:40:00-000;10.17;10.19;10.17;10.19;560;10.1813
