Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:18:00-000;12.18;12.18;12.18;12.18;100;12.18
29.11.2021;09:27:00-000;11.85;11.85;11.81;11.81;571;11.8395
29.11.2021;09:30:00-000;11.86;11.93;11.86;11.93;1507;11.885
29.11.2021;09:31:00-000;11.95;11.97;11.94;11.97;1225;11.947
29.11.2021;09:32:00-000;11.99;11.99;11.99;11.99;300;11.99
29.11.2021;09:33:00-000;11.98;11.98;11.98;11.98;117;11.9727
29.11.2021;09:36:00-000;11.97;11.97;11.97;11.97;211;11.969
29.11.2021;09:40:00-000;11.97;11.97;11.97;11.97;420;11.9714
29.11.2021;09:48:00-000;11.92;11.92;11.92;11.92;408;11.92
29.11.2021;09:52:00-000;11.9;11.9;11.9;11.9;312;11.8999
29.11.2021;09:53:00-000;11.86;11.86;11.85;11.85;1727;11.8515
29.11.2021;09:56:00-000;11.84;11.84;11.84;11.84;356;11.84
29.11.2021;10:05:00-000;11.77;11.77;11.77;11.77;724;11.77
29.11.2021;10:06:00-000;11.74;11.74;11.74;11.74;672;11.7396
29.11.2021;10:07:00-000;11.73;11.735;11.73;11.735;632;11.7313
29.11.2021;10:08:00-000;11.71;11.71;11.64;11.64;8695;11.6666
29.11.2021;10:09:00-000;11.66;11.66;11.66;11.66;357;11.6603
29.11.2021;10:12:00-000;11.69;11.69;11.69;11.69;200;11.69
29.11.2021;10:19:00-000;11.68;11.68;11.6729;11.6729;228;11.676
29.11.2021;10:20:00-000;11.68;11.68;11.68;11.68;121;11.68
29.11.2021;10:22:00-000;11.68;11.69;11.68;11.69;1151;11.6857
29.11.2021;10:26:00-000;11.64;11.64;11.61;11.64;3292;11.638
29.11.2021;10:29:00-000;11.64;11.64;11.64;11.64;107;11.6393
29.11.2021;10:30:00-000;11.6596;11.6596;11.6596;11.6596;132;11.6596
29.11.2021;10:33:00-000;11.646;11.646;11.646;11.646;150;11.646
29.11.2021;10:34:00-000;11.612;11.612;11.612;11.612;200;11.612
29.11.2021;10:35:00-000;11.64;11.64;11.64;11.64;300;11.64
29.11.2021;10:36:00-000;11.65;11.65;11.65;11.65;100;11.65
29.11.2021;10:42:00-000;11.66;11.66;11.66;11.66;308;11.654
29.11.2021;10:51:00-000;11.7;11.7;11.7;11.7;100;11.7
29.11.2021;11:00:00-000;11.7;11.7;11.7;11.7;924;11.7005
29.11.2021;11:11:00-000;11.69;11.69;11.69;11.69;213;11.6908
29.11.2021;11:12:00-000;11.72;11.72;11.72;11.72;125;11.716
29.11.2021;11:32:00-000;11.709;11.709;11.709;11.709;100;11.709
29.11.2021;11:43:00-000;11.69;11.69;11.69;11.69;243;11.6904
29.11.2021;11:46:00-000;11.69;11.71;11.69;11.71;607;11.6941
29.11.2021;11:48:00-000;11.74;11.74;11.74;11.74;200;11.74
29.11.2021;11:52:00-000;11.76;11.76;11.76;11.76;201;11.76
