Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:35:00-000;108.2;108.2;108.1;108.1;335;108.148
29.11.2021;04:43:00-000;108.5;108.5;108.5;108.5;300;108.5
29.11.2021;04:58:00-000;108.04;108.04;108.04;108.04;200;108.04
29.11.2021;04:59:00-000;108.01;108.01;108.01;108.01;500;108.01
29.11.2021;05:10:00-000;108.5;108.5;108.5;108.5;170;108.5
29.11.2021;05:57:00-000;108.5;108.5;108.5;108.5;200;108.5
29.11.2021;06:16:00-000;109;109;109;109;714;109.001
29.11.2021;06:53:00-000;109;109;109;109;500;108.999
29.11.2021;07:00:00-000;107.37;107.37;107.31;107.31;310;107.4
29.11.2021;07:01:00-000;108.19;108.19;108.19;108.19;204;108.204
29.11.2021;07:05:00-000;108.03;108.03;108;108.03;1194;107.982
29.11.2021;07:07:00-000;107.99;107.99;107.99;107.99;100;107.99
29.11.2021;07:19:00-000;108;108;108;108;600;107.999
29.11.2021;07:22:00-000;108;108;108;108;260;108.196
29.11.2021;07:33:00-000;108.7;108.7;108.7;108.7;201;108.81
29.11.2021;07:34:00-000;108.7;108.7;108.7;108.7;231;108.729
29.11.2021;08:00:00-000;108;108;108;108;519;108.287
29.11.2021;08:08:00-000;109;109;108.9;108.9;500;108.96
29.11.2021;08:35:00-000;109;109;109;109;220;108.991
29.11.2021;08:45:00-000;108.9;108.9;108.9;108.9;2000;108.9
29.11.2021;08:46:00-000;108.49;108.49;108.49;108.49;120;108.492
29.11.2021;08:51:00-000;108.47;108.47;108.47;108.47;100;108.47
29.11.2021;08:54:00-000;108;108;108;108;634;108.102
29.11.2021;08:58:00-000;108.451;108.451;108.451;108.451;229;108.352
29.11.2021;09:18:00-000;108.62;108.62;108.62;108.62;300;108.62
29.11.2021;09:22:00-000;108.69;109.315;108.69;109.315;597;108.892
29.11.2021;09:24:00-000;109;109;109;109;610;109.123
29.11.2021;09:25:00-000;109.49;109.49;109.49;109.49;325;109.464
29.11.2021;09:26:00-000;109.68;109.68;109.68;109.68;320;109.623
29.11.2021;09:27:00-000;109.89;109.9;108.94;108.94;1344;109.419
29.11.2021;09:28:00-000;108.94;108.94;108.94;108.94;370;108.94
29.11.2021;09:30:00-000;109.99;111.2;109.48;110.655;69448;110.329
29.11.2021;09:31:00-000;110.551;110.87;109.815;109.87;33376;110.369
29.11.2021;09:32:00-000;109.863;110.88;109.863;110;15397;110.444
29.11.2021;09:33:00-000;110.05;110.05;108.51;108.965;24663;109.044
29.11.2021;09:34:00-000;108.965;109;107.34;107.34;29999;108.267
29.11.2021;09:35:00-000;107.24;107.325;106.259;106.91;32641;106.89
29.11.2021;09:36:00-000;106.72;107;105.75;106.25;14260;106.364
29.11.2021;09:37:00-000;106.43;106.578;106.14;106.578;6709;106.336
29.11.2021;09:38:00-000;106.325;107;106.03;106.955;12127;106.657
29.11.2021;09:39:00-000;107.12;108.3;107.04;108.28;32347;107.814
29.11.2021;09:40:00-000;108.02;108.02;107;107.256;19012;107.547
29.11.2021;09:41:00-000;107.41;108.07;106.66;108.06;19637;107.252
29.11.2021;09:42:00-000;108.11;108.21;107.47;107.877;8646;107.737
29.11.2021;09:43:00-000;107.765;108.03;107.03;107.03;7326;107.608
