Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;24.97;24.97;24.97;24.97;2187;24.97
29.11.2021;09:33:00-000;25;25;25;25;100;25
29.11.2021;09:34:00-000;25;25;25;25;214;25.0026
29.11.2021;09:35:00-000;24.9992;24.9992;24.9992;24.9992;500;24.9992
29.11.2021;09:39:00-000;25.04;25.04;25.04;25.04;100;25.04
29.11.2021;09:41:00-000;25.0101;25.0101;25.0101;25.0101;1000;25.0101
29.11.2021;09:43:00-000;25.01;25.0101;25.01;25.01;575;25.01
29.11.2021;09:44:00-000;25.04;25.05;25.04;25.05;300;25.0438
29.11.2021;09:45:00-000;25.02;25.02;25;25;3025;25.0101
29.11.2021;09:46:00-000;24.99;24.99;24.97;24.97;1095;24.9823
29.11.2021;10:02:00-000;25.04;25.04;25.04;25.04;100;25.04
29.11.2021;10:10:00-000;25.025;25.025;25.025;25.025;100;25.025
29.11.2021;10:12:00-000;25.0201;25.0201;25.0201;25.0201;300;25.0201
29.11.2021;10:14:00-000;25.02;25.02;25.02;25.02;500;25.02
29.11.2021;10:26:00-000;25.02;25.02;25.02;25.02;500;25.02
29.11.2021;10:32:00-000;25.02;25.02;25.01;25.01;1400;25.0129
29.11.2021;10:36:00-000;25.02;25.02;25.02;25.02;200;25.02
29.11.2021;10:39:00-000;25.01;25.01;25.01;25.01;700;25.01
29.11.2021;10:40:00-000;25;25;25;25;1400;25
29.11.2021;10:41:00-000;25;25;25;25;1100;25
29.11.2021;10:42:00-000;25;25;25;25;100;25
29.11.2021;11:11:00-000;24.99;24.99;24.99;24.99;100;24.99
29.11.2021;11:14:00-000;24.99;24.99;24.99;24.99;595;24.99
29.11.2021;11:20:00-000;25;25;25;25;165;25
29.11.2021;11:27:00-000;25;25;25;25;1000;25
29.11.2021;11:28:00-000;24.995;24.995;24.995;24.995;500;24.995
29.11.2021;11:37:00-000;24.99;24.9901;24.99;24.9901;210;24.9901
29.11.2021;11:42:00-000;24.9997;24.9997;24.9997;24.9997;600;24.9997
29.11.2021;11:55:00-000;25;25;25;25;500;24.9981
29.11.2021;11:56:00-000;25;25;25;25;100;25
29.11.2021;11:57:00-000;25;25;25;25;300;25
29.11.2021;11:58:00-000;25;25;25;25;400;25
29.11.2021;12:00:00-000;25.02;25.02;25.02;25.02;100;25.02
29.11.2021;12:07:00-000;25.02;25.02;25.02;25.02;100;25.02
29.11.2021;12:08:00-000;25.02;25.02;25.02;25.02;100;25.02
29.11.2021;12:10:00-000;25.04;25.04;25.04;25.04;300;25.0306
29.11.2021;12:11:00-000;25.04;25.04;25.04;25.04;600;25.04
29.11.2021;12:31:00-000;25.04;25.04;25.04;25.04;100;25.04
29.11.2021;12:41:00-000;25.02;25.02;25.02;25.02;300;25.02
29.11.2021;12:52:00-000;25.03;25.03;25.03;25.03;500;25.03
29.11.2021;13:23:00-000;25.03;25.04;25.03;25.04;600;25.035
29.11.2021;13:24:00-000;25.04;25.04;25.04;25.04;100;25.04
29.11.2021;13:27:00-000;25.04;25.04;25.04;25.04;300;25.04
29.11.2021;13:29:00-000;25.04;25.05;25.04;25.05;500;25.0442
29.11.2021;13:40:00-000;25.04;25.0402;25.04;25.04;791;25.0401
29.11.2021;13:44:00-000;25.04;25.04;25.0382;25.0382;600;25.0394
29.11.2021;13:50:00-000;25.0481;25.0481;25.0481;25.0481;200;25.0481
29.11.2021;13:53:00-000;25.04;25.04;25.04;25.04;200;25.04
29.11.2021;14:02:00-000;25.04;25.04;25.04;25.04;600;25.04
29.11.2021;14:05:00-000;25.05;25.05;25.04;25.04;870;25.0454
29.11.2021;14:06:00-000;25.0401;25.0401;25.0401;25.0401;200;25.0401
29.11.2021;14:08:00-000;25.0401;25.0401;25.0401;25.0401;300;25.0401
29.11.2021;14:10:00-000;25.0401;25.0401;25.0401;25.0401;200;25.0401
29.11.2021;14:11:00-000;25.0401;25.0401;25.0401;25.0401;200;25.0401
29.11.2021;14:14:00-000;25.0402;25.0402;25.0402;25.0402;200;25.0402
29.11.2021;14:19:00-000;25.05;25.06;25.05;25.06;1416;25.0578
29.11.2021;14:20:00-000;25.09;25.1;25.09;25.1;800;25.0938
29.11.2021;14:21:00-000;25.1;25.1;25.1;25.1;2400;25.1
29.11.2021;14:22:00-000;25.1;25.1;25.09;25.09;400;25.0925
29.11.2021;14:32:00-000;25.08;25.08;25.08;25.08;100;25.08
29.11.2021;14:33:00-000;25.08;25.08;25.08;25.08;100;25.08
29.11.2021;14:34:00-000;25.08;25.08;25.08;25.08;100;25.08
29.11.2021;14:58:00-000;25.08;25.08;25.08;25.08;600;25.08
29.11.2021;14:59:00-000;25.075;25.075;25.075;25.075;400;25.075
29.11.2021;15:03:00-000;25.08;25.08;25.08;25.08;200;25.08
29.11.2021;15:06:00-000;25.08;25.08;25.08;25.08;200;25.08
29.11.2021;15:09:00-000;25.08;25.08;25.08;25.08;200;25.08
29.11.2021;15:10:00-000;25.08;25.08;25.08;25.08;100;25.08
29.11.2021;15:37:00-000;25.065;25.065;25.065;25.065;100;25.065
29.11.2021;15:38:00-000;25.08;25.08;25.08;25.08;200;25.08
29.11.2021;15:46:00-000;25.05;25.05;25.05;25.05;2000;25.0505
29.11.2021;15:47:00-000;25.05;25.05;25.05;25.05;200;25.05
29.11.2021;15:48:00-000;25.05;25.05;25.05;25.05;100;25.05
29.11.2021;15:52:00-000;25.08;25.08;25.08;25.08;400;25.08
29.11.2021;15:54:00-000;25.08;25.1;25.08;25.1;1491;25.0929
29.11.2021;15:59:00-000;25.185;25.185;25.0801;25.0801;1290;25.0882
29.11.2021;16:00:00-000;25.13;25.13;25.13;25.13;161;25.13
