Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;10:01:00-000;2.98;2.98;2.98;2.98;258;2.9781
29.11.2021;10:07:00-000;3.02;3.02;3.02;3.02;100;3.02
29.11.2021;10:16:00-000;3.011;3.011;3.011;3.011;140;3.011
29.11.2021;10:17:00-000;3.012;3.012;3.012;3.012;200;3.012
29.11.2021;10:19:00-000;3.0199;3.0199;3.0199;3.0199;333;3.0199
29.11.2021;10:21:00-000;3.02;3.02;3.02;3.02;102;3.0185
29.11.2021;10:36:00-000;2.9201;2.9201;2.9201;2.9201;173;2.9201
29.11.2021;10:39:00-000;2.928;2.928;2.928;2.928;200;2.928
29.11.2021;11:39:00-000;2.98;2.98;2.9401;2.9401;1616;2.9539
29.11.2021;11:40:00-000;2.95;2.95;2.941;2.941;1600;2.948
29.11.2021;11:52:00-000;2.94;2.94;2.94;2.94;177;2.94
29.11.2021;12:02:00-000;2.965;2.965;2.965;2.965;257;2.965
29.11.2021;12:06:00-000;2.965;2.965;2.965;2.965;100;2.965
29.11.2021;12:28:00-000;3;3;2.99;3;16269;2.9995
29.11.2021;12:29:00-000;3.06;3.06;3.06;3.06;327;3.0583
29.11.2021;12:33:00-000;3.0699;3.07;3.0699;3.07;1258;3.0699
29.11.2021;12:34:00-000;3;3.045;3;3.045;400;3.0113
29.11.2021;12:35:00-000;3.04;3.04;3.04;3.04;180;3.0476
29.11.2021;12:36:00-000;3.0575;3.0575;3.0575;3.0575;300;3.0575
29.11.2021;13:22:00-000;3.01;3.01;3.01;3.01;100;3.01
29.11.2021;13:41:00-000;3.02;3.02;3;3;500;3.008
29.11.2021;13:42:00-000;3.02;3.02;3;3;800;3.0025
29.11.2021;13:43:00-000;3;3.0001;3;3.0001;400;3.0001
29.11.2021;13:49:00-000;3.0001;3.0001;3.0001;3.0001;500;3.0001
29.11.2021;14:03:00-000;3.0058;3.07;3;3.07;2000;3.0063
29.11.2021;14:27:00-000;3.01;3.07;3;3.07;1600;3.0086
29.11.2021;14:48:00-000;3;3;3;3;500;3
29.11.2021;15:54:00-000;3.07;3.07;3.07;3.07;104;3.07
29.11.2021;15:56:00-000;3.01;3.07;3;3.07;3482;3.0208
29.11.2021;15:57:00-000;3.035;3.06;3.01;3.06;528;3.0363
29.11.2021;15:58:00-000;3.01;3.01;3.01;3.01;650;3.0096
29.11.2021;15:59:00-000;3.035;3.035;3;3;1465;3.0067
29.11.2021;16:00:00-000;3;3;3;3;230;3
