Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;79.31;79.31;79.31;79.31;1362;79.3095
29.11.2021;09:35:00-000;79.0383;79.0383;79.0383;79.0383;3035;79.0384
29.11.2021;09:36:00-000;79.1;79.1;79.1;79.1;1000;79.1
29.11.2021;09:37:00-000;79;79;79;79;1601;79
29.11.2021;09:38:00-000;78.9382;78.9382;78.9382;78.9382;3100;78.9402
29.11.2021;09:39:00-000;79.0771;79.0771;79.0771;79.0771;478;79.0726
29.11.2021;09:40:00-000;78.97;78.97;78.97;78.97;103;78.9709
29.11.2021;09:43:00-000;78.96;78.9865;78.95;78.96;901;78.9608
29.11.2021;09:44:00-000;78.94;78.96;78.93;78.93;1239;78.9413
29.11.2021;09:50:00-000;78.85;78.85;78.85;78.85;4509;78.8499
29.11.2021;09:52:00-000;78.81;78.81;78.81;78.81;100;78.81
29.11.2021;09:55:00-000;78.83;78.83;78.83;78.83;100;78.83
29.11.2021;09:59:00-000;78.85;78.85;78.85;78.85;327;78.8471
29.11.2021;10:02:00-000;78.8;78.8;78.8;78.8;186;78.8
29.11.2021;10:03:00-000;78.79;78.79;78.79;78.79;200;78.79
29.11.2021;10:05:00-000;78.76;78.79;78.76;78.79;300;78.78
29.11.2021;10:14:00-000;78.7;78.7;78.7;78.7;150;78.7
29.11.2021;10:15:00-000;78.73;78.73;78.73;78.73;104;78.7331
29.11.2021;10:24:00-000;78.78;78.78;78.78;78.78;102;78.7794
29.11.2021;10:27:00-000;78.675;78.69;78.66;78.675;600;78.675
29.11.2021;10:31:00-000;78.5099;78.5099;78.4771;78.4771;394;78.4942
29.11.2021;10:32:00-000;78.51;78.51;78.51;78.51;356;78.51
29.11.2021;10:33:00-000;78.5599;78.5599;78.505;78.505;7616;78.5555
29.11.2021;10:34:00-000;78.56;78.56;78.56;78.56;7000;78.56
29.11.2021;10:38:00-000;78.4342;78.4342;78.4342;78.4342;330;78.4342
29.11.2021;10:40:00-000;78.51;78.51;78.3964;78.3964;581;78.4519
29.11.2021;10:42:00-000;78.4;78.41;78.4;78.4075;7221;78.4055
29.11.2021;10:43:00-000;78.4363;78.4363;78.4363;78.4363;225;78.4363
29.11.2021;10:49:00-000;78.5075;78.5075;78.5075;78.5075;458;78.4992
29.11.2021;10:56:00-000;78.5;78.5;78.5;78.5;250;78.5
29.11.2021;11:03:00-000;78.63;78.63;78.63;78.63;129;78.6283
29.11.2021;11:04:00-000;78.6254;78.6254;78.6254;78.6254;164;78.6254
29.11.2021;11:19:00-000;78.66;78.66;78.66;78.66;100;78.66
29.11.2021;11:24:00-000;78.665;78.665;78.665;78.665;252;78.6601
29.11.2021;11:25:00-000;78.68;78.68;78.68;78.68;100;78.68
29.11.2021;11:30:00-000;78.6889;78.6889;78.6889;78.6889;400;78.6878
29.11.2021;11:32:00-000;78.66;78.66;78.66;78.66;300;78.66
29.11.2021;11:37:00-000;78.72;78.72;78.72;78.72;4976;78.72
29.11.2021;11:39:00-000;78.72;78.72;78.72;78.72;200;78.72
29.11.2021;11:50:00-000;78.8;78.8;78.8;78.8;198;78.8
29.11.2021;11:59:00-000;78.8525;78.89;78.8525;78.89;637;78.8764
29.11.2021;12:11:00-000;79;79.01;79;79.01;1452;79.0091
29.11.2021;12:19:00-000;79.0238;79.0238;79.0238;79.0238;152;79.0334
29.11.2021;12:29:00-000;79.1899;79.1899;79.1899;79.1899;389;79.1819
29.11.2021;12:39:00-000;79.23;79.23;79.23;79.23;653;79.2301
29.11.2021;12:45:00-000;79.27;79.27;79.27;79.27;172;79.27
29.11.2021;12:49:00-000;79.28;79.28;79.28;79.28;200;79.28
29.11.2021;12:50:00-000;79.28;79.28;79.28;79.28;445;79.28
29.11.2021;12:51:00-000;79.19;79.19;79.19;79.19;130;79.19
29.11.2021;13:03:00-000;79.3;79.3;79.3;79.3;135;79.3
29.11.2021;13:10:00-000;79.34;79.34;79.34;79.34;135;79.34
29.11.2021;13:16:00-000;79.23;79.23;79.23;79.23;100;79.23
29.11.2021;13:20:00-000;79.2191;79.2191;79.2191;79.2191;123;79.2191
29.11.2021;13:33:00-000;79.23;79.23;79.23;79.23;141;79.2276
29.11.2021;13:56:00-000;79.152;79.152;79.152;79.152;496;79.152
29.11.2021;13:58:00-000;79.2;79.2;79.2;79.2;178;79.1972
29.11.2021;14:02:00-000;79.189;79.189;79.121;79.121;3976;79.1834
29.11.2021;14:03:00-000;79.15;79.15;79.15;79.15;700;79.15
29.11.2021;14:15:00-000;79.21;79.21;79.21;79.21;315;79.21
29.11.2021;14:16:00-000;79.1101;79.1101;79.1101;79.1101;820;79.1101
29.11.2021;14:18:00-000;79.15;79.1599;79.15;79.1599;2093;79.158
29.11.2021;14:25:00-000;79.1394;79.1394;79.1394;79.1394;146;79.1388
29.11.2021;14:36:00-000;79.05;79.05;79.05;79.05;101;79.05
29.11.2021;14:42:00-000;79.0665;79.0665;79.0665;79.0665;310;79.0665
29.11.2021;14:46:00-000;79.09;79.1;79.09;79.1;2059;79.0974
29.11.2021;14:54:00-000;79.11;79.11;79.1095;79.1095;630;79.1098
29.11.2021;15:03:00-000;79.09;79.0965;79.09;79.09;1025;79.0908
29.11.2021;15:07:00-000;79.0381;79.0381;79.0381;79.0381;262;79.0462
29.11.2021;15:09:00-000;79.0842;79.0842;79.0842;79.0842;100;79.0842
29.11.2021;15:10:00-000;79.12;79.12;79.12;79.12;102;79.1196
29.11.2021;15:30:00-000;79.0599;79.0599;79.0599;79.0599;162;79.0465
29.11.2021;15:31:00-000;79.015;79.015;79.015;79.015;151;79.0235
29.11.2021;15:32:00-000;79.015;79.03;79.015;79.0285;1793;79.027
29.11.2021;15:34:00-000;79.06;79.06;79.06;79.06;222;79.06
29.11.2021;15:35:00-000;79.0642;79.0642;79.0642;79.0642;191;79.0644
29.11.2021;15:41:00-000;79.05;79.05;79.05;79.05;528;79.05
29.11.2021;15:45:00-000;78.98;78.98;78.98;78.98;291;78.9801
29.11.2021;15:46:00-000;78.96;78.96;78.94;78.94;1780;78.9562
29.11.2021;15:54:00-000;78.95;78.95;78.95;78.95;503;78.95
29.11.2021;15:59:00-000;78.94;78.94;78.87;78.87;789;78.892
29.11.2021;16:00:00-000;78.87;78.87;78.87;78.87;509;78.87
29.11.2021;16:10:00-000;78.87;78.87;78.87;78.87;0;0
29.11.2021;18:30:00-000;78.87;78.87;78.87;78.87;0;0
29.11.2021;20:00:00-000;78.87;78.87;78.87;78.87;0;0
