Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;9.47;9.52;9.46;9.52;15010;9.4707
29.11.2021;09:31:00-000;9.51;9.54;9.4736;9.5;2701;9.4901
29.11.2021;09:32:00-000;9.52;9.53;9.52;9.53;1099;9.5215
29.11.2021;09:33:00-000;9.51;9.51;9.42;9.42;3787;9.4564
29.11.2021;09:34:00-000;9.4102;9.45;9.4102;9.445;5110;9.4237
29.11.2021;09:35:00-000;9.44;9.49;9.44;9.47;5412;9.4711
29.11.2021;09:36:00-000;9.49;9.51;9.49;9.5;2870;9.5024
29.11.2021;09:37:00-000;9.48;9.48;9.46;9.46;941;9.4711
29.11.2021;09:38:00-000;9.44;9.45;9.44;9.44;2491;9.4448
29.11.2021;09:39:00-000;9.42;9.45;9.42;9.43;4729;9.4324
29.11.2021;09:40:00-000;9.42;9.42;9.38;9.38;4928;9.4004
29.11.2021;09:41:00-000;9.38;9.38;9.3515;9.36;8068;9.3671
29.11.2021;09:42:00-000;9.36;9.37;9.33;9.33;14310;9.3502
29.11.2021;09:43:00-000;9.332;9.35;9.3;9.31;11566;9.3235
29.11.2021;09:44:00-000;9.31;9.31;9.2751;9.29;8670;9.2897
29.11.2021;09:45:00-000;9.2814;9.29;9.27;9.29;3102;9.2788
29.11.2021;09:46:00-000;9.28;9.28;9.24;9.2799;24961;9.2587
29.11.2021;09:47:00-000;9.28;9.31;9.28;9.31;2996;9.3034
29.11.2021;09:48:00-000;9.3;9.3;9.27;9.29;3505;9.2861
29.11.2021;09:49:00-000;9.28;9.295;9.28;9.29;3913;9.289
29.11.2021;09:50:00-000;9.28;9.29;9.26;9.26;2600;9.2773
29.11.2021;09:51:00-000;9.2796;9.295;9.27;9.275;4541;9.2837
29.11.2021;09:52:00-000;9.27;9.28;9.26;9.26;9994;9.2732
29.11.2021;09:53:00-000;9.26;9.285;9.26;9.265;1796;9.268
29.11.2021;09:54:00-000;9.27;9.29;9.26;9.265;1937;9.2794
29.11.2021;09:55:00-000;9.265;9.28;9.25;9.28;4086;9.2547
29.11.2021;09:56:00-000;9.3;9.3;9.28;9.28;1051;9.2923
29.11.2021;09:58:00-000;9.27;9.27;9.25;9.255;2025;9.2633
29.11.2021;09:59:00-000;9.25;9.255;9.23;9.23;2642;9.2442
29.11.2021;10:00:00-000;9.22;9.22;9.2;9.215;11008;9.2098
29.11.2021;10:01:00-000;9.215;9.215;9.215;9.215;350;9.215
29.11.2021;10:02:00-000;9.21;9.24;9.21;9.225;9033;9.2267
29.11.2021;10:03:00-000;9.22;9.22;9.2099;9.2099;1623;9.2111
29.11.2021;10:04:00-000;9.2;9.205;9.18;9.18;2886;9.1921
29.11.2021;10:05:00-000;9.18;9.21;9.18;9.205;8557;9.1997
29.11.2021;10:06:00-000;9.21;9.235;9.21;9.23;1010;9.217
29.11.2021;10:07:00-000;9.23;9.245;9.22;9.22;10904;9.229
29.11.2021;10:08:00-000;9.225;9.225;9.205;9.205;2574;9.2154
29.11.2021;10:09:00-000;9.215;9.22;9.215;9.22;1034;9.2194
29.11.2021;10:10:00-000;9.22;9.23;9.22;9.23;791;9.2238
29.11.2021;10:11:00-000;9.225;9.225;9.22;9.22;404;9.2226
29.11.2021;10:12:00-000;9.225;9.225;9.21;9.215;1142;9.2188
29.11.2021;10:13:00-000;9.2;9.2;9.18;9.195;2552;9.1868
29.11.2021;10:14:00-000;9.2;9.215;9.19;9.19;3996;9.2086
29.11.2021;10:15:00-000;9.18;9.205;9.18;9.205;4938;9.1908
29.11.2021;10:16:00-000;9.18;9.18;9.16;9.16;1612;9.169
29.11.2021;10:17:00-000;9.155;9.185;9.155;9.18;6049;9.1649
29.11.2021;10:18:00-000;9.185;9.19;9.18;9.19;535;9.1873
29.11.2021;10:19:00-000;9.2153;9.22;9.21;9.22;4544;9.2152
29.11.2021;10:20:00-000;9.2254;9.235;9.2254;9.23;5092;9.2277
29.11.2021;10:21:00-000;9.24;9.24;9.22;9.22;1175;9.2342
29.11.2021;10:22:00-000;9.225;9.235;9.215;9.215;1099;9.2245
29.11.2021;10:23:00-000;9.22;9.225;9.21;9.22;1839;9.218
29.11.2021;10:24:00-000;9.225;9.225;9.22;9.225;875;9.2214
29.11.2021;10:25:00-000;9.2238;9.2238;9.2;9.2;8135;9.2034
29.11.2021;10:26:00-000;9.19;9.195;9.175;9.175;4714;9.1817
29.11.2021;10:27:00-000;9.17;9.175;9.16;9.165;3748;9.1687
29.11.2021;10:28:00-000;9.17;9.18;9.17;9.18;3256;9.1746
29.11.2021;10:29:00-000;9.19;9.1925;9.175;9.18;16298;9.1876
29.11.2021;10:30:00-000;9.18;9.19;9.18;9.185;4521;9.1826
29.11.2021;10:31:00-000;9.18;9.185;9.15;9.17;5832;9.1706
29.11.2021;10:32:00-000;9.17;9.18;9.17;9.17;3189;9.1736
29.11.2021;10:33:00-000;9.16;9.17;9.14;9.165;40317;9.1582
29.11.2021;10:34:00-000;9.16;9.165;9.14;9.16;17528;9.1538
29.11.2021;10:35:00-000;9.17;9.175;9.17;9.175;1034;9.1708
29.11.2021;10:36:00-000;9.17;9.175;9.17;9.17;1091;9.1705
29.11.2021;10:37:00-000;9.155;9.155;9.125;9.125;1433;9.1409
29.11.2021;10:38:00-000;9.13;9.145;9.12;9.145;16803;9.1378
29.11.2021;10:39:00-000;9.145;9.15;9.14;9.14;5657;9.1453
29.11.2021;10:40:00-000;9.145;9.1499;9.125;9.125;3126;9.1434
29.11.2021;10:41:00-000;9.13;9.13;9.11;9.115;2621;9.1174
29.11.2021;10:42:00-000;9.115;9.16;9.115;9.16;11140;9.1428
29.11.2021;10:43:00-000;9.15;9.17;9.145;9.17;9572;9.1557
29.11.2021;10:44:00-000;9.17;9.19;9.17;9.19;4880;9.1848
29.11.2021;10:45:00-000;9.19;9.21;9.19;9.2;21544;9.2025
29.11.2021;10:46:00-000;9.195;9.195;9.19;9.19;2038;9.191
29.11.2021;10:47:00-000;9.18;9.195;9.18;9.195;3459;9.1856
29.11.2021;10:48:00-000;9.19;9.2;9.19;9.2;921;9.1917
29.11.2021;10:49:00-000;9.18;9.19;9.18;9.19;1999;9.1855
29.11.2021;10:50:00-000;9.185;9.185;9.18;9.185;2479;9.1818
29.11.2021;10:51:00-000;9.185;9.2;9.18;9.195;5798;9.1928
29.11.2021;10:52:00-000;9.195;9.195;9.195;9.195;500;9.195
29.11.2021;10:53:00-000;9.2;9.2;9.19;9.2;3846;9.1943
29.11.2021;10:54:00-000;9.2;9.21;9.2;9.205;989;9.2033
29.11.2021;10:55:00-000;9.205;9.225;9.205;9.225;5728;9.2188
29.11.2021;10:56:00-000;9.225;9.225;9.225;9.225;506;9.225
29.11.2021;10:57:00-000;9.22;9.225;9.2134;9.2134;2141;9.2202
29.11.2021;10:58:00-000;9.22;9.22;9.22;9.22;312;9.2174
29.11.2021;10:59:00-000;9.215;9.225;9.215;9.22;1720;9.2215
29.11.2021;11:00:00-000;9.225;9.235;9.22;9.235;3557;9.2236
29.11.2021;11:01:00-000;9.235;9.235;9.23;9.235;1458;9.2328
29.11.2021;11:02:00-000;9.235;9.2368;9.235;9.235;1547;9.2361
29.11.2021;11:03:00-000;9.23;9.235;9.23;9.235;2874;9.2322
29.11.2021;11:04:00-000;9.23;9.235;9.23;9.235;595;9.2328
29.11.2021;11:05:00-000;9.235;9.24;9.235;9.235;1584;9.2363
29.11.2021;11:06:00-000;9.23;9.235;9.23;9.235;900;9.2313
29.11.2021;11:07:00-000;9.235;9.235;9.21;9.212;3367;9.228
29.11.2021;11:08:00-000;9.215;9.215;9.215;9.215;152;9.2149
29.11.2021;11:09:00-000;9.215;9.215;9.205;9.21;2475;9.21
29.11.2021;11:10:00-000;9.2;9.205;9.19;9.19;2370;9.1955
29.11.2021;11:11:00-000;9.2;9.22;9.2;9.21;1499;9.2062
29.11.2021;11:12:00-000;9.2;9.205;9.2;9.2;1656;9.2003
29.11.2021;11:13:00-000;9.2;9.2;9.2;9.2;490;9.2043
29.11.2021;11:14:00-000;9.2;9.2;9.1842;9.1842;729;9.1969
29.11.2021;11:15:00-000;9.19;9.21;9.19;9.2;3091;9.1996
29.11.2021;11:16:00-000;9.2;9.2;9.18;9.18;1065;9.1984
29.11.2021;11:17:00-000;9.17;9.18;9.17;9.18;1745;9.1709
29.11.2021;11:18:00-000;9.17;9.175;9.17;9.17;710;9.1704
29.11.2021;11:19:00-000;9.155;9.155;9.145;9.145;2746;9.1532
29.11.2021;11:20:00-000;9.15;9.17;9.15;9.17;2158;9.1623
29.11.2021;11:21:00-000;9.165;9.165;9.16;9.165;319;9.1631
29.11.2021;11:22:00-000;9.16;9.16;9.15;9.15;1303;9.152
29.11.2021;11:23:00-000;9.1514;9.1514;9.145;9.15;1192;9.1496
29.11.2021;11:24:00-000;9.15;9.15;9.15;9.15;401;9.15
29.11.2021;11:25:00-000;9.15;9.17;9.15;9.17;4932;9.1591
29.11.2021;11:26:00-000;9.17;9.17;9.17;9.17;309;9.17
29.11.2021;11:27:00-000;9.17;9.175;9.17;9.175;607;9.1708
29.11.2021;11:28:00-000;9.17;9.17;9.15;9.15;1826;9.16
29.11.2021;11:29:00-000;9.15;9.15;9.14;9.145;2548;9.1453
29.11.2021;11:30:00-000;9.155;9.16;9.155;9.16;1109;9.1536
29.11.2021;11:31:00-000;9.16;9.16;9.155;9.155;1484;9.1581
29.11.2021;11:32:00-000;9.16;9.16;9.15;9.15;2406;9.1583
29.11.2021;11:33:00-000;9.145;9.145;9.135;9.135;1280;9.1405
29.11.2021;11:34:00-000;9.13;9.14;9.13;9.14;1120;9.1323
29.11.2021;11:35:00-000;9.14;9.14;9.135;9.135;1014;9.1382
29.11.2021;11:36:00-000;9.135;9.135;9.12;9.12;1679;9.1296
29.11.2021;11:37:00-000;9.13;9.135;9.13;9.135;1110;9.1315
29.11.2021;11:38:00-000;9.125;9.13;9.12;9.12;1014;9.1236
29.11.2021;11:39:00-000;9.13;9.15;9.13;9.15;2552;9.1412
29.11.2021;11:40:00-000;9.15;9.17;9.15;9.17;1604;9.1614
29.11.2021;11:42:00-000;9.175;9.175;9.16;9.17;1033;9.1695
29.11.2021;11:46:00-000;9.18;9.205;9.18;9.205;5945;9.1897
29.11.2021;11:47:00-000;9.215;9.215;9.21;9.21;2073;9.2107
29.11.2021;11:48:00-000;9.2137;9.215;9.2137;9.215;3114;9.2138
29.11.2021;11:49:00-000;9.215;9.215;9.21;9.21;761;9.2113
29.11.2021;11:50:00-000;9.205;9.205;9.2;9.2;1463;9.2005
29.11.2021;11:51:00-000;9.21;9.22;9.21;9.22;638;9.2149
29.11.2021;11:52:00-000;9.22;9.225;9.205;9.205;4408;9.2109
29.11.2021;11:53:00-000;9.2016;9.2016;9.2016;9.2016;903;9.2016
29.11.2021;11:54:00-000;9.2;9.215;9.2;9.215;2257;9.2039
29.11.2021;11:57:00-000;9.215;9.215;9.21;9.215;510;9.2141
29.11.2021;11:58:00-000;9.215;9.215;9.215;9.215;106;9.2153
29.11.2021;11:59:00-000;9.21;9.21;9.21;9.21;166;9.2105
29.11.2021;12:00:00-000;9.22;9.22;9.22;9.22;1546;9.2201
29.11.2021;12:01:00-000;9.23;9.24;9.23;9.24;1306;9.232
29.11.2021;12:02:00-000;9.24;9.24;9.23;9.235;1713;9.2381
29.11.2021;12:03:00-000;9.24;9.245;9.24;9.245;724;9.2413
29.11.2021;12:04:00-000;9.25;9.255;9.25;9.255;603;9.2509
29.11.2021;12:05:00-000;9.26;9.265;9.26;9.265;3086;9.2622
29.11.2021;12:06:00-000;9.265;9.265;9.265;9.265;103;9.2651
29.11.2021;12:07:00-000;9.265;9.265;9.26;9.26;516;9.262
29.11.2021;12:08:00-000;9.26;9.26;9.26;9.26;657;9.2601
29.11.2021;12:09:00-000;9.27;9.275;9.27;9.275;2391;9.2711
29.11.2021;12:10:00-000;9.2799;9.2799;9.2778;9.2778;568;9.2755
29.11.2021;12:12:00-000;9.2742;9.2742;9.27;9.27;226;9.2722
29.11.2021;12:13:00-000;9.28;9.28;9.28;9.28;953;9.28
29.11.2021;12:14:00-000;9.29;9.295;9.29;9.29;936;9.2905
29.11.2021;12:15:00-000;9.29;9.29;9.28;9.28;12373;9.2852
29.11.2021;12:17:00-000;9.2737;9.2737;9.2737;9.2737;153;9.2738
29.11.2021;12:18:00-000;9.28;9.295;9.28;9.29;1779;9.2849
29.11.2021;12:19:00-000;9.2999;9.2999;9.2999;9.2999;1027;9.2998
29.11.2021;12:20:00-000;9.3;9.3;9.3;9.3;3300;9.2998
29.11.2021;12:21:00-000;9.29;9.3;9.29;9.3;1260;9.2922
29.11.2021;12:22:00-000;9.31;9.32;9.31;9.32;937;9.3123
29.11.2021;12:24:00-000;9.32;9.3399;9.32;9.335;4800;9.3348
29.11.2021;12:25:00-000;9.33;9.33;9.315;9.315;2613;9.3226
29.11.2021;12:27:00-000;9.32;9.33;9.32;9.33;1093;9.3218
29.11.2021;12:28:00-000;9.33;9.33;9.33;9.33;454;9.3304
29.11.2021;12:29:00-000;9.33;9.3368;9.33;9.3308;4033;9.3314
29.11.2021;12:30:00-000;9.335;9.34;9.335;9.34;5618;9.3397
29.11.2021;12:31:00-000;9.345;9.345;9.345;9.345;107;9.3453
29.11.2021;12:32:00-000;9.345;9.3481;9.345;9.3481;3205;9.3478
29.11.2021;12:33:00-000;9.345;9.345;9.345;9.345;1013;9.345
29.11.2021;12:34:00-000;9.34;9.345;9.33;9.345;2653;9.3392
29.11.2021;12:36:00-000;9.345;9.345;9.335;9.34;1134;9.34
29.11.2021;12:37:00-000;9.34;9.35;9.34;9.35;549;9.3463
29.11.2021;12:38:00-000;9.36;9.36;9.355;9.355;404;9.3575
29.11.2021;12:40:00-000;9.35;9.35;9.34;9.34;1604;9.3442
29.11.2021;12:41:00-000;9.345;9.345;9.34;9.34;1900;9.3443
29.11.2021;12:42:00-000;9.34;9.345;9.34;9.345;824;9.3406
29.11.2021;12:43:00-000;9.3442;9.35;9.3442;9.35;687;9.3476
29.11.2021;12:44:00-000;9.355;9.355;9.355;9.355;205;9.3527
29.11.2021;12:45:00-000;9.3585;9.36;9.355;9.355;2808;9.3583
29.11.2021;12:46:00-000;9.36;9.365;9.36;9.365;1151;9.3607
29.11.2021;12:48:00-000;9.365;9.365;9.34;9.34;2269;9.3563
29.11.2021;12:49:00-000;9.34;9.34;9.34;9.34;116;9.3402
29.11.2021;12:50:00-000;9.345;9.345;9.34;9.34;1167;9.341
29.11.2021;12:54:00-000;9.345;9.345;9.345;9.345;204;9.3426
29.11.2021;12:55:00-000;9.35;9.355;9.35;9.355;2144;9.3505
29.11.2021;12:56:00-000;9.36;9.36;9.36;9.36;321;9.3601
29.11.2021;12:59:00-000;9.365;9.365;9.365;9.365;129;9.3657
29.11.2021;13:04:00-000;9.36;9.36;9.35;9.35;1050;9.3591
29.11.2021;13:05:00-000;9.35;9.35;9.35;9.35;108;9.3499
29.11.2021;13:06:00-000;9.35;9.35;9.35;9.35;686;9.3501
29.11.2021;13:07:00-000;9.36;9.36;9.36;9.36;1253;9.3601
29.11.2021;13:08:00-000;9.37;9.37;9.365;9.365;445;9.3659
29.11.2021;13:10:00-000;9.36;9.36;9.358;9.358;669;9.3584
29.11.2021;13:11:00-000;9.35;9.35;9.34;9.34;2017;9.343
29.11.2021;13:12:00-000;9.33;9.33;9.32;9.32;489;9.328
29.11.2021;13:13:00-000;9.32;9.325;9.32;9.32;1286;9.3204
29.11.2021;13:14:00-000;9.32;9.32;9.31;9.32;1972;9.3158
29.11.2021;13:15:00-000;9.33;9.33;9.32;9.32;969;9.3211
29.11.2021;13:16:00-000;9.31;9.31;9.31;9.31;1207;9.3099
29.11.2021;13:17:00-000;9.31;9.315;9.3001;9.3001;1712;9.3034
29.11.2021;13:18:00-000;9.3;9.3;9.3;9.3;393;9.2998
29.11.2021;13:20:00-000;9.31;9.32;9.31;9.32;982;9.3111
29.11.2021;13:21:00-000;9.31;9.31;9.31;9.31;346;9.31
29.11.2021;13:22:00-000;9.3111;9.3111;9.3111;9.3111;363;9.2889
29.11.2021;13:23:00-000;9.31;9.31;9.305;9.305;520;9.3091
29.11.2021;13:24:00-000;9.31;9.31;9.31;9.31;572;9.31
29.11.2021;13:25:00-000;9.305;9.305;9.3;9.3049;2007;9.302
29.11.2021;13:26:00-000;9.3;9.3;9.29;9.3;1434;9.2978
29.11.2021;13:28:00-000;9.31;9.31;9.31;9.31;389;9.3102
29.11.2021;13:29:00-000;9.32;9.32;9.32;9.32;423;9.3203
29.11.2021;13:30:00-000;9.32;9.32;9.32;9.32;1137;9.32
29.11.2021;13:31:00-000;9.325;9.325;9.325;9.325;136;9.3243
29.11.2021;13:33:00-000;9.33;9.335;9.33;9.335;540;9.3311
29.11.2021;13:34:00-000;9.33;9.33;9.33;9.33;467;9.3304
29.11.2021;13:36:00-000;9.3399;9.3399;9.3399;9.3399;443;9.3384
29.11.2021;13:37:00-000;9.33;9.335;9.32;9.32;2990;9.3302
29.11.2021;13:38:00-000;9.32;9.325;9.32;9.325;1079;9.3204
29.11.2021;13:39:00-000;9.29;9.29;9.29;9.29;866;9.2933
29.11.2021;13:40:00-000;9.3;9.305;9.3;9.305;513;9.3012
29.11.2021;13:41:00-000;9.305;9.305;9.305;9.305;108;9.3054
29.11.2021;13:42:00-000;9.31;9.31;9.31;9.31;347;9.31
29.11.2021;13:43:00-000;9.305;9.31;9.305;9.31;843;9.3094
29.11.2021;13:45:00-000;9.31;9.31;9.31;9.31;478;9.3101
29.11.2021;13:47:00-000;9.32;9.32;9.32;9.32;516;9.3201
29.11.2021;13:48:00-000;9.32;9.32;9.32;9.32;982;9.32
29.11.2021;13:49:00-000;9.3173;9.3173;9.31;9.31;204;9.3138
29.11.2021;13:51:00-000;9.31;9.31;9.31;9.31;566;9.3101
29.11.2021;13:52:00-000;9.31;9.31;9.31;9.31;354;9.3101
29.11.2021;13:55:00-000;9.32;9.32;9.32;9.32;109;9.32
29.11.2021;13:56:00-000;9.315;9.315;9.315;9.315;113;9.3156
29.11.2021;13:57:00-000;9.32;9.32;9.32;9.32;107;9.32
