Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:58:00-000;8.26;8.26;8.26;8.26;100;8.26
29.11.2021;09:30:00-000;8.37;8.49;8.37;8.47;3919;8.3747
29.11.2021;09:32:00-000;8.46;8.49;8.46;8.49;237;8.4736
29.11.2021;09:34:00-000;8.3688;8.3688;8.3688;8.3688;540;8.3681
29.11.2021;09:35:00-000;8.43;8.46;8.43;8.46;302;8.4364
29.11.2021;09:36:00-000;8.37;8.405;8.37;8.37;1242;8.3709
29.11.2021;09:39:00-000;8.3619;8.42;8.3619;8.42;1040;8.3861
29.11.2021;09:40:00-000;8.4304;8.45;8.4304;8.45;950;8.4318
29.11.2021;09:41:00-000;8.425;8.425;8.425;8.425;2061;8.4243
29.11.2021;09:42:00-000;8.41;8.41;8.41;8.41;140;8.4071
29.11.2021;09:43:00-000;8.4;8.4;8.38;8.3817;995;8.3845
29.11.2021;09:45:00-000;8.35;8.35;8.35;8.35;1147;8.3505
29.11.2021;09:48:00-000;8.4099;8.4099;8.4099;8.4099;111;8.4087
29.11.2021;09:49:00-000;8.33;8.33;8.33;8.33;200;8.355
29.11.2021;09:57:00-000;8.43;8.43;8.43;8.43;768;8.4305
29.11.2021;09:58:00-000;8.42;8.42;8.42;8.42;349;8.4199
29.11.2021;10:04:00-000;8.39;8.39;8.38;8.38;729;8.3818
29.11.2021;10:05:00-000;8.38;8.41;8.38;8.41;582;8.3872
29.11.2021;10:06:00-000;8.399;8.399;8.399;8.399;101;8.3989
29.11.2021;10:07:00-000;8.36;8.36;8.36;8.36;276;8.3664
29.11.2021;10:08:00-000;8.351;8.3666;8.35;8.35;583;8.3552
29.11.2021;10:09:00-000;8.3657;8.3657;8.3657;8.3657;176;8.3625
29.11.2021;10:10:00-000;8.37;8.37;8.37;8.37;106;8.3705
29.11.2021;10:12:00-000;8.38;8.38;8.38;8.38;896;8.38
29.11.2021;10:13:00-000;8.36;8.36;8.35;8.35;440;8.3562
29.11.2021;10:14:00-000;8.3744;8.3762;8.3744;8.3762;638;8.3753
29.11.2021;10:17:00-000;8.38;8.38;8.38;8.38;217;8.3804
29.11.2021;10:18:00-000;8.38;8.38;8.38;8.38;1080;8.38
29.11.2021;10:19:00-000;8.4;8.4;8.4;8.4;100;8.4
29.11.2021;10:21:00-000;8.38;8.38;8.38;8.38;132;8.3836
29.11.2021;10:25:00-000;8.3971;8.3971;8.3971;8.3971;211;8.3982
29.11.2021;10:26:00-000;8.37;8.37;8.37;8.37;425;8.371
29.11.2021;10:28:00-000;8.32;8.32;8.32;8.32;415;8.3272
29.11.2021;10:31:00-000;8.32;8.32;8.31;8.31;669;8.3168
29.11.2021;10:33:00-000;8.28;8.28;8.28;8.28;364;8.2859
29.11.2021;10:37:00-000;8.27;8.27;8.265;8.27;649;8.275
29.11.2021;10:39:00-000;8.25;8.25;8.25;8.25;2337;8.2498
29.11.2021;10:41:00-000;8.23;8.23;8.23;8.23;165;8.2303
29.11.2021;10:42:00-000;8.24;8.24;8.24;8.24;308;8.24
29.11.2021;10:43:00-000;8.25;8.25;8.25;8.25;227;8.2496
29.11.2021;10:45:00-000;8.27;8.3;8.26;8.3;721;8.2772
29.11.2021;10:51:00-000;8.31;8.31;8.29;8.29;246;8.3023
29.11.2021;10:56:00-000;8.305;8.305;8.305;8.305;406;8.3052
29.11.2021;10:58:00-000;8.3;8.3;8.3;8.3;452;8.2994
29.11.2021;11:01:00-000;8.34;8.34;8.34;8.34;107;8.34
29.11.2021;11:10:00-000;8.38;8.38;8.38;8.38;122;8.383
29.11.2021;11:11:00-000;8.37;8.3999;8.37;8.3999;322;8.3793
29.11.2021;11:14:00-000;8.3601;8.37;8.36;8.37;2007;8.3607
29.11.2021;11:15:00-000;8.37;8.37;8.37;8.37;267;8.3701
29.11.2021;11:19:00-000;8.35;8.35;8.35;8.35;115;8.35
29.11.2021;11:22:00-000;8.35;8.35;8.35;8.35;278;8.3501
29.11.2021;11:25:00-000;8.3;8.3;8.3;8.3;147;8.2979
29.11.2021;11:26:00-000;8.33;8.33;8.33;8.33;207;8.33
29.11.2021;11:30:00-000;8.32;8.32;8.32;8.32;232;8.3209
29.11.2021;11:34:00-000;8.3;8.3;8.3;8.3;390;8.3
29.11.2021;11:49:00-000;8.34;8.34;8.34;8.34;100;8.34
29.11.2021;11:58:00-000;8.325;8.325;8.325;8.325;110;8.325
29.11.2021;12:02:00-000;8.34;8.34;8.34;8.34;542;8.3404
29.11.2021;12:03:00-000;8.375;8.375;8.375;8.375;111;8.3765
29.11.2021;12:06:00-000;8.4;8.4;8.4;8.4;2060;8.3994
29.11.2021;12:09:00-000;8.405;8.405;8.405;8.405;111;8.4051
29.11.2021;12:10:00-000;8.39;8.39;8.39;8.39;314;8.3898
29.11.2021;12:13:00-000;8.38;8.4;8.37;8.39;3506;8.3777
29.11.2021;12:16:00-000;8.37;8.37;8.36;8.36;1138;8.367
29.11.2021;12:17:00-000;8.34;8.35;8.34;8.35;2160;8.3402
29.11.2021;12:22:00-000;8.35;8.35;8.35;8.35;1921;8.3489
29.11.2021;12:23:00-000;8.3412;8.3412;8.34;8.34;1100;8.341
29.11.2021;12:27:00-000;8.3473;8.3473;8.3473;8.3473;102;8.3474
29.11.2021;12:30:00-000;8.34;8.34;8.34;8.34;503;8.34
29.11.2021;12:31:00-000;8.35;8.35;8.35;8.35;774;8.3495
29.11.2021;12:32:00-000;8.35;8.35;8.35;8.35;535;8.3494
29.11.2021;12:35:00-000;8.35;8.35;8.34;8.34;2840;8.3477
29.11.2021;12:36:00-000;8.33;8.33;8.33;8.33;316;8.33
29.11.2021;12:46:00-000;8.35;8.35;8.35;8.35;3226;8.3494
29.11.2021;12:50:00-000;8.33;8.33;8.33;8.33;545;8.3301
29.11.2021;12:58:00-000;8.35;8.35;8.35;8.35;304;8.35
29.11.2021;12:59:00-000;8.35;8.35;8.35;8.35;999;8.3496
29.11.2021;13:00:00-000;8.35;8.35;8.35;8.35;101;8.35
29.11.2021;13:01:00-000;8.35;8.35;8.35;8.35;102;8.35
29.11.2021;13:02:00-000;8.35;8.35;8.35;8.35;305;8.35
29.11.2021;13:05:00-000;8.34;8.34;8.34;8.34;529;8.34
29.11.2021;13:08:00-000;8.35;8.35;8.35;8.35;1035;8.3496
29.11.2021;13:11:00-000;8.3323;8.35;8.33;8.33;2730;8.3335
29.11.2021;13:13:00-000;8.33;8.33;8.33;8.33;389;8.33
29.11.2021;13:15:00-000;8.32;8.32;8.32;8.32;870;8.3196
29.11.2021;13:19:00-000;8.305;8.305;8.305;8.305;102;8.3053
29.11.2021;13:24:00-000;8.3;8.3;8.3;8.3;201;8.3
