Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:55:00-000;28.84;28.84;28.84;28.84;100;28.84
29.11.2021;09:56:00-000;28.84;28.84;28.84;28.84;200;28.84
29.11.2021;11:10:00-000;28.84;28.84;28.84;28.84;200;28.84
29.11.2021;11:11:00-000;28.84;28.84;28.84;28.84;100;28.84
29.11.2021;12:44:00-000;28.92;28.92;28.91;28.91;416;28.915
29.11.2021;12:45:00-000;28.92;28.92;28.92;28.92;500;28.92
29.11.2021;12:46:00-000;28.92;28.92;28.92;28.92;100;28.92
29.11.2021;16:10:00-000;28.9567;28.9567;28.9567;28.9567;0;0
29.11.2021;18:30:00-000;28.9567;28.9567;28.9567;28.9567;0;0
29.11.2021;20:00:00-000;28.9567;28.9567;28.9567;28.9567;0;0
