Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;26.66;26.66;26.66;26.66;1800;26.66
29.11.2021;10:15:00-000;26.7;26.7;26.7;26.7;100;26.7
29.11.2021;10:28:00-000;26.7;26.7;26.7;26.7;100;26.7
29.11.2021;11:51:00-000;26.9174;26.9174;26.9174;26.9174;100;26.9174
29.11.2021;12:13:00-000;26.9272;26.9272;26.9272;26.9272;387;26.9264
29.11.2021;12:38:00-000;26.86;26.86;26.86;26.86;200;26.8483
29.11.2021;12:49:00-000;26.88;26.88;26.86;26.88;500;26.8722
29.11.2021;12:53:00-000;26.94;26.94;26.94;26.94;400;26.94
29.11.2021;14:06:00-000;26.76;26.87;26.75;26.84;700;26.7814
29.11.2021;14:11:00-000;26.82;26.82;26.75;26.75;500;26.764
29.11.2021;14:12:00-000;26.94;26.94;26.94;26.94;445;26.94
29.11.2021;15:50:00-000;26.77;26.77;26.75;26.76;500;26.764
29.11.2021;16:10:00-000;26.76;26.76;26.76;26.76;0;0
29.11.2021;18:30:00-000;26.76;26.76;26.76;26.76;0;0
29.11.2021;19:00:00-000;26.76;26.76;26.76;26.76;0;0
