Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:14:00-000;27.55;27.55;27.55;27.55;1010;27.5472
29.11.2021;04:15:00-000;27.55;27.55;27.55;27.55;634;27.5486
29.11.2021;05:24:00-000;27.69;27.76;27.69;27.7;3406;27.726
29.11.2021;05:57:00-000;28.09;28.09;28.09;28.09;229;28.0931
29.11.2021;07:36:00-000;27.8;27.85;27.8;27.85;731;27.8169
29.11.2021;07:37:00-000;27.8;27.8;27.8;27.8;650;27.8123
29.11.2021;08:00:00-000;27.7;27.7;27.7;27.7;360;27.7319
29.11.2021;08:01:00-000;27.7;27.7;27.7;27.7;400;27.7
29.11.2021;08:04:00-000;27.7;27.7;27.66;27.66;522;27.6847
29.11.2021;08:08:00-000;27.62;27.62;27.62;27.62;480;27.63
29.11.2021;08:13:00-000;27.62;27.62;27.62;27.62;329;27.6218
29.11.2021;08:39:00-000;27.6;27.6;27.6;27.6;120;27.5917
29.11.2021;08:42:00-000;27.5999;27.5999;27.5999;27.5999;1008;27.5998
29.11.2021;08:51:00-000;27.6;27.65;27.6;27.65;615;27.6231
29.11.2021;09:04:00-000;27.75;27.75;27.75;27.75;313;27.7407
29.11.2021;09:22:00-000;27.89;27.89;27.89;27.89;100;27.89
29.11.2021;09:25:00-000;27.66;27.67;27.66;27.67;1500;27.6697
29.11.2021;09:26:00-000;27.77;27.77;27.77;27.77;1010;27.7703
29.11.2021;09:30:00-000;27.78;27.85;27.68;27.85;54638;27.7679
29.11.2021;09:31:00-000;27.88;28.11;27.74;27.74;13614;27.9908
29.11.2021;09:32:00-000;27.7401;27.76;27.69;27.76;3306;27.7358
29.11.2021;09:33:00-000;27.805;27.82;27.68;27.8;6112;27.7687
29.11.2021;09:34:00-000;27.71;27.71;27.65;27.65;2142;27.6657
29.11.2021;09:35:00-000;27.5899;27.5899;27.44;27.49;5059;27.5322
29.11.2021;09:36:00-000;27.49;27.58;27.45;27.58;4746;27.5376
29.11.2021;09:37:00-000;27.57;27.62;27.55;27.62;725;27.5646
29.11.2021;09:38:00-000;27.5644;27.63;27.55;27.6;6296;27.5729
29.11.2021;09:39:00-000;27.59;27.69;27.58;27.66;2001;27.6251
29.11.2021;09:40:00-000;27.63;27.6828;27.6;27.6;2834;27.6449
29.11.2021;09:41:00-000;27.615;27.615;27.52;27.52;2486;27.561
29.11.2021;09:42:00-000;27.54;27.56;27.45;27.45;3658;27.5153
29.11.2021;09:43:00-000;27.4735;27.4735;27.4;27.405;4357;27.4164
29.11.2021;09:44:00-000;27.45;27.45;27.28;27.34;6776;27.3193
29.11.2021;09:45:00-000;27.36;27.38;27.21;27.28;5614;27.3048
29.11.2021;09:46:00-000;27.2657;27.3;27.11;27.3;3585;27.2107
29.11.2021;09:47:00-000;27.32;27.54;27.32;27.54;3833;27.4019
29.11.2021;09:48:00-000;27.52;27.6;27.485;27.5899;6692;27.5267
29.11.2021;09:49:00-000;27.53;27.6299;27.47;27.47;3500;27.5442
29.11.2021;09:50:00-000;27.43;27.49;27.2945;27.2945;4784;27.4154
29.11.2021;09:51:00-000;27.33;27.35;27.33;27.33;677;27.3444
29.11.2021;09:52:00-000;27.34;27.379;27.275;27.275;2674;27.3495
29.11.2021;09:53:00-000;27.27;27.33;27.27;27.3255;4665;27.307
29.11.2021;09:54:00-000;27.35;27.54;27.35;27.47;6485;27.4691
29.11.2021;09:55:00-000;27.4497;27.57;27.4424;27.57;3767;27.5084
29.11.2021;09:56:00-000;27.59;27.65;27.58;27.62;5053;27.6131
29.11.2021;09:57:00-000;27.6;27.71;27.6;27.6652;7264;27.6465
29.11.2021;09:58:00-000;27.64;27.67;27.52;27.54;10629;27.548
29.11.2021;09:59:00-000;27.52;27.63;27.49;27.57;10271;27.5667
29.11.2021;10:00:00-000;27.57;27.65;27.51;27.6448;3854;27.5758
29.11.2021;10:01:00-000;27.655;27.655;27.49;27.49;6437;27.6042
29.11.2021;10:02:00-000;27.535;27.63;27.49;27.54;6131;27.5583
29.11.2021;10:03:00-000;27.5475;27.555;27.41;27.42;4529;27.4627
29.11.2021;10:04:00-000;27.455;27.455;27.33;27.3693;4780;27.4119
29.11.2021;10:05:00-000;27.39;27.48;27.34;27.48;16397;27.4317
29.11.2021;10:06:00-000;27.46;27.47;27.435;27.47;1210;27.4646
29.11.2021;10:07:00-000;27.46;27.46;27.31;27.385;4895;27.3674
29.11.2021;10:08:00-000;27.36;27.48;27.34;27.38;9446;27.3779
29.11.2021;10:09:00-000;27.4;27.4;27.34;27.375;4073;27.3735
29.11.2021;10:10:00-000;27.37;27.4485;27.37;27.4485;2754;27.409
29.11.2021;10:11:00-000;27.425;27.435;27.251;27.2707;11319;27.3789
29.11.2021;10:12:00-000;27.27;27.305;27.16;27.18;4410;27.2542
29.11.2021;10:13:00-000;27.14;27.14;27.04;27.055;4776;27.0892
29.11.2021;10:14:00-000;27.0809;27.1;27.04;27.09;5939;27.069
29.11.2021;10:15:00-000;27.05;27.19;27.05;27.14;2450;27.1305
29.11.2021;10:16:00-000;27.119;27.119;27.01;27.06;1521;27.0832
29.11.2021;10:17:00-000;27.05;27.18;27.02;27.18;3487;27.1001
29.11.2021;10:18:00-000;27.2;27.2;27.13;27.1303;988;27.1449
29.11.2021;10:19:00-000;27.135;27.16;27.135;27.16;2325;27.1449
29.11.2021;10:20:00-000;27.192;27.22;27.1529;27.19;10947;27.2054
29.11.2021;10:21:00-000;27.2;27.32;27.2;27.27;6508;27.2605
29.11.2021;10:22:00-000;27.255;27.29;27.136;27.136;3390;27.2256
29.11.2021;10:23:00-000;27.14;27.23;27.14;27.23;3673;27.1881
29.11.2021;10:24:00-000;27.27;27.27;27.19;27.21;1853;27.2328
29.11.2021;10:25:00-000;27.2357;27.2357;27.18;27.18;1513;27.2253
29.11.2021;10:26:00-000;27.16;27.16;26.88;26.95;14327;26.9716
29.11.2021;10:27:00-000;26.91;26.97;26.87;26.9;9649;26.9136
29.11.2021;10:28:00-000;26.89;26.91;26.8;26.87;3395;26.8694
