Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:00:00-000;2.6;2.6;2.6;2.6;251;2.6
29.11.2021;09:30:00-000;2.6;2.6;2.6;2.6;679;2.6
29.11.2021;09:32:00-000;2.61;2.61;2.61;2.61;259;2.61
29.11.2021;09:55:00-000;2.611;2.611;2.611;2.611;334;2.611
29.11.2021;09:59:00-000;2.61;2.61;2.61;2.61;4400;2.61
29.11.2021;10:17:00-000;2.6;2.6;2.6;2.6;789;2.6
29.11.2021;10:49:00-000;2.6099;2.6099;2.6099;2.6099;200;2.6099
29.11.2021;11:13:00-000;2.6;2.605;2.6;2.605;5450;2.6011
29.11.2021;11:45:00-000;2.605;2.61;2.605;2.61;5000;2.6093
29.11.2021;11:46:00-000;2.6099;2.6099;2.6;2.6;5152;2.6096
29.11.2021;11:47:00-000;2.6099;2.61;2.609;2.61;10000;2.6099
29.11.2021;11:52:00-000;2.61;2.61;2.61;2.61;2079;2.61
29.11.2021;12:14:00-000;2.6101;2.6101;2.6101;2.6101;5483;2.6101
29.11.2021;12:33:00-000;2.615;2.62;2.615;2.62;2189;2.6195
29.11.2021;12:37:00-000;2.625;2.625;2.625;2.625;9809;2.625
29.11.2021;12:57:00-000;2.63;2.63;2.62;2.62;5016;2.6295
29.11.2021;13:03:00-000;2.625;2.625;2.625;2.625;1022;2.625
29.11.2021;13:07:00-000;2.63;2.63;2.625;2.625;16300;2.6299
29.11.2021;13:26:00-000;2.625;2.625;2.625;2.625;2263;2.625
29.11.2021;13:42:00-000;2.63;2.645;2.625;2.645;43124;2.6385
29.11.2021;13:43:00-000;2.6402;2.65;2.6402;2.6405;7600;2.6409
29.11.2021;13:44:00-000;2.6401;2.65;2.6401;2.647;13422;2.6457
29.11.2021;13:45:00-000;2.645;2.645;2.645;2.645;7000;2.645
29.11.2021;13:56:00-000;2.6409;2.6409;2.6409;2.6409;500;2.6409
29.11.2021;13:59:00-000;2.645;2.645;2.6401;2.6401;1000;2.6435
29.11.2021;14:00:00-000;2.645;2.645;2.64;2.64;5465;2.641
29.11.2021;14:06:00-000;2.645;2.645;2.645;2.645;1901;2.645
29.11.2021;14:07:00-000;2.645;2.645;2.64;2.64;700;2.6429
29.11.2021;14:08:00-000;2.645;2.645;2.64;2.645;2460;2.6443
29.11.2021;14:10:00-000;2.645;2.645;2.64;2.64;1352;2.6446
29.11.2021;14:11:00-000;2.6406;2.645;2.64;2.645;5000;2.6417
29.11.2021;14:12:00-000;2.6415;2.645;2.6406;2.6406;3750;2.6423
29.11.2021;14:13:00-000;2.6406;2.6408;2.64;2.6408;3350;2.6406
29.11.2021;14:14:00-000;2.645;2.645;2.64;2.645;1300;2.6438
29.11.2021;14:26:00-000;2.635;2.635;2.62;2.62;6000;2.6319
29.11.2021;14:39:00-000;2.625;2.625;2.62;2.62;1000;2.623
29.11.2021;14:40:00-000;2.6299;2.6299;2.6299;2.6299;100;2.6299
29.11.2021;14:45:00-000;2.62;2.625;2.62;2.625;500;2.623
29.11.2021;14:48:00-000;2.625;2.635;2.625;2.63;21140;2.6308
29.11.2021;14:59:00-000;2.62;2.62;2.62;2.62;1500;2.62
29.11.2021;15:03:00-000;2.62;2.62;2.62;2.62;8969;2.62
29.11.2021;15:04:00-000;2.615;2.615;2.615;2.615;300;2.615
29.11.2021;15:15:00-000;2.6105;2.6105;2.6105;2.6105;2500;2.6105
29.11.2021;15:33:00-000;2.615;2.615;2.615;2.615;100;2.615
29.11.2021;15:34:00-000;2.615;2.615;2.615;2.615;100;2.615
29.11.2021;15:35:00-000;2.615;2.615;2.615;2.615;100;2.615
29.11.2021;15:36:00-000;2.6101;2.615;2.6101;2.615;335;2.6116
29.11.2021;15:37:00-000;2.615;2.615;2.615;2.615;100;2.615
29.11.2021;15:38:00-000;2.615;2.62;2.615;2.62;11913;2.6197
29.11.2021;15:39:00-000;2.62;2.62;2.62;2.62;300;2.62
29.11.2021;15:40:00-000;2.62;2.62;2.615;2.62;1040;2.6195
29.11.2021;15:41:00-000;2.615;2.615;2.615;2.615;200;2.615
29.11.2021;15:45:00-000;2.615;2.615;2.61;2.61;1500;2.6111
29.11.2021;15:46:00-000;2.61;2.61;2.61;2.61;100;2.61
29.11.2021;15:48:00-000;2.6172;2.6172;2.6101;2.6101;1636;2.6151
29.11.2021;15:49:00-000;2.62;2.62;2.62;2.62;100;2.62
29.11.2021;15:50:00-000;2.615;2.615;2.615;2.615;140;2.6164
29.11.2021;15:51:00-000;2.62;2.62;2.62;2.62;120;2.62
29.11.2021;15:52:00-000;2.62;2.62;2.62;2.62;100;2.62
29.11.2021;15:53:00-000;2.62;2.62;2.62;2.62;100;2.62
29.11.2021;15:54:00-000;2.62;2.62;2.62;2.62;100;2.62
29.11.2021;15:55:00-000;2.62;2.62;2.62;2.62;500;2.62
29.11.2021;15:56:00-000;2.615;2.62;2.615;2.62;620;2.616
29.11.2021;15:57:00-000;2.62;2.62;2.62;2.62;100;2.62
29.11.2021;15:58:00-000;2.62;2.62;2.62;2.62;200;2.62
29.11.2021;15:59:00-000;2.62;2.63;2.61;2.62;1480;2.6186
29.11.2021;16:00:00-000;2.62;2.62;2.62;2.62;108;2.62
29.11.2021;16:10:00-000;2.62;2.62;2.62;2.62;0;0
29.11.2021;18:30:00-000;2.62;2.62;2.62;2.62;0;0
29.11.2021;19:00:00-000;2.62;2.62;2.62;2.62;0;0
