Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;54.99;54.99;54.99;54.99;627;54.9897
29.11.2021;10:00:00-000;54.9;54.9;54.8754;54.8754;1042;54.8833
29.11.2021;10:13:00-000;54.9282;54.93;54.9118;54.9298;1413;54.9257
29.11.2021;10:17:00-000;54.93;54.93;54.93;54.93;133;54.9325
29.11.2021;10:24:00-000;54.93;54.93;54.93;54.93;350;54.9314
29.11.2021;10:31:00-000;54.94;54.94;54.9392;54.9399;703;54.9397
29.11.2021;10:36:00-000;54.9318;54.9318;54.9318;54.9318;454;54.941
29.11.2021;10:57:00-000;54.97;54.97;54.97;54.97;100;54.97
29.11.2021;10:58:00-000;54.955;54.955;54.95;54.95;265;54.9543
29.11.2021;11:00:00-000;54.98;54.98;54.98;54.98;168;54.9786
29.11.2021;11:10:00-000;54.97;54.97;54.97;54.97;200;54.97
29.11.2021;11:13:00-000;54.98;54.98;54.98;54.98;200;54.98
29.11.2021;11:14:00-000;54.98;54.98;54.98;54.98;300;54.98
29.11.2021;11:15:00-000;54.98;54.98;54.98;54.98;110;54.98
29.11.2021;11:18:00-000;54.98;54.98;54.96;54.96;240;54.97
29.11.2021;11:19:00-000;54.98;54.98;54.98;54.98;1100;54.98
29.11.2021;12:04:00-000;54.98;54.98;54.98;54.98;619;54.98
29.11.2021;12:25:00-000;54.979;54.979;54.979;54.979;221;54.9782
29.11.2021;12:37:00-000;54.9775;54.9775;54.9775;54.9775;118;54.9775
29.11.2021;12:44:00-000;54.98;54.98;54.96;54.96;1636;54.9771
29.11.2021;13:14:00-000;54.9626;54.9626;54.9626;54.9626;222;54.9627
29.11.2021;13:19:00-000;54.989;54.99;54.989;54.99;339;54.9894
29.11.2021;13:40:00-000;54.9601;54.9601;54.9601;54.9601;100;54.9601
29.11.2021;13:47:00-000;54.965;54.965;54.965;54.965;400;54.965
29.11.2021;14:52:00-000;54.99;54.99;54.989;54.99;572;54.9898
29.11.2021;14:54:00-000;54.99;54.99;54.99;54.99;100;54.99
29.11.2021;14:59:00-000;54.99;54.99;54.99;54.99;200;54.99
29.11.2021;15:13:00-000;55;55;55;55;100;55
29.11.2021;15:56:00-000;54.995;54.995;54.995;54.995;130;54.995
29.11.2021;15:59:00-000;54.995;54.995;54.99;54.99;624;54.9937
29.11.2021;16:00:00-000;55;55;55;55;259;55
