Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;10:01:00-000;25.5916;25.5916;25.5916;25.5916;875;25.5916
29.11.2021;10:05:00-000;25.59;25.6;25.59;25.6;200;25.595
29.11.2021;10:10:00-000;25.7;25.7;25.7;25.7;1200;25.7
29.11.2021;10:12:00-000;25.615;25.615;25.615;25.615;100;25.615
29.11.2021;10:29:00-000;25.56;25.5992;25.56;25.5992;600;25.5796
29.11.2021;10:42:00-000;25.55;25.55;25.55;25.55;601;25.55
29.11.2021;10:50:00-000;25.55;25.55;25.55;25.55;799;25.55
29.11.2021;10:52:00-000;25.55;25.55;25.53;25.54;2000;25.5393
29.11.2021;11:04:00-000;25.59;25.59;25.59;25.59;113;25.59
29.11.2021;11:08:00-000;25.53;25.59;25.52;25.59;2100;25.5718
29.11.2021;11:10:00-000;25.55;25.58;25.535;25.57;6834;25.5501
29.11.2021;11:14:00-000;25.54;25.54;25.52;25.5328;12100;25.5329
29.11.2021;11:21:00-000;25.52;25.5205;25.52;25.52;2267;25.5204
29.11.2021;11:40:00-000;25.5;25.5;25.5;25.5;414;25.5
29.11.2021;11:45:00-000;25.5;25.5;25.5;25.5;110;25.5
29.11.2021;11:50:00-000;25.5246;25.5246;25.5;25.5;305;25.5165
29.11.2021;11:53:00-000;25.5;25.5;25.5;25.5;1100;25.5
29.11.2021;11:54:00-000;25.5001;25.5001;25.5;25.5;2196;25.5
29.11.2021;12:00:00-000;25.5;25.5;25.5;25.5;108;25.5
29.11.2021;12:02:00-000;25.53;25.54;25.52;25.52;500;25.5332
29.11.2021;12:03:00-000;25.5;25.5;25.5;25.5;104;25.5
29.11.2021;12:05:00-000;25.5;25.5;25.5;25.5;112;25.5011
29.11.2021;12:06:00-000;25.54;25.55;25.53;25.53;2736;25.5396
29.11.2021;12:23:00-000;25.55;25.55;25.55;25.55;300;25.5417
29.11.2021;12:35:00-000;25.52;25.52;25.52;25.52;348;25.52
29.11.2021;12:36:00-000;25.53;25.53;25.53;25.53;150;25.53
29.11.2021;12:37:00-000;25.52;25.52;25.5;25.5;1278;25.509
29.11.2021;12:40:00-000;25.5325;25.5325;25.5219;25.5219;959;25.5274
29.11.2021;12:41:00-000;25.55;25.55;25.55;25.55;164;25.55
29.11.2021;12:42:00-000;25.54;25.54;25.54;25.54;130;25.5357
29.11.2021;12:59:00-000;25.55;25.55;25.55;25.55;600;25.5446
29.11.2021;13:01:00-000;25.5325;25.5325;25.5325;25.5325;400;25.5325
29.11.2021;13:30:00-000;25.5;25.5;25.5;25.5;100;25.5
29.11.2021;13:33:00-000;25.5;25.5;25.5;25.5;110;25.5
29.11.2021;13:36:00-000;25.5;25.5;25.5;25.5;100;25.5
29.11.2021;13:40:00-000;25.5;25.5;25.5;25.5;105;25.5
29.11.2021;13:41:00-000;25.525;25.525;25.525;25.525;1000;25.525
29.11.2021;13:43:00-000;25.525;25.525;25.525;25.525;509;25.5203
29.11.2021;13:45:00-000;25.5325;25.5325;25.5325;25.5325;400;25.5325
29.11.2021;13:46:00-000;25.55;25.55;25.5;25.5;272;25.5314
29.11.2021;13:47:00-000;25.5325;25.55;25.5325;25.54;1600;25.5429
29.11.2021;14:00:00-000;25.51;25.51;25.51;25.51;110;25.51
29.11.2021;14:12:00-000;25.5;25.5;25.5;25.5;111;25.5
29.11.2021;14:25:00-000;25.5;25.5;25.5;25.5;109;25.5
29.11.2021;14:29:00-000;25.5;25.5;25.5;25.5;114;25.5
29.11.2021;14:33:00-000;25.5;25.5;25.5;25.5;100;25.5
29.11.2021;14:36:00-000;25.5;25.5;25.5;25.5;353;25.5
29.11.2021;14:45:00-000;25.5;25.5;25.5;25.5;108;25.5
29.11.2021;14:49:00-000;25.5;25.5;25.5;25.5;114;25.5023
29.11.2021;14:51:00-000;25.52;25.52;25.52;25.52;793;25.52
29.11.2021;14:57:00-000;25.535;25.535;25.535;25.535;550;25.5336
29.11.2021;14:59:00-000;25.53;25.53;25.53;25.53;189;25.5274
29.11.2021;15:07:00-000;25.52;25.52;25.52;25.52;151;25.52
29.11.2021;15:08:00-000;25.52;25.52;25.52;25.52;1783;25.52
29.11.2021;15:10:00-000;25.54;25.549;25.52;25.52;1102;25.5414
29.11.2021;15:14:00-000;25.52;25.52;25.52;25.52;107;25.52
29.11.2021;15:17:00-000;25.52;25.52;25.52;25.52;162;25.52
29.11.2021;15:21:00-000;25.52;25.52;25.52;25.52;175;25.5221
29.11.2021;15:29:00-000;25.5;25.5;25.5;25.5;500;25.5023
29.11.2021;15:30:00-000;25.525;25.525;25.5;25.5;1600;25.5022
29.11.2021;15:31:00-000;25.49;25.49;25.49;25.49;915;25.49
29.11.2021;15:32:00-000;25.49;25.49;25.49;25.49;1093;25.49
29.11.2021;15:34:00-000;25.49;25.49;25.49;25.49;108;25.49
29.11.2021;15:37:00-000;25.49;25.49;25.49;25.49;109;25.49
