Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:11:00-000;1.71;1.71;1.71;1.71;100;1.71
29.11.2021;04:39:00-000;1.71;1.71;1.71;1.71;100;1.71
29.11.2021;05:26:00-000;1.72;1.72;1.69;1.69;433;1.7031
29.11.2021;06:38:00-000;1.69;1.69;1.69;1.69;200;1.6895
29.11.2021;06:39:00-000;1.7;1.7;1.7;1.7;148;1.6978
29.11.2021;06:57:00-000;1.71;1.71;1.71;1.71;1470;1.7107
29.11.2021;07:50:00-000;1.74;1.74;1.74;1.74;1667;1.74
29.11.2021;08:00:00-000;1.72;1.74;1.72;1.74;3631;1.7345
29.11.2021;08:01:00-000;1.7301;1.7301;1.7301;1.7301;750;1.7301
29.11.2021;08:16:00-000;1.73;1.73;1.73;1.73;200;1.73
29.11.2021;08:17:00-000;1.73;1.73;1.73;1.73;100;1.73
29.11.2021;08:25:00-000;1.73;1.73;1.73;1.73;1100;1.73
29.11.2021;08:39:00-000;1.73;1.73;1.73;1.73;5014;1.73
29.11.2021;08:43:00-000;1.73;1.73;1.73;1.73;294;1.73
29.11.2021;08:45:00-000;1.73;1.73;1.73;1.73;200;1.73
29.11.2021;08:46:00-000;1.73;1.73;1.73;1.73;968;1.73
29.11.2021;08:48:00-000;1.74;1.74;1.74;1.74;500;1.74
29.11.2021;08:50:00-000;1.73;1.73;1.73;1.73;160;1.7338
29.11.2021;08:54:00-000;1.73;1.73;1.73;1.73;1000;1.73
29.11.2021;08:55:00-000;1.73;1.73;1.73;1.73;500;1.73
29.11.2021;08:59:00-000;1.74;1.74;1.74;1.74;244;1.74
29.11.2021;09:03:00-000;1.74;1.74;1.74;1.74;3000;1.74
29.11.2021;09:06:00-000;1.74;1.74;1.74;1.74;335;1.74
29.11.2021;09:15:00-000;1.74;1.74;1.74;1.74;299;1.74
29.11.2021;09:21:00-000;1.74;1.74;1.74;1.74;6822;1.74
29.11.2021;09:27:00-000;1.74;1.74;1.74;1.74;1978;1.7407
29.11.2021;09:30:00-000;1.73;1.7321;1.73;1.73;22118;1.7302
29.11.2021;09:31:00-000;1.7359;1.7365;1.72;1.72;7092;1.7273
29.11.2021;09:32:00-000;1.71;1.71;1.7;1.7088;21942;1.7051
29.11.2021;09:34:00-000;1.705;1.71;1.7;1.702;8700;1.7089
29.11.2021;09:35:00-000;1.705;1.7099;1.705;1.7099;2735;1.7083
29.11.2021;09:36:00-000;1.71;1.71;1.706;1.71;17477;1.7098
29.11.2021;09:37:00-000;1.7101;1.715;1.71;1.715;9522;1.7109
29.11.2021;09:39:00-000;1.715;1.725;1.7148;1.715;17108;1.7199
29.11.2021;09:40:00-000;1.715;1.715;1.705;1.71;20959;1.7101
29.11.2021;09:41:00-000;1.7028;1.705;1.7015;1.7015;1352;1.702
29.11.2021;09:42:00-000;1.705;1.71;1.7013;1.702;7603;1.7074
29.11.2021;09:43:00-000;1.705;1.705;1.7;1.705;3025;1.7042
29.11.2021;09:44:00-000;1.705;1.705;1.7;1.7;2024;1.7028
29.11.2021;09:45:00-000;1.695;1.695;1.6802;1.695;10042;1.6902
29.11.2021;09:46:00-000;1.69;1.69;1.68;1.68;7176;1.6837
29.11.2021;09:47:00-000;1.675;1.68;1.675;1.68;2211;1.6775
29.11.2021;09:48:00-000;1.69;1.69;1.685;1.685;998;1.6895
29.11.2021;09:49:00-000;1.69;1.7;1.69;1.695;14152;1.6975
29.11.2021;09:50:00-000;1.695;1.695;1.69;1.695;4386;1.6935
29.11.2021;09:51:00-000;1.695;1.695;1.695;1.695;238;1.6952
29.11.2021;09:52:00-000;1.7;1.71;1.7;1.71;15934;1.7062
29.11.2021;09:53:00-000;1.7093;1.7093;1.7093;1.7093;1025;1.7093
29.11.2021;09:54:00-000;1.71;1.72;1.71;1.72;3432;1.712
29.11.2021;09:55:00-000;1.7127;1.7248;1.7127;1.7248;3391;1.7212
29.11.2021;09:56:00-000;1.725;1.7292;1.725;1.7292;4100;1.7274
29.11.2021;09:57:00-000;1.7248;1.73;1.7201;1.7201;9426;1.7275
29.11.2021;09:58:00-000;1.72;1.72;1.715;1.72;5008;1.7198
29.11.2021;09:59:00-000;1.7195;1.7195;1.7128;1.715;4092;1.7165
29.11.2021;10:01:00-000;1.715;1.715;1.705;1.705;3972;1.7099
29.11.2021;10:02:00-000;1.71;1.71;1.71;1.71;1087;1.71
29.11.2021;10:03:00-000;1.7;1.71;1.695;1.705;19097;1.7018
29.11.2021;10:04:00-000;1.705;1.705;1.7;1.7;743;1.7011
29.11.2021;10:05:00-000;1.7;1.7;1.69;1.69;14622;1.6909
29.11.2021;10:06:00-000;1.6901;1.7;1.6901;1.695;9876;1.6964
29.11.2021;10:07:00-000;1.695;1.695;1.695;1.695;254;1.695
29.11.2021;10:09:00-000;1.69;1.69;1.68;1.69;6471;1.6819
29.11.2021;10:10:00-000;1.682;1.69;1.682;1.6893;7477;1.689
29.11.2021;10:11:00-000;1.69;1.69;1.69;1.69;391;1.6893
29.11.2021;10:12:00-000;1.68;1.6811;1.68;1.6811;1980;1.6805
29.11.2021;10:13:00-000;1.69;1.69;1.6817;1.6873;1887;1.6875
29.11.2021;10:14:00-000;1.685;1.685;1.67;1.675;27033;1.6731
29.11.2021;10:15:00-000;1.6784;1.6784;1.6784;1.6784;631;1.6776
29.11.2021;10:16:00-000;1.68;1.68;1.675;1.675;1110;1.6787
29.11.2021;10:19:00-000;1.678;1.678;1.67;1.67;801;1.6732
29.11.2021;10:20:00-000;1.68;1.68;1.6749;1.6752;1167;1.6766
29.11.2021;10:22:00-000;1.675;1.68;1.675;1.68;5140;1.6751
29.11.2021;10:23:00-000;1.675;1.675;1.67;1.67;1912;1.6711
29.11.2021;10:24:00-000;1.675;1.675;1.675;1.675;3180;1.6749
29.11.2021;10:25:00-000;1.67;1.6741;1.67;1.6741;1319;1.6732
29.11.2021;10:26:00-000;1.6737;1.6737;1.6697;1.6697;3589;1.6702
29.11.2021;10:27:00-000;1.6642;1.665;1.66;1.665;6231;1.6636
29.11.2021;10:28:00-000;1.66;1.66;1.655;1.655;12531;1.6598
29.11.2021;10:29:00-000;1.655;1.655;1.655;1.655;1796;1.655
29.11.2021;10:30:00-000;1.6541;1.6596;1.65;1.6596;1450;1.6514
29.11.2021;10:32:00-000;1.655;1.655;1.65;1.6501;1954;1.6509
29.11.2021;10:33:00-000;1.65;1.655;1.65;1.655;12977;1.6502
29.11.2021;10:34:00-000;1.6535;1.66;1.6535;1.66;2843;1.6557
29.11.2021;10:35:00-000;1.66;1.6675;1.66;1.665;3619;1.6605
29.11.2021;10:36:00-000;1.66;1.66;1.66;1.66;401;1.6621
29.11.2021;10:37:00-000;1.66;1.66;1.65;1.65;7360;1.6561
29.11.2021;10:38:00-000;1.64;1.645;1.64;1.645;9844;1.6413
29.11.2021;10:39:00-000;1.645;1.65;1.645;1.65;709;1.6485
29.11.2021;10:40:00-000;1.645;1.645;1.64;1.64;479;1.6436
29.11.2021;10:42:00-000;1.645;1.645;1.64;1.64;1368;1.643
29.11.2021;10:43:00-000;1.6429;1.6429;1.6429;1.6429;153;1.6429
29.11.2021;10:44:00-000;1.65;1.65;1.6461;1.6492;8076;1.6475
29.11.2021;10:45:00-000;1.6468;1.66;1.6468;1.65;9647;1.6544
29.11.2021;10:46:00-000;1.6501;1.6501;1.6501;1.6501;315;1.6503
29.11.2021;10:47:00-000;1.6538;1.655;1.6538;1.655;1216;1.6548
29.11.2021;10:50:00-000;1.657;1.6595;1.6515;1.655;5486;1.6574
29.11.2021;10:52:00-000;1.6547;1.6547;1.6547;1.6547;100;1.6547
29.11.2021;10:55:00-000;1.65;1.65;1.65;1.65;460;1.6502
29.11.2021;10:56:00-000;1.65;1.6501;1.65;1.6501;1934;1.6501
29.11.2021;11:00:00-000;1.6522;1.6522;1.6522;1.6522;102;1.6523
29.11.2021;11:05:00-000;1.6556;1.6556;1.6556;1.6556;103;1.6557
29.11.2021;11:07:00-000;1.65;1.65;1.65;1.65;1419;1.6501
29.11.2021;11:09:00-000;1.655;1.655;1.655;1.655;101;1.655
29.11.2021;11:10:00-000;1.6599;1.6599;1.655;1.655;2195;1.6595
29.11.2021;11:12:00-000;1.66;1.66;1.66;1.66;203;1.66
29.11.2021;11:13:00-000;1.655;1.665;1.655;1.665;6111;1.66
29.11.2021;11:14:00-000;1.665;1.665;1.665;1.665;171;1.6659
29.11.2021;11:15:00-000;1.665;1.665;1.66;1.66;1112;1.6605
29.11.2021;11:16:00-000;1.66;1.66;1.65;1.65;357;1.6535
29.11.2021;11:17:00-000;1.6583;1.6583;1.654;1.654;2300;1.6574
29.11.2021;11:25:00-000;1.65;1.65;1.65;1.65;637;1.6502
29.11.2021;11:26:00-000;1.65;1.6599;1.65;1.6599;1578;1.6523
29.11.2021;11:27:00-000;1.66;1.66;1.66;1.66;110;1.6592
29.11.2021;11:28:00-000;1.6545;1.6545;1.6545;1.6545;103;1.6545
29.11.2021;11:29:00-000;1.65;1.65;1.65;1.65;3607;1.6499
29.11.2021;11:30:00-000;1.641;1.645;1.64;1.645;10108;1.6408
29.11.2021;11:31:00-000;1.645;1.645;1.645;1.645;522;1.645
29.11.2021;11:32:00-000;1.641;1.641;1.641;1.641;2064;1.641
29.11.2021;11:34:00-000;1.6443;1.6443;1.63;1.63;9834;1.6397
29.11.2021;11:35:00-000;1.63;1.6374;1.63;1.6374;1006;1.6347
29.11.2021;11:36:00-000;1.63;1.6303;1.63;1.6303;1175;1.6305
