Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;30.39;30.39;30.39;30.39;3053;30.3904
29.11.2021;09:31:00-000;30.36;30.42;30.36;30.395;765;30.4038
29.11.2021;09:32:00-000;30.37;30.37;30.36;30.36;399;30.3708
29.11.2021;09:33:00-000;30.41;30.41;30.27;30.3;4479;30.3113
29.11.2021;09:34:00-000;30.3;30.3;30.3;30.3;399;30.3
29.11.2021;09:36:00-000;30.31;30.32;30.28;30.29;3883;30.3052
29.11.2021;09:37:00-000;30.3;30.3;30.26;30.27;3414;30.2772
29.11.2021;09:38:00-000;30.27;30.27;30.25;30.25;598;30.2683
29.11.2021;09:39:00-000;30.26;30.27;30.25;30.25;1850;30.2574
29.11.2021;09:40:00-000;30.25;30.25;30.17;30.185;5601;30.1898
29.11.2021;09:41:00-000;30.21;30.21;30.1808;30.21;3138;30.1916
29.11.2021;09:42:00-000;30.2;30.22;30.2;30.2;1703;30.2036
29.11.2021;09:43:00-000;30.19;30.21;30.19;30.19;1409;30.1954
29.11.2021;09:44:00-000;30.16;30.18;30.16;30.16;2074;30.1693
29.11.2021;09:45:00-000;30.13;30.13;30.12;30.12;729;30.1293
29.11.2021;09:46:00-000;30.1;30.1;30.05;30.05;914;30.0836
29.11.2021;09:47:00-000;30.07;30.07;30.07;30.07;300;30.07
29.11.2021;09:48:00-000;30.09;30.1;30.09;30.1;1319;30.0921
29.11.2021;09:49:00-000;30.14;30.14;30.14;30.14;216;30.1479
29.11.2021;09:50:00-000;30.155;30.17;30.155;30.16;406;30.1601
29.11.2021;09:51:00-000;30.165;30.21;30.16;30.21;5570;30.1767
29.11.2021;09:52:00-000;30.25;30.25;30.25;30.25;545;30.2494
29.11.2021;09:54:00-000;30.3;30.3;30.23;30.25;4893;30.2554
29.11.2021;09:55:00-000;30.25;30.25;30.24;30.25;2000;30.249
29.11.2021;09:56:00-000;30.25;30.27;30.25;30.25;2154;30.2548
29.11.2021;09:57:00-000;30.27;30.27;30.24;30.2461;2321;30.2508
29.11.2021;09:58:00-000;30.25;30.25;30.24;30.245;507;30.246
29.11.2021;10:00:00-000;30.23;30.25;30.2;30.23;4429;30.221
29.11.2021;10:01:00-000;30.195;30.21;30.195;30.21;200;30.2025
29.11.2021;10:02:00-000;30.23;30.23;30.2;30.22;7792;30.2117
29.11.2021;10:03:00-000;30.24;30.27;30.22;30.27;6600;30.2433
29.11.2021;10:04:00-000;30.25;30.27;30.23;30.24;4749;30.2421
29.11.2021;10:05:00-000;30.23;30.25;30.23;30.23;2680;30.2423
29.11.2021;10:06:00-000;30.25;30.25;30.25;30.25;243;30.2382
29.11.2021;10:07:00-000;30.24;30.24;30.21;30.21;1023;30.2151
29.11.2021;10:08:00-000;30.19;30.2;30.18;30.18;1660;30.183
29.11.2021;10:09:00-000;30.18;30.19;30.18;30.19;1630;30.2021
29.11.2021;10:11:00-000;30.195;30.195;30.195;30.195;698;30.197
29.11.2021;10:12:00-000;30.19;30.22;30.18;30.22;4581;30.1896
29.11.2021;10:13:00-000;30.2;30.21;30.2;30.21;2345;30.2025
29.11.2021;10:14:00-000;30.21;30.215;30.21;30.215;593;30.2112
29.11.2021;10:15:00-000;30.22;30.23;30.21;30.21;1584;30.2178
29.11.2021;10:16:00-000;30.2;30.2;30.17;30.185;104564;30.2471
29.11.2021;10:17:00-000;30.185;30.185;30.15;30.16;2913;30.1667
29.11.2021;10:18:00-000;30.15;30.17;30.15;30.17;1452;30.1641
29.11.2021;10:19:00-000;30.18;30.18;30.165;30.17;2919;30.1792
29.11.2021;10:20:00-000;30.16;30.16;30.16;30.16;596;30.1624
29.11.2021;10:21:00-000;30.17;30.18;30.15;30.165;10378;30.1655
29.11.2021;10:22:00-000;30.165;30.185;30.145;30.18;7907;30.1618
29.11.2021;10:23:00-000;30.19;30.23;30.19;30.225;2090;30.2019
29.11.2021;10:24:00-000;30.23;30.24;30.22;30.22;4820;30.2341
29.11.2021;10:25:00-000;30.22;30.25;30.22;30.235;5306;30.2408
29.11.2021;10:26:00-000;30.23;30.24;30.21;30.21;1659;30.2217
29.11.2021;10:27:00-000;30.21;30.215;30.16;30.19;2485;30.1962
29.11.2021;10:28:00-000;30.16;30.185;30.16;30.18;7439;30.1651
29.11.2021;10:29:00-000;30.185;30.185;30.185;30.185;1531;30.1856
29.11.2021;10:30:00-000;30.18;30.2;30.18;30.195;4865;30.1884
29.11.2021;10:31:00-000;30.195;30.195;30.13;30.15;9686;30.1667
29.11.2021;10:32:00-000;30.15;30.1725;30.15;30.17;3270;30.1618
29.11.2021;10:33:00-000;30.165;30.165;30.165;30.165;100609;30.1501
29.11.2021;10:34:00-000;30.165;30.18;30.165;30.17;1124;30.1712
29.11.2021;10:35:00-000;30.18;30.19;30.18;30.185;1999;30.1804
29.11.2021;10:36:00-000;30.19;30.2;30.16;30.165;3267;30.1754
29.11.2021;10:37:00-000;30.16;30.16;30.15;30.15;1271;30.1531
29.11.2021;10:38:00-000;30.15;30.2;30.15;30.1675;3266;30.174
29.11.2021;10:39:00-000;30.16;30.18;30.16;30.18;1323;30.1695
29.11.2021;10:40:00-000;30.17;30.18;30.17;30.18;3229;30.1712
29.11.2021;10:41:00-000;30.17;30.18;30.15;30.15;3367;30.1667
29.11.2021;10:42:00-000;30.15;30.15;30.14;30.14;1133;30.1504
29.11.2021;10:43:00-000;30.14;30.15;30.135;30.15;1680;30.1404
29.11.2021;10:44:00-000;30.15;30.165;30.15;30.165;1291;30.1565
29.11.2021;10:45:00-000;30.17;30.21;30.17;30.21;4855;30.1824
29.11.2021;10:46:00-000;30.2;30.21;30.2;30.21;300;30.1923
29.11.2021;10:47:00-000;30.2;30.21;30.19;30.21;20608;30.1903
29.11.2021;10:48:00-000;30.2;30.22;30.2;30.21;6065;30.2111
29.11.2021;10:49:00-000;30.205;30.205;30.18;30.19;2877;30.1932
29.11.2021;10:50:00-000;30.18;30.185;30.18;30.18;895;30.1806
29.11.2021;10:51:00-000;30.1875;30.195;30.18;30.195;1506;30.1876
29.11.2021;10:52:00-000;30.2;30.215;30.2;30.215;979;30.2066
29.11.2021;10:53:00-000;30.21;30.215;30.205;30.21;1895;30.2094
29.11.2021;10:54:00-000;30.205;30.23;30.205;30.225;1741;30.2128
