Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;40.09;40.1;40.09;40.1;2546;40.0978
29.11.2021;09:31:00-000;40.265;40.3801;40.265;40.3801;577;40.3398
29.11.2021;09:35:00-000;40.15;40.15;40.15;40.15;1174;40.1519
29.11.2021;09:36:00-000;40.19;40.19;40.19;40.19;2186;40.1878
29.11.2021;09:37:00-000;40.1119;40.13;40.11;40.125;2059;40.1178
29.11.2021;09:38:00-000;40.08;40.08;40;40;1134;40.0189
29.11.2021;09:39:00-000;39.97;40.04;39.97;40.04;726;39.9829
29.11.2021;09:40:00-000;40.02;40.02;40.02;40.02;500;40.02
29.11.2021;09:41:00-000;40.14;40.14;40.14;40.14;100;40.14
29.11.2021;09:42:00-000;40.14;40.179;40.1019;40.1019;431;40.1402
29.11.2021;09:43:00-000;40.18;40.18;40.18;40.18;300;40.18
29.11.2021;09:44:00-000;40.11;40.11;40.11;40.11;561;40.1189
29.11.2021;09:45:00-000;40.12;40.2199;40.06;40.2199;3200;40.171
29.11.2021;09:46:00-000;40.0501;40.0501;40.0501;40.0501;100;40.0501
29.11.2021;09:50:00-000;40.135;40.135;40.135;40.135;133;40.1233
29.11.2021;09:53:00-000;40.07;40.072;40.06;40.0603;1260;40.0626
29.11.2021;09:55:00-000;40.0672;40.0672;40.0672;40.0672;100;40.0672
29.11.2021;09:57:00-000;40.14;40.14;40.14;40.14;249;40.14
29.11.2021;09:58:00-000;40.1563;40.1563;40.1563;40.1563;202;40.1881
29.11.2021;09:59:00-000;40.2947;40.2947;40.2947;40.2947;134;40.2986
29.11.2021;10:01:00-000;40.21;40.21;40.21;40.21;250;40.234
29.11.2021;10:05:00-000;40.22;40.22;40.22;40.22;113;40.2261
29.11.2021;10:08:00-000;40.2076;40.2076;40.2;40.2;751;40.206
29.11.2021;10:11:00-000;40.06;40.19;40.06;40.19;358;40.1501
29.11.2021;10:15:00-000;40.0601;40.21;40.0601;40.19;359;40.1416
29.11.2021;10:18:00-000;40.12;40.12;40.12;40.12;403;40.1196
29.11.2021;10:20:00-000;40.05;40.06;40.05;40.05;677;40.0539
29.11.2021;10:21:00-000;40.01;40.01;40.01;40.01;225;40.0161
29.11.2021;10:43:00-000;40.06;40.06;40.06;40.06;450;40.06
29.11.2021;10:46:00-000;40.05;40.08;40.05;40.05;1777;40.0586
29.11.2021;10:48:00-000;40.1;40.11;40.1;40.1097;1219;40.1078
29.11.2021;10:51:00-000;40.155;40.19;40.155;40.19;1000;40.183
29.11.2021;10:52:00-000;40.19;40.19;40.1896;40.1896;1110;40.1897
29.11.2021;10:54:00-000;40.19;40.19;40.141;40.141;1183;40.1467
29.11.2021;10:57:00-000;40.19;40.19;40.19;40.19;550;40.1927
29.11.2021;11:01:00-000;40.25;40.25;40.2395;40.25;425;40.2463
29.11.2021;11:03:00-000;40.25;40.29;40.25;40.29;758;40.2839
29.11.2021;11:05:00-000;40.28;40.31;40.2;40.31;1888;40.2839
29.11.2021;11:08:00-000;40.29;40.29;40.29;40.29;130;40.29
29.11.2021;11:10:00-000;40.3;40.3;40.2807;40.2807;1326;40.2904
29.11.2021;11:11:00-000;40.33;40.33;40.33;40.33;190;40.3295
29.11.2021;11:12:00-000;40.33;40.33;40.33;40.33;611;40.3299
29.11.2021;11:13:00-000;40.3599;40.3599;40.359;40.359;546;40.3597
29.11.2021;11:15:00-000;40.2693;40.2693;40.2693;40.2693;100;40.2693
29.11.2021;11:17:00-000;40.2876;40.2876;40.2876;40.2876;1583;40.2898
29.11.2021;11:24:00-000;40.3;40.3;40.3;40.3;600;40.3
29.11.2021;11:28:00-000;40.23;40.23;40.23;40.23;112;40.2332
29.11.2021;11:30:00-000;40.235;40.235;40.235;40.235;125;40.234
29.11.2021;11:34:00-000;40.289;40.289;40.289;40.289;250;40.2892
29.11.2021;11:39:00-000;40.25;40.25;40.25;40.25;327;40.2617
29.11.2021;11:41:00-000;40.3;40.3;40.3;40.3;300;40.3
29.11.2021;11:42:00-000;40.3482;40.3482;40.3482;40.3482;105;40.3461
29.11.2021;11:44:00-000;40.3599;40.3599;40.3599;40.3599;100;40.3599
29.11.2021;11:53:00-000;40.261;40.261;40.261;40.261;133;40.261
29.11.2021;11:56:00-000;40.36;40.36;40.36;40.36;160;40.36
29.11.2021;12:02:00-000;40.342;40.342;40.342;40.342;500;40.342
29.11.2021;12:08:00-000;40.33;40.33;40.33;40.33;162;40.33
29.11.2021;12:10:00-000;40.33;40.33;40.33;40.33;200;40.33
29.11.2021;12:11:00-000;40.351;40.351;40.3001;40.3001;340;40.33
29.11.2021;12:16:00-000;40.345;40.345;40.345;40.345;200;40.345
29.11.2021;12:19:00-000;40.345;40.345;40.345;40.345;255;40.3507
29.11.2021;12:21:00-000;40.31;40.31;40.31;40.31;120;40.3109
29.11.2021;12:22:00-000;40.39;40.39;40.39;40.39;101;40.39
29.11.2021;12:25:00-000;40.39;40.39;40.39;40.39;300;40.39
29.11.2021;12:26:00-000;40.39;40.39;40.39;40.39;328;40.3909
29.11.2021;12:31:00-000;40.4389;40.4389;40.4389;40.4389;136;40.4392
29.11.2021;12:32:00-000;40.4907;40.4907;40.4907;40.4907;307;40.4901
29.11.2021;12:34:00-000;40.445;40.445;40.3988;40.3988;2869;40.402
