Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:11:00-000;7.96;7.96;7.96;7.96;200;7.9545
29.11.2021;08:13:00-000;8.04;8.04;8.04;8.04;150;8.04
29.11.2021;09:30:00-000;7.83;7.91;7.83;7.91;7253;7.8326
29.11.2021;09:31:00-000;7.94;7.94;7.86;7.86;2999;7.9071
29.11.2021;09:32:00-000;7.8366;7.8366;7.8366;7.8366;430;7.8376
29.11.2021;09:33:00-000;7.8;7.84;7.8;7.84;1102;7.8364
29.11.2021;09:35:00-000;7.8;7.805;7.75;7.76;2419;7.7883
29.11.2021;09:36:00-000;7.74;7.74;7.67;7.73;4657;7.7277
29.11.2021;09:37:00-000;7.73;7.74;7.72;7.74;1907;7.7356
29.11.2021;09:38:00-000;7.73;7.73;7.72;7.72;302;7.7267
29.11.2021;09:39:00-000;7.72;7.72;7.68;7.69;10264;7.7111
29.11.2021;09:40:00-000;7.69;7.69;7.62;7.62;1776;7.6643
29.11.2021;09:41:00-000;7.62;7.62;7.62;7.62;1478;7.6239
29.11.2021;09:42:00-000;7.59;7.59;7.59;7.59;306;7.5908
29.11.2021;09:43:00-000;7.59;7.625;7.59;7.62;1866;7.6092
29.11.2021;09:44:00-000;7.59;7.63;7.59;7.6;1300;7.6115
29.11.2021;09:45:00-000;7.59;7.605;7.58;7.605;1014;7.5951
29.11.2021;09:46:00-000;7.59;7.59;7.54;7.56;7627;7.564
29.11.2021;09:47:00-000;7.55;7.59;7.55;7.57;3280;7.5747
29.11.2021;09:49:00-000;7.598;7.598;7.56;7.56;2011;7.5731
29.11.2021;09:50:00-000;7.55;7.57;7.55;7.56;1338;7.5573
29.11.2021;09:51:00-000;7.54;7.54;7.54;7.54;300;7.54
29.11.2021;09:52:00-000;7.54;7.56;7.54;7.56;2553;7.5537
29.11.2021;09:53:00-000;7.56;7.58;7.56;7.58;3056;7.5699
29.11.2021;09:54:00-000;7.59;7.62;7.59;7.62;1333;7.6103
29.11.2021;09:55:00-000;7.63;7.64;7.63;7.635;1325;7.6341
29.11.2021;09:56:00-000;7.64;7.65;7.63;7.65;1136;7.6465
29.11.2021;09:57:00-000;7.66;7.66;7.65;7.65;4158;7.6588
29.11.2021;09:58:00-000;7.62;7.62;7.62;7.62;233;7.6228
29.11.2021;09:59:00-000;7.62;7.62;7.6;7.605;1871;7.6122
29.11.2021;10:00:00-000;7.59;7.59;7.59;7.59;786;7.5919
29.11.2021;10:01:00-000;7.59;7.59;7.57;7.57;2104;7.5853
29.11.2021;10:02:00-000;7.57;7.6284;7.57;7.615;2327;7.6049
29.11.2021;10:03:00-000;7.61;7.61;7.61;7.61;313;7.6044
29.11.2021;10:04:00-000;7.6;7.6;7.54;7.54;9274;7.5719
29.11.2021;10:05:00-000;7.57;7.59;7.56;7.57;2274;7.5744
29.11.2021;10:06:00-000;7.57;7.57;7.56;7.56;779;7.5721
29.11.2021;10:07:00-000;7.55;7.56;7.53;7.53;4623;7.542
29.11.2021;10:08:00-000;7.53;7.53;7.52;7.52;1361;7.5256
29.11.2021;10:09:00-000;7.52;7.53;7.51;7.53;2738;7.5268
29.11.2021;10:10:00-000;7.52;7.52;7.515;7.52;1573;7.5197
29.11.2021;10:11:00-000;7.52;7.52;7.49;7.49;5467;7.5107
29.11.2021;10:12:00-000;7.49;7.49;7.47;7.47;586;7.4829
29.11.2021;10:13:00-000;7.47;7.49;7.46;7.49;5089;7.4757
29.11.2021;10:14:00-000;7.48;7.48;7.47;7.47;950;7.4787
29.11.2021;10:15:00-000;7.47;7.52;7.47;7.5;6060;7.4914
29.11.2021;10:16:00-000;7.49;7.5;7.48;7.48;1235;7.4896
29.11.2021;10:17:00-000;7.485;7.49;7.485;7.49;627;7.4907
29.11.2021;10:18:00-000;7.5;7.52;7.5;7.515;1601;7.5103
29.11.2021;10:19:00-000;7.5;7.5;7.5;7.5;325;7.5051
29.11.2021;10:20:00-000;7.52;7.52;7.51;7.52;1204;7.5175
29.11.2021;10:22:00-000;7.52;7.52;7.51;7.52;1586;7.5181
29.11.2021;10:23:00-000;7.51;7.51;7.49;7.51;2703;7.505
29.11.2021;10:24:00-000;7.52;7.53;7.5;7.53;3996;7.5073
29.11.2021;10:25:00-000;7.53;7.54;7.53;7.54;654;7.5303
29.11.2021;10:26:00-000;7.53;7.53;7.53;7.53;134;7.5315
29.11.2021;10:27:00-000;7.52;7.52;7.49;7.49;2189;7.5044
29.11.2021;10:28:00-000;7.495;7.495;7.48;7.48;200;7.4875
29.11.2021;10:29:00-000;7.48;7.4814;7.48;7.4814;334;7.4833
29.11.2021;10:30:00-000;7.49;7.5;7.46;7.47;3625;7.4756
29.11.2021;10:31:00-000;7.46;7.465;7.44;7.45;3104;7.4576
29.11.2021;10:32:00-000;7.44;7.47;7.44;7.47;1275;7.4676
29.11.2021;10:33:00-000;7.46;7.46;7.45;7.46;2410;7.4554
29.11.2021;10:34:00-000;7.46;7.46;7.45;7.45;1000;7.456
29.11.2021;10:35:00-000;7.47;7.48;7.455;7.46;4280;7.4672
29.11.2021;10:36:00-000;7.46;7.48;7.45;7.475;2007;7.4721
29.11.2021;10:37:00-000;7.47;7.47;7.43;7.43;7286;7.4438
29.11.2021;10:38:00-000;7.42;7.43;7.42;7.42;3407;7.4268
29.11.2021;10:39:00-000;7.42;7.43;7.42;7.43;2034;7.429
29.11.2021;10:40:00-000;7.42;7.42;7.42;7.42;601;7.4362
29.11.2021;10:41:00-000;7.42;7.42;7.42;7.42;759;7.4209
29.11.2021;10:42:00-000;7.42;7.43;7.42;7.43;1418;7.4285
29.11.2021;10:43:00-000;7.44;7.445;7.44;7.445;535;7.4409
29.11.2021;10:44:00-000;7.45;7.45;7.44;7.44;434;7.4471
29.11.2021;10:45:00-000;7.47;7.47;7.47;7.47;901;7.47
29.11.2021;10:46:00-000;7.47;7.47;7.43;7.44;17424;7.4384
29.11.2021;10:47:00-000;7.44;7.45;7.44;7.44;1139;7.4434
29.11.2021;10:48:00-000;7.44;7.44;7.43;7.43;3561;7.4337
29.11.2021;10:49:00-000;7.43;7.4499;7.42;7.42;1096;7.4328
29.11.2021;10:50:00-000;7.41;7.42;7.41;7.41;1303;7.4115
29.11.2021;10:51:00-000;7.41;7.44;7.41;7.43;5460;7.43
29.11.2021;10:52:00-000;7.45;7.45;7.44;7.44;2021;7.4413
29.11.2021;10:53:00-000;7.44;7.44;7.43;7.44;1215;7.4359
29.11.2021;10:54:00-000;7.43;7.43;7.43;7.43;100;7.43
29.11.2021;10:55:00-000;7.45;7.46;7.45;7.46;2591;7.4534
29.11.2021;10:56:00-000;7.4724;7.4724;7.46;7.46;1845;7.462
29.11.2021;10:57:00-000;7.45;7.47;7.45;7.46;1440;7.4571
29.11.2021;10:58:00-000;7.46;7.46;7.44;7.45;1216;7.4547
29.11.2021;10:59:00-000;7.46;7.47;7.46;7.46;1301;7.4661
29.11.2021;11:00:00-000;7.46;7.48;7.46;7.48;2665;7.4777
29.11.2021;11:02:00-000;7.46;7.46;7.46;7.46;509;7.4585
29.11.2021;11:03:00-000;7.48;7.49;7.48;7.48;2554;7.487
29.11.2021;11:04:00-000;7.48;7.49;7.47;7.48;1800;7.4807
29.11.2021;11:05:00-000;7.48;7.48;7.48;7.48;437;7.4802
29.11.2021;11:06:00-000;7.48;7.519;7.48;7.5;3022;7.501
29.11.2021;11:08:00-000;7.5;7.51;7.5;7.5;1828;7.5071
29.11.2021;11:09:00-000;7.52;7.52;7.51;7.51;600;7.5131
29.11.2021;11:10:00-000;7.52;7.52;7.52;7.52;982;7.5163
29.11.2021;11:11:00-000;7.52;7.521;7.52;7.521;702;7.5204
29.11.2021;11:12:00-000;7.53;7.54;7.53;7.54;12405;7.5312
29.11.2021;11:14:00-000;7.53;7.53;7.49;7.49;4114;7.5129
29.11.2021;11:15:00-000;7.49;7.5;7.49;7.5;504;7.496
29.11.2021;11:16:00-000;7.49;7.5;7.49;7.5;1103;7.4973
29.11.2021;11:17:00-000;7.5073;7.51;7.49;7.49;1463;7.5019
29.11.2021;11:18:00-000;7.49;7.5;7.49;7.5;2126;7.4995
29.11.2021;11:19:00-000;7.5;7.5;7.47;7.482;1292;7.4863
29.11.2021;11:20:00-000;7.48;7.5;7.47;7.4926;2569;7.487
29.11.2021;11:21:00-000;7.49;7.5;7.49;7.5;978;7.4959
29.11.2021;11:22:00-000;7.505;7.51;7.505;7.51;527;7.5049
29.11.2021;11:23:00-000;7.51;7.52;7.5;7.5;2192;7.5068
29.11.2021;11:24:00-000;7.49;7.49;7.49;7.49;118;7.49
29.11.2021;11:25:00-000;7.49;7.49;7.49;7.49;390;7.4932
29.11.2021;11:26:00-000;7.5;7.5;7.5;7.5;837;7.5001
29.11.2021;11:27:00-000;7.5;7.5;7.49;7.49;1141;7.4991
29.11.2021;11:28:00-000;7.49;7.49;7.48;7.48;1223;7.4858
29.11.2021;11:29:00-000;7.462;7.47;7.462;7.47;800;7.4831
29.11.2021;11:30:00-000;7.46;7.49;7.46;7.485;3135;7.4744
29.11.2021;11:31:00-000;7.49;7.52;7.475;7.475;2073;7.4942
29.11.2021;11:32:00-000;7.46;7.46;7.46;7.46;184;7.4668
29.11.2021;11:34:00-000;7.46;7.47;7.45;7.46;2804;7.4609
29.11.2021;11:35:00-000;7.46;7.46;7.46;7.46;848;7.4612
29.11.2021;11:36:00-000;7.45;7.46;7.45;7.46;1367;7.454
29.11.2021;11:37:00-000;7.4611;7.4611;7.46;7.46;431;7.4605
29.11.2021;11:38:00-000;7.46;7.46;7.45;7.46;1332;7.4574
29.11.2021;11:39:00-000;7.46;7.48;7.46;7.47;1632;7.4706
29.11.2021;11:40:00-000;7.478;7.49;7.478;7.49;1917;7.4844
29.11.2021;11:42:00-000;7.49;7.49;7.4858;7.4858;1224;7.4886
29.11.2021;11:43:00-000;7.48;7.48;7.48;7.48;310;7.4803
29.11.2021;11:44:00-000;7.48;7.48;7.48;7.48;879;7.48
29.11.2021;11:45:00-000;7.47;7.47;7.47;7.47;2257;7.4703
29.11.2021;11:46:00-000;7.46;7.46;7.46;7.46;213;7.4605
29.11.2021;11:47:00-000;7.47;7.5;7.47;7.49;3774;7.4838
29.11.2021;11:49:00-000;7.49;7.5;7.48;7.48;4501;7.4849
29.11.2021;11:50:00-000;7.48;7.48;7.47;7.47;1244;7.4776
29.11.2021;11:51:00-000;7.48;7.48;7.48;7.48;310;7.4771
29.11.2021;11:52:00-000;7.48;7.49;7.48;7.49;1176;7.4874
29.11.2021;11:53:00-000;7.48;7.48;7.48;7.48;111;7.482
29.11.2021;11:54:00-000;7.5;7.5;7.49;7.49;2516;7.4977
29.11.2021;11:55:00-000;7.49;7.49;7.49;7.49;482;7.4924
29.11.2021;11:56:00-000;7.5;7.5;7.5;7.5;1015;7.5
29.11.2021;11:57:00-000;7.5;7.5;7.48;7.48;1520;7.496
29.11.2021;11:58:00-000;7.49;7.49;7.49;7.49;112;7.4911
29.11.2021;11:59:00-000;7.5;7.51;7.5;7.51;1436;7.5008
29.11.2021;12:00:00-000;7.5;7.5;7.49;7.5;2712;7.4952
29.11.2021;12:01:00-000;7.5;7.5;7.49;7.49;514;7.4964
29.11.2021;12:02:00-000;7.51;7.52;7.5;7.5;1929;7.5093
29.11.2021;12:03:00-000;7.52;7.54;7.515;7.53;8929;7.5341
29.11.2021;12:04:00-000;7.53;7.54;7.52;7.53;9657;7.5388
29.11.2021;12:05:00-000;7.52;7.52;7.51;7.51;658;7.5184
29.11.2021;12:06:00-000;7.5;7.5;7.5;7.5;510;7.5215
29.11.2021;12:07:00-000;7.5;7.5;7.5;7.5;227;7.5017
29.11.2021;12:08:00-000;7.51;7.52;7.51;7.52;2880;7.5189
29.11.2021;12:09:00-000;7.52;7.52;7.52;7.52;114;7.5211
29.11.2021;12:10:00-000;7.52;7.52;7.52;7.52;413;7.5193
29.11.2021;12:11:00-000;7.5211;7.5211;7.51;7.51;314;7.5144
29.11.2021;12:12:00-000;7.51;7.515;7.51;7.515;745;7.5115
29.11.2021;12:13:00-000;7.51;7.51;7.5;7.5;512;7.5083
29.11.2021;12:15:00-000;7.515;7.515;7.5;7.5;811;7.5052
29.11.2021;12:16:00-000;7.5;7.5;7.5;7.5;1739;7.5008
29.11.2021;12:17:00-000;7.5;7.5;7.49;7.49;3340;7.4993
