Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;17.61;17.61;17.61;17.61;236;17.61
29.11.2021;09:34:00-000;17.5815;17.5815;17.5815;17.5815;142;17.5899
29.11.2021;10:44:00-000;17.5;17.5;17.5;17.5;156;17.4996
29.11.2021;10:46:00-000;17.43;17.4336;17.43;17.4336;686;17.4331
29.11.2021;11:10:00-000;17.41;17.41;17.41;17.41;193;17.41
29.11.2021;12:12:00-000;17.37;17.48;17.32;17.48;2574;17.369
29.11.2021;12:14:00-000;17.4;17.4;17.4;17.4;300;17.4
29.11.2021;12:15:00-000;17.16;17.16;17.16;17.16;144;17.1936
29.11.2021;12:16:00-000;17.1825;17.26;17.1825;17.24;2792;17.2007
29.11.2021;13:01:00-000;16.9;16.9;16.9;16.9;129;16.9392
29.11.2021;13:06:00-000;17.19;17.2294;17.19;17.2294;252;17.2128
29.11.2021;13:45:00-000;16.953;17.23;16.95;17.23;2321;16.9788
29.11.2021;14:18:00-000;17.14;17.15;17.14;17.15;2506;17.1456
29.11.2021;14:19:00-000;17;17.15;17;17.15;201;17.0754
29.11.2021;14:34:00-000;17.14;17.14;17.14;17.14;100;17.14
29.11.2021;15:03:00-000;17.15;17.23;17.15;17.23;1803;17.1882
29.11.2021;15:16:00-000;17.3;17.45;17.3;17.45;254;17.3606
29.11.2021;15:24:00-000;17.49;17.49;17.45;17.45;244;17.4664
29.11.2021;15:53:00-000;17.4;17.4;17.4;17.4;150;17.3433
