Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;10:49:00-000;52.465;52.465;52.465;52.465;330;52.465
29.11.2021;11:41:00-000;51.79;51.79;51.79;51.79;300;51.79
29.11.2021;11:49:00-000;51.79;51.79;51.79;51.79;367;51.79
29.11.2021;12:15:00-000;52.049;52.049;52.049;52.049;147;52.049
29.11.2021;12:28:00-000;51.98;51.98;51.98;51.98;175;51.98
29.11.2021;12:53:00-000;52.09;52.09;52.09;52.09;102;52.09
29.11.2021;13:25:00-000;52.18;52.18;52.1566;52.1566;1920;52.159
29.11.2021;15:04:00-000;52.145;52.145;52.145;52.145;100;52.145
29.11.2021;15:42:00-000;52.2199;52.2199;52.2199;52.2199;479;52.2199
29.11.2021;15:47:00-000;52.21;52.21;52.21;52.21;102;52.2078
29.11.2021;15:50:00-000;52.11;52.11;52.09;52.09;704;52.0957
29.11.2021;16:15:00-000;52.0564;52.0564;52.0564;52.0564;0;0
