Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;05:39:00-000;16.2;16.2;16.2;16.2;806;16.2
29.11.2021;06:18:00-000;16.26;16.26;16.26;16.26;155;16.221
29.11.2021;07:00:00-000;16.05;16.05;16.05;16.05;258;16.0909
29.11.2021;08:00:00-000;16.25;16.32;16.12;16.32;6078;16.2447
29.11.2021;08:02:00-000;16.15;16.15;16.15;16.15;1000;16.15
29.11.2021;08:10:00-000;16.15;16.15;16.15;16.15;100;16.15
29.11.2021;08:31:00-000;16.17;16.17;16.17;16.17;181;16.1655
29.11.2021;08:41:00-000;16.28;16.28;16.28;16.28;185;16.28
29.11.2021;08:45:00-000;16.15;16.15;16.15;16.15;500;16.15
29.11.2021;08:46:00-000;16.15;16.15;16.15;16.15;505;16.1513
29.11.2021;08:47:00-000;16.15;16.15;16.15;16.15;2000;16.15
29.11.2021;08:53:00-000;16.16;16.16;16.16;16.16;2010;16.16
29.11.2021;08:57:00-000;16.17;16.17;16.17;16.17;399;16.168
29.11.2021;08:58:00-000;16.16;16.16;16.16;16.16;173;16.1587
29.11.2021;09:19:00-000;16.27;16.27;16.27;16.27;736;16.2701
29.11.2021;09:21:00-000;16.16;16.16;16.15;16.15;1018;16.1543
29.11.2021;09:22:00-000;16.13;16.15;16.13;16.15;713;16.1332
29.11.2021;09:28:00-000;16.12;16.12;16.12;16.12;618;16.1212
29.11.2021;09:30:00-000;16.1;16.2;16.05;16.125;76348;16.1086
29.11.2021;09:31:00-000;16.125;16.2;16.0757;16.18;18754;16.1312
29.11.2021;09:32:00-000;16.13;16.5;16.1;16.41;58812;16.3226
29.11.2021;09:33:00-000;16.415;16.47;16.26;16.27;16705;16.3428
29.11.2021;09:34:00-000;16.23;16.39;16.23;16.29;7682;16.3214
29.11.2021;09:35:00-000;16.29;16.39;15.98;15.98;26930;16.1441
29.11.2021;09:36:00-000;15.98;16.13;15.98;16.06;17338;16.0455
29.11.2021;09:37:00-000;16.05;16.12;16.001;16.069;10779;16.0694
29.11.2021;09:38:00-000;16.0402;16.34;16.0402;16.29;15114;16.1944
29.11.2021;09:39:00-000;16.3;16.46;16.2526;16.45;19264;16.3654
29.11.2021;09:40:00-000;16.47;16.54;16.45;16.52;27027;16.508
29.11.2021;09:41:00-000;16.52;16.55;16.49;16.53;13148;16.5245
29.11.2021;09:42:00-000;16.54;16.54;16.32;16.4307;20947;16.3884
29.11.2021;09:43:00-000;16.42;16.4505;16.4;16.415;6077;16.4328
29.11.2021;09:44:00-000;16.44;16.45;16.37;16.38;7255;16.3961
29.11.2021;09:45:00-000;16.41;16.43;16.35;16.395;7866;16.3919
29.11.2021;09:46:00-000;16.43;16.43;16.28;16.335;17965;16.3569
29.11.2021;09:47:00-000;16.335;16.35;16.14;16.165;8758;16.2493
29.11.2021;09:48:00-000;16.17;16.17;16;16.01;23219;16.0754
