Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;57.83;57.83;57.83;57.83;489;57.8323
29.11.2021;09:43:00-000;57.695;57.695;57.695;57.695;200;57.695
29.11.2021;10:00:00-000;57.73;57.74;57.73;57.74;400;57.7325
29.11.2021;10:34:00-000;57.7;57.7;57.7;57.7;175;57.7
29.11.2021;10:41:00-000;57.52;57.52;57.48;57.48;700;57.5071
29.11.2021;10:44:00-000;57.53;57.53;57.53;57.53;100;57.53
29.11.2021;10:48:00-000;57.5699;57.5699;57.5699;57.5699;180;57.5699
29.11.2021;10:59:00-000;57.59;57.59;57.59;57.59;943;57.59
29.11.2021;11:29:00-000;57.67;57.67;57.67;57.67;100;57.67
29.11.2021;11:31:00-000;57.745;57.745;57.745;57.745;106;57.745
29.11.2021;12:00:00-000;57.835;57.835;57.835;57.835;201;57.835
29.11.2021;13:16:00-000;58.04;58.04;58.04;58.04;7500;58.04
29.11.2021;13:17:00-000;58.04;58.04;58;58;29775;58.0059
29.11.2021;13:30:00-000;58.05;58.05;58.05;58.05;100;58.05
29.11.2021;13:41:00-000;58.02;58.02;58.01;58.01;200;58.015
29.11.2021;13:42:00-000;58.02;58.02;58.02;58.02;100;58.02
29.11.2021;13:43:00-000;58.01;58.01;58.01;58.01;100;58.01
29.11.2021;13:44:00-000;58.02;58.02;58.02;58.02;100;58.02
29.11.2021;13:45:00-000;58.01;58.01;58.01;58.01;100;58.01
29.11.2021;13:46:00-000;58.02;58.02;58.02;58.02;100;58.02
29.11.2021;13:47:00-000;58.03;58.03;58.03;58.03;115;58.0256
29.11.2021;13:48:00-000;58.04;58.04;58.04;58.04;100;58.04
29.11.2021;13:49:00-000;58.04;58.04;58.04;58.04;100;58.04
29.11.2021;13:50:00-000;58.04;58.04;58.04;58.04;100;58.04
29.11.2021;13:51:00-000;58.02;58.02;58.02;58.02;100;58.02
29.11.2021;13:52:00-000;58.02;58.02;58.02;58.02;100;58.02
29.11.2021;13:53:00-000;58.03;58.03;58.03;58.03;100;58.03
29.11.2021;13:55:00-000;58.04;58.04;58.04;58.04;100;58.04
29.11.2021;13:56:00-000;58.05;58.05;58.05;58.05;100;58.05
29.11.2021;13:57:00-000;58.05;58.05;58.05;58.05;100;58.05
29.11.2021;13:58:00-000;58.08;58.08;58.08;58.08;100;58.08
29.11.2021;13:59:00-000;58.07;58.07;58.07;58.07;100;58.07
29.11.2021;14:00:00-000;58.06;58.06;58.06;58.06;100;58.06
29.11.2021;14:01:00-000;58.05;58.05;58.05;58.05;100;58.05
29.11.2021;14:02:00-000;58.05;58.05;58.05;58.05;100;58.05
29.11.2021;14:03:00-000;58.04;58.04;58.04;58.04;600;58.04
29.11.2021;14:04:00-000;58.04;58.04;58.04;58.04;101;58.0402
29.11.2021;14:08:00-000;58.04;58.045;58.04;58.04;1100;58.0405
29.11.2021;14:10:00-000;58.04;58.04;58.04;58.04;500;58.04
29.11.2021;14:16:00-000;58.05;58.05;58.05;58.05;100;58.05
29.11.2021;14:17:00-000;58.04;58.04;58.04;58.04;708;58.0399
29.11.2021;14:25:00-000;58.04;58.04;58.04;58.04;100;58.04
