Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:33:00-000;9.78;9.78;9.78;9.78;200;9.78
29.11.2021;09:35:00-000;9.78;9.78;9.78;9.78;399;9.78
29.11.2021;09:36:00-000;9.78;9.78;9.7739;9.7739;1200;9.779
29.11.2021;09:42:00-000;9.75;9.75;9.75;9.75;110;9.75
29.11.2021;09:49:00-000;9.75;9.75;9.75;9.75;200;9.75
29.11.2021;09:50:00-000;9.75;9.75;9.75;9.75;213;9.75
29.11.2021;09:51:00-000;9.75;9.75;9.75;9.75;200;9.75
29.11.2021;09:52:00-000;9.75;9.75;9.7427;9.7427;200;9.7464
29.11.2021;09:59:00-000;9.75;9.75;9.75;9.75;812;9.75
29.11.2021;10:00:00-000;9.73;9.73;9.73;9.73;1503;9.73
29.11.2021;10:34:00-000;9.76;9.76;9.76;9.76;165;9.76
29.11.2021;11:46:00-000;9.71;9.76;9.71;9.76;1100;9.7145
29.11.2021;13:25:00-000;9.73;9.73;9.73;9.73;400;9.73
29.11.2021;15:12:00-000;9.74;9.74;9.74;9.74;200;9.74
