Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:41:00-000;183.68;183.68;183.68;183.68;120;183.68
29.11.2021;09:13:00-000;184.27;184.27;184.27;184.27;154;184.27
29.11.2021;09:29:00-000;183.68;183.68;183.68;183.68;255;183.711
29.11.2021;09:30:00-000;183.5;183.5;182.92;183.05;50861;183.458
29.11.2021;09:31:00-000;182.915;183.08;182;182.47;3102;182.298
29.11.2021;09:32:00-000;182.13;182.152;181.8;182.049;5637;182.066
29.11.2021;09:33:00-000;182.42;182.55;182.34;182.55;2339;182.501
29.11.2021;09:34:00-000;182.52;183.03;182.52;183.03;1248;182.674
29.11.2021;09:35:00-000;183.26;183.39;183.13;183.175;3478;183.248
29.11.2021;09:36:00-000;183.36;183.39;183.35;183.35;567;183.325
29.11.2021;09:37:00-000;183.34;183.5;183.27;183.37;9978;183.448
29.11.2021;09:38:00-000;183.5;183.5;183.38;183.5;45627;183.494
29.11.2021;09:39:00-000;183.5;183.75;183.39;183.75;26692;183.491
29.11.2021;09:40:00-000;184.02;184.02;183.79;183.79;2438;183.831
29.11.2021;09:41:00-000;183.89;184.2;183.89;184.197;966;184.03
29.11.2021;09:42:00-000;184.08;184.09;183.89;183.96;2399;184.023
29.11.2021;09:43:00-000;184.06;184.37;184.06;184.285;2697;184.241
29.11.2021;09:44:00-000;184.24;184.28;184.15;184.15;4061;184.199
29.11.2021;09:45:00-000;184.09;184.25;184.02;184.12;4144;184.14
29.11.2021;09:46:00-000;184.14;184.16;183.97;184.12;1689;184.091
29.11.2021;09:47:00-000;184.12;184.27;184.12;184.27;2173;184.184
29.11.2021;09:48:00-000;184.09;184.29;184.076;184.26;4707;184.156
29.11.2021;09:49:00-000;184.24;184.24;183.84;183.84;4207;184.017
29.11.2021;09:50:00-000;183.97;184.08;183.87;183.87;3769;183.984
29.11.2021;09:51:00-000;183.845;184.065;183.845;184.065;549;183.981
29.11.2021;09:52:00-000;183.98;184.32;183.96;184.24;4092;184.083
29.11.2021;09:53:00-000;184.13;184.13;183.7;184.06;3214;183.928
29.11.2021;09:54:00-000;183.88;183.9;183.66;183.84;2166;183.805
29.11.2021;09:55:00-000;183.86;184.1;183.86;183.92;2269;183.958
