Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;10.07;10.07;10.07;10.07;332;10.07
29.11.2021;09:39:00-000;10.0999;10.0999;10.0999;10.0999;600;10.0999
29.11.2021;09:48:00-000;10.0713;10.0713;10.0713;10.0713;100;10.0713
29.11.2021;09:59:00-000;10.0828;10.0828;10.0828;10.0828;800;10.0828
29.11.2021;10:06:00-000;10.07;10.07;10.07;10.07;400;10.07
29.11.2021;10:43:00-000;10.07;10.07;10.07;10.07;2000;10.07
29.11.2021;10:54:00-000;10.075;10.075;10.075;10.075;650;10.075
29.11.2021;10:55:00-000;10.08;10.08;10.08;10.08;200;10.08
29.11.2021;11:28:00-000;10.0891;10.0891;10.0891;10.0891;220;10.0883
29.11.2021;12:51:00-000;10.08;10.085;10.08;10.085;1100;10.0815
29.11.2021;13:48:00-000;10.09;10.09;10.09;10.09;200;10.09
29.11.2021;14:06:00-000;10.08;10.08;10.08;10.08;198;10.0849
29.11.2021;14:07:00-000;10.09;10.09;10.09;10.09;200;10.09
29.11.2021;14:10:00-000;10.09;10.09;10.09;10.09;199;10.09
29.11.2021;14:52:00-000;10.08;10.08;10.08;10.08;1200;10.08
29.11.2021;15:48:00-000;10.08;10.08;10.08;10.08;100;10.08
29.11.2021;15:58:00-000;10.08;10.08;10.07;10.07;1664;10.0797
29.11.2021;16:10:00-000;10.07;10.07;10.07;10.07;0;0
29.11.2021;18:30:00-000;10.07;10.07;10.07;10.07;0;0
29.11.2021;19:00:00-000;10.07;10.07;10.07;10.07;0;0
