Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:11:00-000;4.99;4.99;4.99;4.99;2500;4.99
29.11.2021;09:13:00-000;4.99;4.99;4.99;4.99;2500;4.99
29.11.2021;09:30:00-000;4.97;4.99;4.97;4.99;1835;4.9872
29.11.2021;09:31:00-000;4.99;4.994;4.95;4.95;2342;4.969
29.11.2021;09:34:00-000;4.96;4.96;4.96;4.96;100;4.96
29.11.2021;09:35:00-000;4.9556;4.9556;4.95;4.95;568;4.951
29.11.2021;09:36:00-000;4.94;4.94;4.92;4.93;2127;4.9309
29.11.2021;09:39:00-000;4.92;4.93;4.91;4.91;705;4.9258
29.11.2021;09:45:00-000;4.91;4.92;4.9;4.92;3841;4.9034
29.11.2021;09:46:00-000;4.91;4.91;4.9;4.9;539;4.9015
29.11.2021;09:50:00-000;4.91;4.91;4.89;4.89;1876;4.8912
29.11.2021;09:51:00-000;4.89;4.89;4.89;4.89;294;4.89
29.11.2021;09:54:00-000;4.91;4.93;4.91;4.93;663;4.9255
29.11.2021;09:56:00-000;4.92;4.95;4.92;4.95;421;4.9378
29.11.2021;09:57:00-000;4.94;4.94;4.94;4.94;1023;4.9391
29.11.2021;09:58:00-000;4.93;4.93;4.93;4.93;308;4.93
29.11.2021;10:00:00-000;4.94;4.96;4.94;4.96;1306;4.9554
29.11.2021;10:01:00-000;4.95;4.95;4.935;4.935;4902;4.9466
29.11.2021;10:04:00-000;4.92;4.92;4.915;4.915;782;4.9151
29.11.2021;10:06:00-000;4.93;4.94;4.93;4.94;616;4.9381
29.11.2021;10:07:00-000;4.925;4.925;4.925;4.925;2134;4.925
29.11.2021;10:12:00-000;4.9;4.91;4.9;4.91;811;4.9043
29.11.2021;10:18:00-000;4.9;4.91;4.9;4.91;504;4.908
29.11.2021;10:21:00-000;4.91;4.91;4.895;4.895;1527;4.9052
29.11.2021;10:23:00-000;4.89;4.89;4.89;4.89;836;4.89
29.11.2021;10:26:00-000;4.87;4.87;4.86;4.86;573;4.8652
29.11.2021;10:27:00-000;4.85;4.85;4.83;4.83;1244;4.8457
29.11.2021;10:28:00-000;4.83;4.83;4.83;4.83;144;4.8302
29.11.2021;10:29:00-000;4.83;4.85;4.83;4.85;1572;4.8455
29.11.2021;10:33:00-000;4.835;4.835;4.835;4.835;107;4.8341
29.11.2021;10:35:00-000;4.84;4.84;4.84;4.84;106;4.8395
29.11.2021;10:36:00-000;4.82;4.82;4.82;4.82;110;4.821
29.11.2021;10:37:00-000;4.82;4.83;4.82;4.825;8250;4.8228
29.11.2021;10:38:00-000;4.83;4.83;4.83;4.83;226;4.8304
29.11.2021;10:40:00-000;4.83;4.83;4.83;4.83;101;4.83
29.11.2021;10:41:00-000;4.825;4.825;4.825;4.825;405;4.8249
29.11.2021;10:44:00-000;4.82;4.82;4.82;4.82;222;4.8252
29.11.2021;10:48:00-000;4.84;4.85;4.84;4.84;772;4.8441
29.11.2021;10:51:00-000;4.84;4.84;4.83;4.83;3157;4.8392
29.11.2021;10:58:00-000;4.83;4.83;4.83;4.83;919;4.8314
29.11.2021;11:00:00-000;4.83;4.83;4.83;4.83;104;4.83
29.11.2021;11:06:00-000;4.836;4.84;4.836;4.84;2359;4.8383
29.11.2021;11:07:00-000;4.84;4.84;4.84;4.84;246;4.84
29.11.2021;11:14:00-000;4.8473;4.89;4.8473;4.89;18191;4.8741
29.11.2021;11:15:00-000;4.89;4.89;4.88;4.88;5241;4.8819
29.11.2021;11:16:00-000;4.88;4.88;4.88;4.88;100;4.88
29.11.2021;11:19:00-000;4.86;4.87;4.86;4.86;407;4.8624
29.11.2021;11:25:00-000;4.84;4.84;4.84;4.84;106;4.8394
29.11.2021;11:26:00-000;4.83;4.83;4.83;4.83;301;4.8301
