Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;3.52;3.52;3.52;3.52;596;3.5199
29.11.2021;09:35:00-000;3.3579;3.3579;3.3579;3.3579;1388;3.3579
29.11.2021;09:36:00-000;3.38;3.38;3.38;3.38;120;3.3935
29.11.2021;09:44:00-000;3.4815;3.4815;3.4815;3.4815;500;3.4815
29.11.2021;09:45:00-000;3.4645;3.4645;3.41;3.41;477;3.4532
29.11.2021;09:54:00-000;3.4056;3.4056;3.405;3.405;1703;3.4055
29.11.2021;10:00:00-000;3.445;3.445;3.445;3.445;300;3.445
29.11.2021;10:01:00-000;3.42;3.42;3.42;3.42;200;3.4423
29.11.2021;10:04:00-000;3.4899;3.4899;3.4899;3.4899;1500;3.4899
29.11.2021;10:05:00-000;3.42;3.42;3.39;3.39;2044;3.4133
29.11.2021;10:12:00-000;3.4028;3.4028;3.35;3.351;950;3.3782
29.11.2021;10:20:00-000;3.3408;3.3408;3.3408;3.3408;700;3.3408
29.11.2021;10:29:00-000;3.375;3.375;3.375;3.375;125;3.375
29.11.2021;10:30:00-000;3.375;3.375;3.375;3.375;102;3.375
29.11.2021;10:36:00-000;3.404;3.404;3.404;3.404;500;3.404
29.11.2021;10:40:00-000;3.41;3.41;3.41;3.41;100;3.41
29.11.2021;10:42:00-000;3.35;3.35;3.35;3.35;214;3.3521
29.11.2021;10:48:00-000;3.345;3.345;3.345;3.345;111;3.345
29.11.2021;10:51:00-000;3.34;3.34;3.34;3.34;100;3.34
29.11.2021;11:00:00-000;3.4;3.4;3.37;3.37;1816;3.3783
29.11.2021;11:12:00-000;3.3416;3.3416;3.3416;3.3416;1092;3.3423
29.11.2021;11:14:00-000;3.384;3.384;3.35;3.35;795;3.3607
29.11.2021;11:21:00-000;3.35;3.35;3.35;3.35;100;3.35
29.11.2021;11:22:00-000;3.38;3.38;3.38;3.38;100;3.38
29.11.2021;11:32:00-000;3.3798;3.3798;3.365;3.37;450;3.3743
29.11.2021;11:39:00-000;3.37;3.37;3.37;3.37;100;3.37
29.11.2021;11:42:00-000;3.37;3.37;3.37;3.37;100;3.37
29.11.2021;11:49:00-000;3.3681;3.3681;3.3681;3.3681;510;3.3677
29.11.2021;11:52:00-000;3.37;3.37;3.35;3.35;1128;3.3677
29.11.2021;11:55:00-000;3.35;3.35;3.35;3.35;100;3.35
29.11.2021;12:00:00-000;3.37;3.37;3.37;3.37;200;3.37
29.11.2021;12:11:00-000;3.3501;3.3501;3.3501;3.3501;239;3.3501
29.11.2021;12:20:00-000;3.37;3.37;3.37;3.37;112;3.37
29.11.2021;12:21:00-000;3.36;3.36;3.36;3.36;100;3.36
29.11.2021;12:35:00-000;3.35;3.35;3.35;3.35;142;3.3544
29.11.2021;12:40:00-000;3.38;3.38;3.36;3.36;3503;3.3773
29.11.2021;12:51:00-000;3.4;3.4;3.4;3.4;2086;3.399
29.11.2021;12:53:00-000;3.39;3.395;3.39;3.395;200;3.3925
29.11.2021;13:04:00-000;3.38;3.38;3.38;3.38;500;3.38
29.11.2021;13:05:00-000;3.38;3.38;3.38;3.38;270;3.38
29.11.2021;13:35:00-000;3.3539;3.3539;3.3539;3.3539;1396;3.354
