Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:16:00-000;21;21;21;21;1000;21
29.11.2021;09:30:00-000;21.19;21.23;21.19;21.2;3791;21.2243
29.11.2021;09:31:00-000;21.2;21.2;20.95;20.95;4743;21.0919
29.11.2021;09:32:00-000;20.85;20.85;20.84;20.84;276;20.8464
29.11.2021;09:35:00-000;20.9;20.9;20.7;20.7;6978;20.8043
29.11.2021;09:36:00-000;20.81;20.87;20.78;20.85;924;20.843
29.11.2021;09:37:00-000;20.955;21.03;20.955;21.03;203;20.9911
29.11.2021;09:39:00-000;20.902;20.902;20.902;20.902;1018;20.9033
29.11.2021;09:42:00-000;20.82;20.9;20.82;20.9;902;20.884
29.11.2021;09:43:00-000;20.9;20.9;20.9;20.9;200;20.9
29.11.2021;09:44:00-000;20.9578;21.035;20.9578;21.0325;1566;20.9767
29.11.2021;09:45:00-000;20.9517;20.9517;20.88;20.88;226;20.9203
29.11.2021;09:46:00-000;20.87;20.88;20.865;20.88;1430;20.8668
29.11.2021;09:47:00-000;20.89;20.89;20.87;20.87;735;20.8849
29.11.2021;09:48:00-000;20.91;20.91;20.91;20.91;293;20.9046
29.11.2021;09:50:00-000;20.99;21.01;20.99;21.01;297;21.002
29.11.2021;09:57:00-000;20.9;20.9;20.88;20.88;510;20.8888
29.11.2021;09:58:00-000;20.88;20.88;20.88;20.88;104;20.88
29.11.2021;09:59:00-000;20.88;20.88;20.88;20.88;107;20.8808
29.11.2021;10:00:00-000;20.89;20.93;20.87;20.91;1810;20.913
29.11.2021;10:01:00-000;20.91;20.91;20.785;20.785;1395;20.8655
29.11.2021;10:02:00-000;20.82;20.83;20.765;20.765;1627;20.8208
29.11.2021;10:03:00-000;20.7935;20.7935;20.7687;20.7687;300;20.7852
29.11.2021;10:06:00-000;20.8;20.81;20.8;20.8;786;20.8022
29.11.2021;10:07:00-000;20.75;20.75;20.73;20.73;1242;20.741
29.11.2021;10:08:00-000;20.77;20.77;20.77;20.77;105;20.7681
29.11.2021;10:09:00-000;20.775;20.775;20.775;20.775;105;20.7738
29.11.2021;10:11:00-000;20.74;20.79;20.73;20.73;1445;20.7701
29.11.2021;10:12:00-000;20.715;20.7576;20.715;20.7576;352;20.7327
29.11.2021;10:15:00-000;20.735;20.735;20.735;20.735;102;20.7353
29.11.2021;10:16:00-000;20.735;20.735;20.64;20.64;1366;20.6923
29.11.2021;10:17:00-000;20.61;20.61;20.61;20.61;100;20.61
29.11.2021;10:18:00-000;20.7;20.7;20.7;20.7;662;20.6987
29.11.2021;10:19:00-000;20.68;20.68;20.68;20.68;143;20.6911
29.11.2021;10:21:00-000;20.7259;20.7259;20.7259;20.7259;256;20.7262
29.11.2021;10:22:00-000;20.7;20.7;20.7;20.7;314;20.7004
29.11.2021;10:24:00-000;20.69;20.69;20.69;20.69;724;20.6868
29.11.2021;10:25:00-000;20.65;20.65;20.65;20.65;689;20.6535
29.11.2021;10:26:00-000;20.65;20.65;20.65;20.65;122;20.6464
29.11.2021;10:27:00-000;20.61;20.61;20.54;20.54;1590;20.584
29.11.2021;10:28:00-000;20.51;20.51;20.51;20.51;206;20.5101
29.11.2021;10:29:00-000;20.57;20.57;20.57;20.57;311;20.5679
29.11.2021;10:31:00-000;20.51;20.51;20.51;20.51;100;20.51
29.11.2021;10:34:00-000;20.54;20.57;20.54;20.57;929;20.5665
29.11.2021;10:35:00-000;20.57;20.57;20.56;20.56;392;20.5697
29.11.2021;10:36:00-000;20.54;20.5418;20.51;20.53;2015;20.53
29.11.2021;10:37:00-000;20.5;20.5;20.48;20.48;1149;20.4916
29.11.2021;10:41:00-000;20.46;20.46;20.42;20.44;695;20.4495
29.11.2021;10:42:00-000;20.46;20.47;20.43;20.43;735;20.4501
29.11.2021;10:44:00-000;20.47;20.47;20.47;20.47;1316;20.468
29.11.2021;10:46:00-000;20.5;20.5;20.47;20.47;601;20.4922
29.11.2021;10:50:00-000;20.44;20.44;20.41;20.41;1153;20.4286
29.11.2021;10:52:00-000;20.44;20.44;20.44;20.44;327;20.4403
29.11.2021;10:53:00-000;20.47;20.47;20.45;20.47;1018;20.4663
29.11.2021;10:55:00-000;20.44;20.44;20.43;20.43;378;20.4394
29.11.2021;10:56:00-000;20.48;20.48;20.48;20.48;752;20.4815
29.11.2021;10:58:00-000;20.493;20.493;20.47;20.47;710;20.493
29.11.2021;11:00:00-000;20.52;20.52;20.52;20.52;608;20.5203
29.11.2021;11:01:00-000;20.58;20.58;20.58;20.58;346;20.5731
29.11.2021;11:04:00-000;20.575;20.6;20.575;20.6;327;20.5989
29.11.2021;11:06:00-000;20.625;20.625;20.625;20.625;233;20.6211
29.11.2021;11:08:00-000;20.6;20.6;20.6;20.6;113;20.6029
29.11.2021;11:12:00-000;20.61;20.62;20.61;20.62;335;20.6133
29.11.2021;11:13:00-000;20.62;20.62;20.62;20.62;408;20.6118
29.11.2021;11:14:00-000;20.6;20.6;20.59;20.59;887;20.5949
29.11.2021;11:15:00-000;20.62;20.62;20.6;20.61;1867;20.6155
29.11.2021;11:16:00-000;20.6;20.62;20.6;20.6195;1547;20.6171
29.11.2021;11:17:00-000;20.62;20.62;20.6;20.6;257;20.6081
29.11.2021;11:19:00-000;20.61;20.61;20.61;20.61;100;20.61
29.11.2021;11:21:00-000;20.63;20.64;20.62;20.62;944;20.6255
29.11.2021;11:22:00-000;20.625;20.625;20.625;20.625;113;20.6249
29.11.2021;11:23:00-000;20.6;20.6;20.6;20.6;102;20.6008
29.11.2021;11:25:00-000;20.6;20.6;20.6;20.6;158;20.6009
29.11.2021;11:26:00-000;20.6259;20.6259;20.625;20.625;623;20.6251
29.11.2021;11:27:00-000;20.6499;20.65;20.6499;20.65;205;20.6492
29.11.2021;11:28:00-000;20.62;20.62;20.62;20.62;314;20.6199
29.11.2021;11:30:00-000;20.5939;20.615;20.5939;20.615;1735;20.5989
29.11.2021;11:31:00-000;20.615;20.625;20.59;20.625;2052;20.5963
29.11.2021;11:32:00-000;20.5503;20.5503;20.51;20.51;340;20.5339
29.11.2021;11:33:00-000;20.5152;20.5152;20.5;20.5;447;20.5067
29.11.2021;11:35:00-000;20.495;20.495;20.495;20.495;420;20.4957
29.11.2021;11:40:00-000;20.45;20.49;20.45;20.49;1752;20.4865
29.11.2021;11:42:00-000;20.52;20.52;20.5;20.5;1207;20.5139
29.11.2021;11:43:00-000;20.5;20.5;20.5;20.5;100;20.5
29.11.2021;11:48:00-000;20.51;20.52;20.51;20.515;1729;20.5134
29.11.2021;11:55:00-000;20.52;20.55;20.52;20.55;218;20.5344
29.11.2021;11:57:00-000;20.5355;20.5355;20.5355;20.5355;229;20.5348
29.11.2021;12:06:00-000;20.54;20.54;20.5;20.5;1154;20.5129
29.11.2021;12:08:00-000;20.505;20.505;20.505;20.505;200;20.4975
29.11.2021;12:11:00-000;20.5;20.5;20.5;20.5;470;20.5001
29.11.2021;12:12:00-000;20.5;20.5;20.5;20.5;403;20.5
29.11.2021;12:13:00-000;20.5;20.535;20.5;20.535;2042;20.521
29.11.2021;12:16:00-000;20.52;20.52;20.52;20.52;100;20.52
29.11.2021;12:18:00-000;20.51;20.51;20.51;20.51;200;20.51
29.11.2021;12:21:00-000;20.5179;20.5179;20.5179;20.5179;145;20.5186
29.11.2021;12:22:00-000;20.519;20.519;20.519;20.519;435;20.5292
29.11.2021;12:23:00-000;20.525;20.525;20.525;20.525;336;20.5235
29.11.2021;12:24:00-000;20.5171;20.5171;20.5171;20.5171;349;20.5155
29.11.2021;12:25:00-000;20.53;20.53;20.53;20.53;104;20.5292
29.11.2021;12:28:00-000;20.52;20.55;20.52;20.55;1540;20.5415
29.11.2021;12:32:00-000;20.56;20.56;20.55;20.55;1543;20.5595
29.11.2021;12:33:00-000;20.5798;20.5798;20.5798;20.5798;304;20.5733
29.11.2021;12:34:00-000;20.57;20.57;20.57;20.57;1154;20.5685
29.11.2021;12:35:00-000;20.57;20.57;20.57;20.57;122;20.5718
29.11.2021;12:36:00-000;20.55;20.55;20.54;20.54;829;20.5435
29.11.2021;12:37:00-000;20.54;20.56;20.5387;20.56;904;20.5426
29.11.2021;12:39:00-000;20.59;20.59;20.59;20.59;210;20.5621
29.11.2021;12:45:00-000;20.54;20.54;20.54;20.54;115;20.5416
29.11.2021;12:47:00-000;20.6;20.6;20.6;20.6;277;20.5869
29.11.2021;12:50:00-000;20.6;20.61;20.6;20.61;1669;20.6044
29.11.2021;12:51:00-000;20.63;20.63;20.63;20.63;935;20.6339
29.11.2021;12:53:00-000;20.675;20.675;20.64;20.665;1247;20.6506
29.11.2021;12:54:00-000;20.672;20.672;20.672;20.672;600;20.6683
29.11.2021;12:59:00-000;20.72;20.74;20.72;20.74;444;20.727
29.11.2021;13:00:00-000;20.72;20.72;20.72;20.72;200;20.72
29.11.2021;13:02:00-000;20.7257;20.7257;20.7257;20.7257;366;20.7268
29.11.2021;13:08:00-000;20.73;20.73;20.73;20.73;100;20.73
29.11.2021;13:09:00-000;20.74;20.75;20.74;20.75;927;20.749
29.11.2021;13:10:00-000;20.77;20.77;20.75;20.75;843;20.7654
29.11.2021;13:11:00-000;20.75;20.75;20.75;20.75;408;20.747
29.11.2021;13:13:00-000;20.73;20.75;20.73;20.75;1036;20.7383
29.11.2021;13:14:00-000;20.7308;20.7308;20.7308;20.7308;101;20.7304
29.11.2021;13:15:00-000;20.72;20.72;20.72;20.72;114;20.7212
29.11.2021;13:16:00-000;20.72;20.72;20.72;20.72;600;20.72
29.11.2021;13:17:00-000;20.72;20.72;20.63;20.63;1088;20.6966
29.11.2021;13:19:00-000;20.68;20.68;20.68;20.68;1145;20.6797
29.11.2021;13:21:00-000;20.7;20.7;20.7;20.7;231;20.6779
29.11.2021;13:23:00-000;20.65;20.65;20.62;20.63;718;20.6335
29.11.2021;13:27:00-000;20.61;20.61;20.61;20.61;207;20.6061
29.11.2021;13:29:00-000;20.65;20.65;20.65;20.65;105;20.6497
29.11.2021;13:31:00-000;20.65;20.65;20.65;20.65;1074;20.6463
29.11.2021;13:36:00-000;20.63;20.63;20.63;20.63;129;20.6347
29.11.2021;13:39:00-000;20.62;20.62;20.61;20.62;739;20.618
29.11.2021;13:40:00-000;20.63;20.63;20.63;20.63;824;20.63
29.11.2021;13:43:00-000;20.62;20.62;20.62;20.62;331;20.6199
29.11.2021;13:45:00-000;20.6;20.6;20.6;20.6;118;20.6046
29.11.2021;13:46:00-000;20.64;20.69;20.64;20.64;1210;20.6517
29.11.2021;13:47:00-000;20.6501;20.6501;20.6501;20.6501;213;20.6487
29.11.2021;13:50:00-000;20.66;20.66;20.65;20.65;772;20.6613
29.11.2021;13:52:00-000;20.676;20.676;20.66;20.66;214;20.6674
