Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:32:00-000;28.77;28.77;28.76;28.76;1500;28.7611
29.11.2021;09:18:00-000;28.88;28.88;28.88;28.88;173;28.8814
29.11.2021;09:30:00-000;28.86;28.89;28.75;28.82;35862;28.8218
29.11.2021;09:31:00-000;28.83;28.83;28.7;28.72;9166;28.7756
29.11.2021;09:32:00-000;28.71;28.715;28.63;28.63;6853;28.6908
29.11.2021;09:33:00-000;28.62;28.67;28.59;28.66;11214;28.6224
29.11.2021;09:34:00-000;28.65;28.68;28.64;28.65;2618;28.6641
29.11.2021;09:35:00-000;28.64;28.64;28.58;28.58;3031;28.6022
29.11.2021;09:36:00-000;28.575;28.62;28.5499;28.61;13266;28.5916
29.11.2021;09:37:00-000;28.6;28.65;28.593;28.593;9727;28.6223
29.11.2021;09:38:00-000;28.6;28.64;28.6;28.635;1580;28.6219
29.11.2021;09:39:00-000;28.63;28.65;28.62;28.63;3764;28.6312
29.11.2021;09:40:00-000;28.635;28.64;28.62;28.64;32794;28.6265
29.11.2021;09:41:00-000;28.64;28.665;28.63;28.665;1888;28.6433
29.11.2021;09:42:00-000;28.665;28.69;28.65;28.69;1876;28.6768
29.11.2021;09:43:00-000;28.68;28.68;28.64;28.66;4477;28.6624
29.11.2021;09:44:00-000;28.665;28.68;28.64;28.64;2018;28.6591
29.11.2021;09:45:00-000;28.65;28.65;28.545;28.55;9473;28.5888
29.11.2021;09:46:00-000;28.55;28.55;28.475;28.49;9057;28.5038
29.11.2021;09:47:00-000;28.5;28.54;28.49;28.54;1697;28.518
29.11.2021;09:48:00-000;28.55;28.63;28.55;28.59;11195;28.5953
29.11.2021;09:49:00-000;28.6;28.6;28.56;28.56;2512;28.5794
29.11.2021;09:50:00-000;28.55;28.61;28.53;28.59;11398;28.5717
29.11.2021;09:51:00-000;28.59;28.64;28.585;28.62;2210;28.6125
29.11.2021;09:52:00-000;28.63;28.63;28.61;28.63;3357;28.62
29.11.2021;09:53:00-000;28.66;28.69;28.66;28.69;4252;28.6792
29.11.2021;09:54:00-000;28.695;28.73;28.69;28.72;7418;28.7105
29.11.2021;09:55:00-000;28.71;28.755;28.7;28.755;5025;28.7158
29.11.2021;09:56:00-000;28.755;28.76;28.75;28.75;980;28.7526
29.11.2021;09:57:00-000;28.755;28.78;28.755;28.77;2512;28.7697
29.11.2021;09:58:00-000;28.75;28.765;28.75;28.76;1650;28.7579
29.11.2021;09:59:00-000;28.74;28.74;28.685;28.7;9377;28.7108
29.11.2021;10:00:00-000;28.72;28.75;28.72;28.75;2183;28.7328
29.11.2021;10:01:00-000;28.74;28.74;28.71;28.73;8525;28.7247
29.11.2021;10:02:00-000;28.725;28.765;28.725;28.765;1559;28.7562
29.11.2021;10:03:00-000;28.75;28.76;28.735;28.76;1459;28.7473
29.11.2021;10:04:00-000;28.75;28.75;28.68;28.68;6844;28.7104
29.11.2021;10:05:00-000;28.67;28.73;28.67;28.73;7523;28.7122
29.11.2021;10:07:00-000;28.71;28.71;28.63;28.66;1804;28.6626
29.11.2021;10:08:00-000;28.645;28.66;28.645;28.65;651;28.6515
29.11.2021;10:09:00-000;28.67;28.69;28.67;28.69;4397;28.6796
29.11.2021;10:10:00-000;28.68;28.68;28.66;28.68;1213;28.6719
29.11.2021;10:11:00-000;28.67;28.67;28.64;28.65;3137;28.657
29.11.2021;10:12:00-000;28.635;28.635;28.59;28.59;2724;28.611
29.11.2021;10:13:00-000;28.59;28.59;28.56;28.57;707;28.5766
29.11.2021;10:14:00-000;28.59;28.59;28.58;28.58;424;28.5823
29.11.2021;10:15:00-000;28.59;28.65;28.59;28.61;2408;28.6218
29.11.2021;10:16:00-000;28.61;28.61;28.55;28.57;6392;28.5721
29.11.2021;10:17:00-000;28.57;28.615;28.56;28.615;2425;28.5904
29.11.2021;10:18:00-000;28.63;28.63;28.62;28.62;321;28.6232
29.11.2021;10:19:00-000;28.63;28.63;28.61;28.61;1431;28.6137
29.11.2021;10:20:00-000;28.62;28.64;28.62;28.63;766;28.6274
29.11.2021;10:21:00-000;28.63;28.67;28.63;28.65;4013;28.649
29.11.2021;10:22:00-000;28.65;28.66;28.64;28.64;1410;28.6514
29.11.2021;10:23:00-000;28.64;28.65;28.64;28.6458;985;28.6458
29.11.2021;10:24:00-000;28.66;28.685;28.65;28.65;3519;28.6723
29.11.2021;10:26:00-000;28.69;28.69;28.61;28.61;4375;28.6352
29.11.2021;10:27:00-000;28.61;28.62;28.55;28.55;2208;28.5709
29.11.2021;10:28:00-000;28.55;28.57;28.54;28.56;6101;28.5656
29.11.2021;10:29:00-000;28.545;28.57;28.545;28.56;1493;28.5587
29.11.2021;10:30:00-000;28.55;28.56;28.535;28.55;1526;28.549
29.11.2021;10:31:00-000;28.5311;28.5311;28.5;28.5;2100;28.5089
29.11.2021;10:32:00-000;28.505;28.51;28.505;28.51;578;28.5027
29.11.2021;10:33:00-000;28.49;28.52;28.49;28.52;508;28.5059
29.11.2021;10:34:00-000;28.54;28.54;28.54;28.54;267;28.54
29.11.2021;10:35:00-000;28.59;28.6;28.59;28.6;825;28.5965
29.11.2021;10:36:00-000;28.61;28.61;28.56;28.56;1033;28.5903
29.11.2021;10:37:00-000;28.56;28.56;28.53;28.53;563;28.5445
29.11.2021;10:38:00-000;28.52;28.52;28.51;28.51;374;28.5119
