Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:00:00-000;5.49;5.49;5.42;5.48;2200;5.4593
29.11.2021;04:02:00-000;5.46;5.46;5.46;5.46;103;5.4606
29.11.2021;04:05:00-000;5.41;5.41;5.41;5.41;350;5.4099
29.11.2021;04:08:00-000;5.45;5.45;5.4;5.4;1300;5.4042
29.11.2021;04:17:00-000;5.47;5.47;5.47;5.47;100;5.47
29.11.2021;04:18:00-000;5.42;5.42;5.42;5.42;220;5.4245
29.11.2021;04:19:00-000;5.41;5.41;5.41;5.41;539;5.4105
29.11.2021;04:29:00-000;5.41;5.41;5.41;5.41;300;5.41
29.11.2021;04:56:00-000;5.47;5.47;5.47;5.47;189;5.47
29.11.2021;04:58:00-000;5.47;5.47;5.47;5.47;350;5.47
29.11.2021;05:07:00-000;5.47;5.47;5.47;5.47;100;5.47
29.11.2021;05:10:00-000;5.48;5.49;5.48;5.49;2282;5.4858
29.11.2021;05:13:00-000;5.48;5.48;5.48;5.48;250;5.48
29.11.2021;05:15:00-000;5.47;5.47;5.47;5.47;100;5.47
29.11.2021;05:33:00-000;5.48;5.48;5.48;5.48;200;5.48
29.11.2021;05:36:00-000;5.48;5.48;5.48;5.48;1203;5.48
29.11.2021;05:41:00-000;5.48;5.48;5.48;5.48;206;5.48
29.11.2021;05:43:00-000;5.48;5.48;5.48;5.48;1000;5.48
29.11.2021;05:48:00-000;5.48;5.48;5.48;5.48;600;5.48
29.11.2021;06:03:00-000;5.48;5.48;5.48;5.48;350;5.48
29.11.2021;06:05:00-000;5.44;5.44;5.44;5.44;500;5.44
29.11.2021;06:06:00-000;5.44;5.44;5.44;5.44;500;5.44
29.11.2021;06:36:00-000;5.46;5.46;5.46;5.46;106;5.4601
29.11.2021;06:37:00-000;5.45;5.45;5.45;5.45;7635;5.45
29.11.2021;06:46:00-000;5.47;5.47;5.47;5.47;500;5.47
29.11.2021;06:47:00-000;5.47;5.48;5.47;5.47;400;5.4726
29.11.2021;06:52:00-000;5.47;5.48;5.47;5.48;405;5.4757
29.11.2021;07:00:00-000;5.49;5.5;5.49;5.49;3917;5.489
29.11.2021;07:01:00-000;5.51;5.51;5.51;5.51;1001;5.51
29.11.2021;07:02:00-000;5.5;5.54;5.5;5.5;4152;5.5019
29.11.2021;07:06:00-000;5.5;5.5;5.5;5.5;272;5.4974
29.11.2021;07:10:00-000;5.51;5.51;5.5;5.5;1300;5.5008
29.11.2021;07:15:00-000;5.5;5.5;5.5;5.5;1000;5.5
29.11.2021;07:16:00-000;5.5;5.5;5.5;5.5;1186;5.5
29.11.2021;07:18:00-000;5.5;5.5;5.5;5.5;1895;5.5
29.11.2021;07:21:00-000;5.49;5.49;5.49;5.49;300;5.49
29.11.2021;07:30:00-000;5.48;5.48;5.48;5.48;273;5.48
29.11.2021;07:37:00-000;5.49;5.5;5.49;5.49;688;5.4928
29.11.2021;07:42:00-000;5.49;5.49;5.48;5.48;1694;5.4824
29.11.2021;07:44:00-000;5.48;5.48;5.48;5.48;1000;5.48
29.11.2021;07:50:00-000;5.49;5.49;5.49;5.49;1000;5.49
29.11.2021;07:52:00-000;5.48;5.48;5.48;5.48;100;5.48
29.11.2021;07:53:00-000;5.48;5.48;5.47;5.47;3888;5.4779
29.11.2021;07:58:00-000;5.48;5.48;5.47;5.48;2662;5.4796
29.11.2021;07:59:00-000;5.48;5.48;5.46;5.46;4099;5.4707
29.11.2021;08:00:00-000;5.5;5.55;5.48;5.5;37865;5.5008
29.11.2021;08:01:00-000;5.4599;5.4599;5.4599;5.4599;2000;5.4599
29.11.2021;08:02:00-000;5.4501;5.4599;5.4501;5.4599;600;5.4583
29.11.2021;08:03:00-000;5.46;5.46;5.46;5.46;4000;5.46
29.11.2021;08:04:00-000;5.46;5.46;5.46;5.46;3917;5.46
29.11.2021;08:06:00-000;5.47;5.47;5.47;5.47;1100;5.47
29.11.2021;08:07:00-000;5.4699;5.4699;5.4699;5.4699;867;5.4699
29.11.2021;08:08:00-000;5.47;5.47;5.47;5.47;150;5.47
29.11.2021;08:10:00-000;5.47;5.47;5.47;5.47;323;5.4686
29.11.2021;08:11:00-000;5.45;5.45;5.45;5.45;43581;5.45
29.11.2021;08:12:00-000;5.46;5.46;5.45;5.45;9478;5.4566
29.11.2021;08:13:00-000;5.4499;5.45;5.4499;5.45;1500;5.45
29.11.2021;08:14:00-000;5.4499;5.45;5.44;5.45;3962;5.4423
29.11.2021;08:17:00-000;5.4499;5.45;5.4499;5.4499;7971;5.4499
29.11.2021;08:19:00-000;5.45;5.45;5.45;5.45;3500;5.45
29.11.2021;08:20:00-000;5.4499;5.45;5.42;5.4399;10502;5.4313
29.11.2021;08:21:00-000;5.43;5.4499;5.43;5.4499;7106;5.4412
29.11.2021;08:22:00-000;5.4499;5.45;5.4499;5.45;1001;5.45
29.11.2021;08:24:00-000;5.44;5.45;5.44;5.45;1303;5.4477
29.11.2021;08:25:00-000;5.45;5.46;5.44;5.46;4213;5.4419
29.11.2021;08:26:00-000;5.46;5.46;5.45;5.45;315;5.4562
29.11.2021;08:27:00-000;5.47;5.47;5.47;5.47;377;5.47
29.11.2021;08:28:00-000;5.47;5.47;5.47;5.47;200;5.47
29.11.2021;08:30:00-000;5.45;5.45;5.45;5.45;727;5.45
29.11.2021;08:31:00-000;5.45;5.47;5.45;5.47;3884;5.4694
29.11.2021;08:34:00-000;5.45;5.45;5.45;5.45;100;5.45
29.11.2021;08:35:00-000;5.45;5.45;5.45;5.45;756;5.4501
29.11.2021;08:36:00-000;5.45;5.46;5.45;5.46;260;5.4542
29.11.2021;08:37:00-000;5.45;5.45;5.45;5.45;308;5.4503
29.11.2021;08:38:00-000;5.46;5.46;5.46;5.46;1251;5.46
29.11.2021;08:40:00-000;5.46;5.46;5.45;5.45;2350;5.4553
29.11.2021;08:41:00-000;5.46;5.46;5.46;5.46;100;5.46
