Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:05:00-000;0.99;0.99;0.99;0.99;199;0.995
29.11.2021;04:06:00-000;0.99;0.99;0.99;0.99;230;0.99
29.11.2021;04:09:00-000;1;1;1;1;100;1
29.11.2021;04:14:00-000;0.9902;1;0.9902;1;922;0.9984
29.11.2021;04:19:00-000;1;1;0.99;0.99;1253;0.992
29.11.2021;04:20:00-000;0.989;0.989;0.989;0.989;300;0.989
29.11.2021;04:21:00-000;0.99;0.99;0.99;0.99;1725;0.99
29.11.2021;04:23:00-000;0.97;0.97;0.97;0.97;1950;0.97
29.11.2021;04:32:00-000;0.98;0.98;0.98;0.98;1000;0.98
29.11.2021;04:33:00-000;0.97;0.97;0.97;0.97;106;0.97
29.11.2021;04:56:00-000;1;1;1;1;1100;1
29.11.2021;05:07:00-000;0.99;0.99;0.99;0.99;2085;0.99
29.11.2021;05:11:00-000;0.99;0.99;0.99;0.99;100;0.99
29.11.2021;05:15:00-000;0.99;0.9998;0.99;0.9998;2833;0.9971
29.11.2021;05:16:00-000;0.9998;1;0.99;0.99;10234;0.9979
29.11.2021;05:49:00-000;1;1;1;1;383;1
29.11.2021;05:52:00-000;1;1;1;1;200;1
29.11.2021;05:57:00-000;1;1;1;1;500;1
29.11.2021;06:07:00-000;1;1;1;1;100;1
29.11.2021;06:08:00-000;1;1;1;1;1700;1
29.11.2021;06:09:00-000;1.02;1.02;1.02;1.02;700;1.02
29.11.2021;06:10:00-000;1.02;1.02;1.02;1.02;109;1.02
29.11.2021;06:18:00-000;1.01;1.01;1.01;1.01;2862;1.01
29.11.2021;06:25:00-000;1;1;1;1;456;1.0005
29.11.2021;06:32:00-000;1;1;1;1;1000;1
29.11.2021;06:43:00-000;1;1;1;1;4370;1
29.11.2021;06:46:00-000;1;1;1;1;201;1
29.11.2021;06:51:00-000;0.99;0.99;0.99;0.99;2000;0.99
29.11.2021;07:05:00-000;0.976;0.976;0.976;0.976;1736;0.976
29.11.2021;07:06:00-000;0.98;0.98;0.98;0.98;3264;0.98
29.11.2021;07:21:00-000;0.97;0.97;0.97;0.97;1000;0.97
29.11.2021;07:23:00-000;0.9616;0.962;0.96;0.96;5000;0.9604
29.11.2021;07:25:00-000;0.96;0.96;0.96;0.96;400;0.96
29.11.2021;07:26:00-000;0.96;0.96;0.96;0.96;2006;0.96
29.11.2021;07:29:00-000;0.96;0.96;0.96;0.96;557;0.96
29.11.2021;07:34:00-000;0.961;0.961;0.96;0.96;11537;0.9601
29.11.2021;07:37:00-000;0.95;0.95;0.95;0.95;100;0.95
