Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;05:12:00-000;1.84;1.84;1.84;1.84;1000;1.8402
29.11.2021;08:00:00-000;1.8501;1.8501;1.8501;1.8501;200;1.8501
29.11.2021;09:08:00-000;1.99;1.99;1.99;1.99;1100;1.99
29.11.2021;09:17:00-000;1.9;1.9;1.9;1.9;1226;1.9
29.11.2021;09:30:00-000;1.83;1.85;1.83;1.85;2256;1.8354
29.11.2021;09:32:00-000;1.8515;1.8515;1.8515;1.8515;2086;1.8517
29.11.2021;09:33:00-000;1.85;1.85;1.85;1.85;100;1.85
29.11.2021;09:34:00-000;1.85;1.85;1.82;1.82;1519;1.826
29.11.2021;09:35:00-000;1.825;1.825;1.825;1.825;101;1.825
29.11.2021;09:36:00-000;1.82;1.82;1.82;1.82;100;1.82
29.11.2021;09:38:00-000;1.825;1.825;1.82;1.82;1570;1.8237
29.11.2021;09:39:00-000;1.82;1.8282;1.82;1.8282;322;1.8255
29.11.2021;09:40:00-000;1.825;1.83;1.825;1.8299;11089;1.83
29.11.2021;09:41:00-000;1.83;1.83;1.83;1.83;564;1.83
29.11.2021;09:44:00-000;1.8636;1.8636;1.8636;1.8636;570;1.8635
29.11.2021;09:45:00-000;1.8301;1.8301;1.8301;1.8301;100;1.8301
29.11.2021;09:53:00-000;1.83;1.83;1.83;1.83;100;1.83
29.11.2021;09:55:00-000;1.82;1.83;1.82;1.83;500;1.822
29.11.2021;09:56:00-000;1.83;1.83;1.83;1.83;1090;1.83
29.11.2021;09:57:00-000;1.83;1.83;1.83;1.83;1641;1.8303
29.11.2021;10:00:00-000;1.84;1.84;1.84;1.84;110;1.8399
29.11.2021;10:03:00-000;1.83;1.83;1.83;1.83;250;1.83
29.11.2021;10:04:00-000;1.83;1.83;1.83;1.83;100;1.83
29.11.2021;10:05:00-000;1.83;1.83;1.8283;1.8283;1086;1.8296
29.11.2021;10:07:00-000;1.825;1.825;1.825;1.825;100;1.825
29.11.2021;10:09:00-000;1.825;1.825;1.825;1.825;5000;1.825
29.11.2021;10:13:00-000;1.8288;1.8288;1.8288;1.8288;500;1.8288
29.11.2021;10:14:00-000;1.82;1.82;1.82;1.82;498;1.82
29.11.2021;10:16:00-000;1.83;1.83;1.825;1.8297;700;1.8271
29.11.2021;10:17:00-000;1.83;1.83;1.83;1.83;200;1.83
29.11.2021;10:19:00-000;1.82;1.8299;1.82;1.8299;5400;1.8292
29.11.2021;10:22:00-000;1.825;1.825;1.825;1.825;102;1.825
29.11.2021;10:24:00-000;1.82;1.8289;1.82;1.8289;1100;1.8257
29.11.2021;10:25:00-000;1.825;1.83;1.825;1.83;1800;1.8289
29.11.2021;10:26:00-000;1.8301;1.8301;1.8301;1.8301;100;1.8301
29.11.2021;10:28:00-000;1.84;1.84;1.84;1.84;500;1.84
29.11.2021;10:30:00-000;1.84;1.84;1.84;1.84;1201;1.84
29.11.2021;10:31:00-000;1.835;1.835;1.835;1.835;101;1.835
29.11.2021;10:40:00-000;1.83;1.83;1.82;1.82;440;1.824
29.11.2021;10:42:00-000;1.82;1.82;1.82;1.82;500;1.82
29.11.2021;10:44:00-000;1.83;1.83;1.83;1.83;100;1.83
29.11.2021;10:46:00-000;1.82;1.82;1.82;1.82;400;1.82
