Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:00:00-000;11.02;11.02;11.012;11.012;200;11.016
29.11.2021;09:30:00-000;10.75;10.75;10.64;10.645;21517;10.7342
29.11.2021;09:31:00-000;10.645;10.71;10.645;10.68;9493;10.6747
29.11.2021;09:32:00-000;10.68;10.7;10.68;10.68;5346;10.6901
29.11.2021;09:33:00-000;10.67;10.71;10.64;10.64;2860;10.6722
29.11.2021;09:34:00-000;10.65;10.65;10.6;10.61;3313;10.6111
29.11.2021;09:35:00-000;10.605;10.62;10.605;10.605;696;10.6126
29.11.2021;09:36:00-000;10.605;10.62;10.58;10.58;5864;10.5997
29.11.2021;09:37:00-000;10.6;10.6;10.57;10.57;1422;10.5862
29.11.2021;09:38:00-000;10.56;10.58;10.55;10.58;5200;10.5637
29.11.2021;09:39:00-000;10.56;10.56;10.55;10.555;7613;10.5513
29.11.2021;09:40:00-000;10.55;10.55;10.5;10.51;16012;10.5298
29.11.2021;09:41:00-000;10.505;10.53;10.45;10.46;20011;10.4809
29.11.2021;09:42:00-000;10.47;10.49;10.47;10.48;6053;10.4834
29.11.2021;09:43:00-000;10.48;10.51;10.48;10.5;7029;10.4947
29.11.2021;09:44:00-000;10.49;10.5;10.48;10.49;3091;10.489
29.11.2021;09:45:00-000;10.495;10.52;10.49;10.5;10006;10.5024
29.11.2021;09:46:00-000;10.494;10.51;10.49;10.5;7323;10.4957
29.11.2021;09:47:00-000;10.51;10.54;10.51;10.54;9083;10.5304
29.11.2021;09:48:00-000;10.55;10.56;10.5386;10.555;9938;10.5515
29.11.2021;09:49:00-000;10.535;10.535;10.51;10.52;1105;10.5223
29.11.2021;09:50:00-000;10.49;10.51;10.49;10.5;1916;10.5024
29.11.2021;09:51:00-000;10.51;10.51;10.48;10.5;6408;10.4973
29.11.2021;09:52:00-000;10.49;10.5;10.48;10.48;5698;10.4859
29.11.2021;09:53:00-000;10.49;10.51;10.49;10.51;1423;10.5017
29.11.2021;09:54:00-000;10.51;10.53;10.51;10.515;3391;10.5178
29.11.2021;09:55:00-000;10.52;10.55;10.51;10.55;6840;10.5261
29.11.2021;09:56:00-000;10.56;10.59;10.56;10.58;2370;10.577
29.11.2021;09:57:00-000;10.56;10.56;10.52;10.52;2503;10.531
29.11.2021;09:58:00-000;10.51;10.51;10.5;10.5;1192;10.5091
29.11.2021;09:59:00-000;10.5;10.53;10.49;10.52;3603;10.5118
29.11.2021;10:00:00-000;10.51;10.535;10.51;10.51;17678;10.5162
29.11.2021;10:01:00-000;10.52;10.53;10.49;10.5;5555;10.5144
29.11.2021;10:02:00-000;10.5;10.545;10.5;10.52;5343;10.5264
29.11.2021;10:03:00-000;10.525;10.525;10.5;10.5;5982;10.515
29.11.2021;10:04:00-000;10.5;10.505;10.48;10.493;3700;10.4911
29.11.2021;10:05:00-000;10.485;10.52;10.485;10.495;3584;10.5071
29.11.2021;10:06:00-000;10.49;10.53;10.49;10.53;2955;10.5109
29.11.2021;10:07:00-000;10.53;10.54;10.525;10.53;5224;10.5303
29.11.2021;10:08:00-000;10.52;10.53;10.52;10.52;5429;10.5258
29.11.2021;10:09:00-000;10.515;10.54;10.515;10.54;3773;10.5296
29.11.2021;10:10:00-000;10.54;10.56;10.53;10.53;4333;10.5405
29.11.2021;10:11:00-000;10.53;10.545;10.53;10.54;4606;10.5344
29.11.2021;10:12:00-000;10.54;10.545;10.515;10.52;17947;10.5295
29.11.2021;10:13:00-000;10.52;10.52;10.5008;10.515;4975;10.5085
29.11.2021;10:14:00-000;10.51;10.535;10.51;10.53;3533;10.5259
29.11.2021;10:15:00-000;10.53;10.57;10.5274;10.56;4225;10.5479
29.11.2021;10:16:00-000;10.56;10.56;10.525;10.53;6979;10.5549
29.11.2021;10:17:00-000;10.54;10.545;10.54;10.545;942;10.5428
29.11.2021;10:18:00-000;10.545;10.565;10.545;10.565;1392;10.5529
29.11.2021;10:19:00-000;10.57;10.57;10.53;10.54;8710;10.5543
29.11.2021;10:20:00-000;10.54;10.545;10.54;10.54;1013;10.5417
29.11.2021;10:21:00-000;10.5312;10.545;10.53;10.54;9925;10.5348
29.11.2021;10:22:00-000;10.54;10.54;10.515;10.525;11690;10.5255
29.11.2021;10:23:00-000;10.525;10.53;10.515;10.515;1558;10.5248
29.11.2021;10:24:00-000;10.5159;10.52;10.4999;10.4999;4455;10.514
29.11.2021;10:25:00-000;10.49;10.49;10.45;10.4519;5341;10.4684
29.11.2021;10:26:00-000;10.45;10.45;10.385;10.39;12649;10.4241
29.11.2021;10:27:00-000;10.39;10.41;10.38;10.38;15986;10.3964
29.11.2021;10:28:00-000;10.39;10.41;10.39;10.405;4339;10.3956
29.11.2021;10:29:00-000;10.4;10.4;10.38;10.38;1987;10.3903
29.11.2021;10:30:00-000;10.385;10.39;10.385;10.385;530;10.3871
29.11.2021;10:31:00-000;10.385;10.385;10.335;10.345;4883;10.3561
29.11.2021;10:32:00-000;10.345;10.365;10.32;10.32;12037;10.3507
29.11.2021;10:33:00-000;10.32;10.34;10.32;10.34;5179;10.3295
29.11.2021;10:34:00-000;10.335;10.34;10.33;10.33;5444;10.3363
29.11.2021;10:35:00-000;10.34;10.355;10.34;10.34;18490;10.3489
29.11.2021;10:36:00-000;10.34;10.34;10.31;10.31;8169;10.3238
29.11.2021;10:37:00-000;10.31;10.31;10.29;10.31;5843;10.2984
29.11.2021;10:38:00-000;10.31;10.31;10.275;10.275;10468;10.3059
29.11.2021;10:39:00-000;10.28;10.305;10.28;10.2975;3715;10.2861
29.11.2021;10:40:00-000;10.3;10.305;10.275;10.275;6618;10.2951
29.11.2021;10:41:00-000;10.28;10.28;10.27;10.27;2340;10.2845
29.11.2021;10:42:00-000;10.27;10.275;10.27;10.275;2791;10.271
29.11.2021;10:43:00-000;10.28;10.285;10.27;10.285;3969;10.2783
29.11.2021;10:44:00-000;10.285;10.295;10.28;10.295;10397;10.2881
29.11.2021;10:45:00-000;10.295;10.315;10.295;10.315;3397;10.307
29.11.2021;10:46:00-000;10.31;10.31;10.3;10.3;1480;10.3057
29.11.2021;10:47:00-000;10.31;10.32;10.305;10.31;2247;10.31
29.11.2021;10:48:00-000;10.31;10.32;10.31;10.32;2785;10.3131
29.11.2021;10:49:00-000;10.31;10.31;10.29;10.29;4421;10.2973
29.11.2021;10:50:00-000;10.29;10.29;10.27;10.27;3061;10.2789
