Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:50:00-000;73.99;74;73.95;74;1403;73.9839
29.11.2021;09:30:00-000;74.55;74.55;74.55;74.55;7208;74.5539
29.11.2021;09:31:00-000;74.66;74.66;74.66;74.66;107;74.6656
29.11.2021;09:32:00-000;74.65;74.92;74.65;74.92;233;74.7896
29.11.2021;09:33:00-000;74.85;74.85;73.98;73.99;3403;74.3069
29.11.2021;09:34:00-000;73.95;74.005;73.84;74.005;757;73.9591
29.11.2021;09:35:00-000;74.01;74.48;73.87;74.08;5324;74.0907
29.11.2021;09:37:00-000;74.24;74.24;73.92;73.92;265;74.0643
29.11.2021;09:38:00-000;73.8;73.87;73.58;73.58;1170;73.7619
29.11.2021;09:39:00-000;73.44;73.87;73.44;73.87;304;73.587
29.11.2021;09:41:00-000;73.635;73.635;73.635;73.635;163;73.6337
29.11.2021;09:42:00-000;73.57;73.64;73.19;73.19;8011;73.4725
29.11.2021;09:43:00-000;73.26;73.26;73.26;73.26;207;73.2712
29.11.2021;09:44:00-000;73.26;73.665;73.26;73.665;6515;73.4537
29.11.2021;09:46:00-000;73.53;73.685;73.49;73.685;873;73.6009
29.11.2021;09:47:00-000;73.86;73.87;73.46;73.5;3906;73.7207
29.11.2021;09:48:00-000;73.44;73.5;73.44;73.5;212;73.4785
29.11.2021;09:49:00-000;73.44;73.72;73.42;73.44;10757;73.5547
29.11.2021;09:50:00-000;73.45;73.5;73.43;73.43;1221;73.4622
29.11.2021;09:51:00-000;73.62;73.76;73.62;73.76;1264;73.6497
29.11.2021;09:52:00-000;73.67;73.67;73.57;73.57;1499;73.6235
29.11.2021;09:53:00-000;73.5;73.98;73.5;73.8;2941;73.7903
29.11.2021;09:54:00-000;73.84;74.02;73.81;73.87;7829;73.9013
29.11.2021;09:55:00-000;73.69;74.04;73.69;74.04;843;73.9484
29.11.2021;09:56:00-000;73.98;74.16;73.95;73.98;2705;74.0538
29.11.2021;09:57:00-000;74.05;74.125;74.02;74.125;610;74.0856
29.11.2021;09:58:00-000;74.125;74.13;74.04;74.055;1957;74.0861
29.11.2021;09:59:00-000;74.055;74.28;74.055;74.2;1060;74.2175
29.11.2021;10:00:00-000;74.43;74.43;74.43;74.43;141;74.437
29.11.2021;10:01:00-000;74.48;74.49;74.48;74.49;211;74.492
29.11.2021;10:02:00-000;74.49;74.75;74.49;74.54;4966;74.5667
29.11.2021;10:03:00-000;74.54;74.54;74.39;74.39;204;74.4686
29.11.2021;10:04:00-000;74.555;74.555;74.555;74.555;332;74.555
29.11.2021;10:05:00-000;74.55;74.55;74.54;74.545;691;74.5423
29.11.2021;10:07:00-000;74.4;74.51;74.18;74.305;7913;74.2937
29.11.2021;10:08:00-000;74.305;74.305;74.305;74.305;466;74.305
29.11.2021;10:09:00-000;74.305;74.42;74.25;74.3;3936;74.3081
29.11.2021;10:10:00-000;74.295;74.39;74.22;74.22;2209;74.378
29.11.2021;10:11:00-000;74.315;74.315;74.04;74.04;1666;74.2376
29.11.2021;10:12:00-000;74.04;74.04;74;74;710;73.9954
29.11.2021;10:13:00-000;73.73;73.73;73.565;73.565;482;73.6828
29.11.2021;10:14:00-000;73.3953;73.78;73.3953;73.66;1593;73.6546
29.11.2021;10:15:00-000;73.66;73.86;73.66;73.69;1821;73.755
29.11.2021;10:16:00-000;73.611;73.611;73.5;73.5;1646;73.5789
29.11.2021;10:18:00-000;73.35;73.82;73.35;73.82;1912;73.6409
29.11.2021;10:19:00-000;73.83;74.1;73.83;74;3017;74.0171
29.11.2021;10:20:00-000;73.98;74.1819;73.98;73.98;1102;74.0801
29.11.2021;10:21:00-000;74.18;74.3185;74.09;74.16;3715;74.2504
29.11.2021;10:22:00-000;74.1301;74.216;73.83;73.83;1999;74.0366
29.11.2021;10:24:00-000;73.8;73.85;73.61;73.61;2898;73.7631
