Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:00:00-000;54.72;54.72;54.72;54.72;235;54.7305
29.11.2021;05:54:00-000;54.9;54.9;54.9;54.9;1188;54.9128
29.11.2021;05:57:00-000;54.92;54.92;54.9;54.9;530;54.9091
29.11.2021;05:58:00-000;54.9;54.9;54.9;54.9;608;54.9
29.11.2021;06:06:00-000;54.98;54.98;54.98;54.98;753;54.98
29.11.2021;06:18:00-000;54.98;54.98;54.98;54.98;248;54.98
29.11.2021;06:29:00-000;54.91;54.91;54.91;54.91;115;54.9147
29.11.2021;06:55:00-000;54.91;54.91;54.91;54.91;106;54.9117
29.11.2021;07:00:00-000;54.9;55;54.9;55;709;54.9581
29.11.2021;07:13:00-000;55.12;55.12;55.12;55.12;807;55.1208
29.11.2021;07:18:00-000;55.08;55.08;55.08;55.08;100;55.08
29.11.2021;07:29:00-000;55.04;55.04;55.03;55.03;504;55.039
29.11.2021;07:31:00-000;55.06;55.06;55.06;55.06;190;55.0542
29.11.2021;07:35:00-000;55.06;55.08;55.06;55.08;381;55.0671
29.11.2021;07:41:00-000;55.09;55.09;55.09;55.09;190;55.09
29.11.2021;08:00:00-000;55.1199;55.1199;54.92;54.92;693;55.0359
29.11.2021;08:06:00-000;55.05;55.05;55.05;55.05;101;55.0462
29.11.2021;08:07:00-000;55.09;55.09;55.09;55.09;150;55.0767
29.11.2021;08:11:00-000;55.09;55.09;55.09;55.09;550;55.09
29.11.2021;08:14:00-000;55.1;55.1;55.1;55.1;200;55.0955
29.11.2021;08:15:00-000;55.14;55.14;55.09;55.09;1243;55.1233
29.11.2021;08:16:00-000;55.06;55.06;55.06;55.06;110;55.06
29.11.2021;08:17:00-000;55.09;55.09;55.09;55.09;103;55.0903
29.11.2021;08:22:00-000;55.08;55.08;55.06;55.06;2318;55.0619
29.11.2021;08:29:00-000;55.06;55.06;55.01;55.01;1060;55.0242
29.11.2021;08:34:00-000;54.96;54.96;54.96;54.96;785;54.96
29.11.2021;08:44:00-000;55.01;55.02;55.01;55.02;1387;55.017
