Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:33:00-000;234;234;234;234;100;234
29.11.2021;09:30:00-000;235.52;236.085;235.52;235.52;2266;235.618
29.11.2021;09:31:00-000;235;235;235;235;151;235.172
29.11.2021;09:32:00-000;234.16;234.17;234.16;234.165;443;234.319
29.11.2021;09:33:00-000;234.44;234.535;234.44;234.535;523;234.31
29.11.2021;09:36:00-000;234.71;234.71;234.71;234.71;161;234.106
29.11.2021;09:49:00-000;234.72;234.72;234.72;234.72;119;234.551
29.11.2021;09:56:00-000;234.39;235;234.38;235;674;234.68
29.11.2021;09:57:00-000;234.52;234.52;234;234.4;1014;234.344
29.11.2021;10:02:00-000;234.71;235.04;234.71;235;1590;234.817
29.11.2021;10:04:00-000;234.66;234.76;234.42;234.42;1088;234.557
29.11.2021;10:05:00-000;234.84;234.84;234.84;234.84;251;234.802
29.11.2021;10:14:00-000;234.755;234.755;234.51;234.75;1478;234.632
29.11.2021;10:16:00-000;234.48;234.76;234.42;234.67;1474;234.629
29.11.2021;10:17:00-000;234.94;234.94;234.905;234.905;497;234.926
29.11.2021;10:19:00-000;234.75;234.75;234.75;234.75;236;234.798
29.11.2021;10:20:00-000;234.5;234.5;234.5;234.5;496;234.545
29.11.2021;10:21:00-000;234.73;234.73;234.54;234.54;410;234.588
29.11.2021;10:23:00-000;234.56;234.56;234.56;234.56;215;234.689
29.11.2021;10:26:00-000;234.29;234.29;233.98;233.98;1071;234.187
29.11.2021;10:29:00-000;233.98;233.98;233.98;233.98;111;233.973
29.11.2021;10:35:00-000;233.905;233.935;233.905;233.935;228;233.924
29.11.2021;10:37:00-000;233.77;233.77;233.77;233.77;242;233.725
29.11.2021;10:38:00-000;233.43;233.43;233.43;233.43;302;233.477
29.11.2021;10:45:00-000;233.635;233.635;233.635;233.635;100;233.635
29.11.2021;10:48:00-000;233.46;233.46;233.38;233.38;645;233.384
29.11.2021;10:51:00-000;233.39;233.39;233.39;233.39;321;233.421
29.11.2021;10:52:00-000;233.6;233.6;233.6;233.6;368;233.555
29.11.2021;10:53:00-000;233.39;233.39;233.31;233.31;541;233.342
29.11.2021;10:54:00-000;233.08;233.08;233.08;233.08;296;233.163
29.11.2021;10:56:00-000;233.23;233.23;233.23;233.23;398;233.213
29.11.2021;10:58:00-000;233.35;233.35;233.07;233.07;2008;233.143
29.11.2021;10:59:00-000;232.96;232.96;232.96;232.96;394;232.94
29.11.2021;11:00:00-000;232.89;233;232.89;233;815;232.886
29.11.2021;11:01:00-000;233.08;233.08;232.9;232.9;213;232.993
29.11.2021;11:02:00-000;232.86;233.065;232.86;233.04;1578;233.019
29.11.2021;11:04:00-000;232.92;232.92;232.8;232.8;327;232.856
29.11.2021;11:05:00-000;233.07;233.07;233.07;233.07;480;233.07
29.11.2021;11:06:00-000;233.04;233.04;233.04;233.04;531;232.979
29.11.2021;11:11:00-000;233.2;233.2;233.05;233.08;1316;233.144
29.11.2021;11:12:00-000;233.1;233.1;232.98;232.98;603;233.062
29.11.2021;11:16:00-000;233.115;233.115;233.115;233.115;568;233.119
29.11.2021;11:18:00-000;232.91;233;232.87;232.87;1949;232.958
29.11.2021;11:19:00-000;232.93;233.05;232.75;233.05;2202;232.879
29.11.2021;11:20:00-000;232.79;233.11;232.75;233.095;3015;232.947
29.11.2021;11:22:00-000;232.79;232.79;232.79;232.79;429;232.858
29.11.2021;11:23:00-000;232.99;232.99;232.99;232.99;127;232.969
29.11.2021;11:24:00-000;232.89;232.89;232.89;232.89;200;232.808
29.11.2021;11:27:00-000;232.69;232.705;232.37;232.37;2199;232.489
29.11.2021;11:28:00-000;232.12;232.415;232;232;825;232.149
29.11.2021;11:30:00-000;232.22;232.38;232.035;232.38;775;232.26
29.11.2021;11:31:00-000;232.18;232.68;232.02;232.68;1067;232.378
29.11.2021;11:32:00-000;232.33;232.36;232.33;232.36;406;232.4
29.11.2021;11:33:00-000;232.485;232.66;232.485;232.66;239;232.578
29.11.2021;11:35:00-000;232.66;232.81;232.66;232.81;741;232.704
