Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:20:00-000;27.45;27.45;27.45;27.45;280;27.45
29.11.2021;07:22:00-000;27.45;27.45;27.45;27.45;181;27.441
29.11.2021;09:30:00-000;27.56;27.77;27.56;27.581;4449;27.6072
29.11.2021;09:31:00-000;27.7824;27.7824;27.7824;27.7824;731;27.782
29.11.2021;09:32:00-000;27.7293;27.7293;27.7293;27.7293;244;27.7111
29.11.2021;09:34:00-000;27.59;27.9699;27.59;27.765;433;27.7458
29.11.2021;09:36:00-000;27.7;27.7671;27.7;27.7671;309;27.6994
29.11.2021;09:38:00-000;27.66;27.67;27.56;27.56;2068;27.6034
29.11.2021;09:40:00-000;27.56;27.7424;27.51;27.6;1639;27.6064
29.11.2021;09:41:00-000;27.6;27.6;27.6;27.6;283;27.611
29.11.2021;09:42:00-000;27.61;27.61;27.57;27.57;778;27.5757
29.11.2021;09:45:00-000;27.57;27.57;27.57;27.57;184;27.5925
29.11.2021;09:46:00-000;27.7018;27.7018;27.46;27.564;1723;27.6366
29.11.2021;09:47:00-000;27.575;27.575;27.41;27.46;1047;27.5267
29.11.2021;09:48:00-000;27.3213;27.3213;27.3213;27.3213;320;27.3324
29.11.2021;09:49:00-000;27.3213;27.45;27.3213;27.45;790;27.4154
29.11.2021;09:50:00-000;27.4916;27.5448;27.4916;27.4916;668;27.5115
29.11.2021;09:53:00-000;27.56;27.613;27.46;27.587;1467;27.5511
29.11.2021;09:54:00-000;27.5;27.5854;27.5;27.5854;540;27.5353
29.11.2021;09:55:00-000;27.5;27.5;27.5;27.5;164;27.4775
29.11.2021;09:58:00-000;27.4665;27.4665;27.4665;27.4665;108;27.4635
29.11.2021;10:00:00-000;27.42;27.46;27.38;27.38;1305;27.4285
29.11.2021;10:01:00-000;27.2933;27.2933;27.2933;27.2933;218;27.3424
29.11.2021;10:05:00-000;27.46;27.46;27.46;27.46;179;27.4485
29.11.2021;10:06:00-000;27.3;27.35;27.3;27.35;469;27.3602
29.11.2021;10:07:00-000;27.48;27.48;27.47;27.47;414;27.4766
29.11.2021;10:09:00-000;27.47;27.48;27.47;27.48;582;27.4737
29.11.2021;10:21:00-000;27.48;27.48;27.48;27.48;100;27.48
29.11.2021;10:22:00-000;27.49;27.5;27.49;27.5;532;27.4957
