Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;21.25;21.25;21.25;21.25;153;21.25
29.11.2021;09:52:00-000;21.25;21.25;21.25;21.25;200;21.2227
29.11.2021;10:33:00-000;21.34;21.34;21.34;21.34;220;21.3436
29.11.2021;12:01:00-000;21.34;21.34;21.3175;21.33;921;21.332
29.11.2021;12:05:00-000;21.34;21.34;21.34;21.34;512;21.34
29.11.2021;12:13:00-000;21.34;21.34;21.34;21.34;376;21.3238
29.11.2021;12:58:00-000;21.32;21.32;21.32;21.32;141;21.32
29.11.2021;13:18:00-000;21.26;21.26;21.26;21.26;542;21.2589
29.11.2021;13:19:00-000;21.26;21.26;21.26;21.26;100;21.26
29.11.2021;13:21:00-000;21.315;21.315;21.315;21.315;127;21.315
29.11.2021;13:33:00-000;21.25;21.25;21.25;21.25;270;21.2656
29.11.2021;13:36:00-000;21.26;21.26;21.25;21.25;1501;21.2537
29.11.2021;14:22:00-000;21.245;21.245;21.245;21.245;266;21.2306
29.11.2021;14:57:00-000;21.25;21.25;21.25;21.25;220;21.2523
29.11.2021;15:06:00-000;21.25;21.25;21.25;21.25;100;21.25
29.11.2021;15:11:00-000;21.25;21.25;21.25;21.25;472;21.2481
29.11.2021;15:13:00-000;21.25;21.25;21.25;21.25;211;21.2471
29.11.2021;15:19:00-000;21.25;21.25;21.25;21.25;100;21.25
29.11.2021;15:21:00-000;21.225;21.225;21.225;21.225;277;21.2431
29.11.2021;15:29:00-000;21.25;21.25;21.25;21.25;587;21.2512
29.11.2021;15:32:00-000;21.25;21.25;21.25;21.25;691;21.2466
29.11.2021;15:33:00-000;21.27;21.27;21.27;21.27;400;21.2599
29.11.2021;15:40:00-000;21.24;21.24;21.24;21.24;171;21.2253
29.11.2021;15:49:00-000;21.18;21.18;21.18;21.18;261;21.1744
29.11.2021;15:51:00-000;21.22;21.24;21.22;21.24;1017;21.2368
29.11.2021;15:52:00-000;21.28;21.28;21.28;21.28;558;21.248
29.11.2021;15:54:00-000;21.25;21.25;21.25;21.25;443;21.2341
29.11.2021;15:55:00-000;21.25;21.25;21.25;21.25;242;21.2542
29.11.2021;15:57:00-000;21.25;21.25;21.25;21.25;568;21.2529
29.11.2021;15:59:00-000;21.25;21.2573;21.25;21.25;3990;21.2506
29.11.2021;16:00:00-000;21.25;21.25;21.25;21.25;666;21.25
