Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;3.87;3.87;3.87;3.87;1250;3.87
29.11.2021;09:31:00-000;3.87;3.87;3.87;3.87;125;3.87
29.11.2021;09:32:00-000;3.8499;3.87;3.8499;3.87;1108;3.857
29.11.2021;09:33:00-000;3.81;3.81;3.81;3.81;155;3.81
29.11.2021;09:35:00-000;3.8325;3.835;3.8325;3.835;700;3.8343
29.11.2021;09:36:00-000;3.8231;3.8231;3.8231;3.8231;500;3.8231
29.11.2021;09:38:00-000;3.8052;3.8052;3.8052;3.8052;500;3.8052
29.11.2021;09:40:00-000;3.83;3.83;3.83;3.83;200;3.83
29.11.2021;09:41:00-000;3.8;3.8006;3.8;3.8006;500;3.8004
29.11.2021;09:52:00-000;3.7901;3.7901;3.7901;3.7901;500;3.7902
29.11.2021;09:54:00-000;3.79;3.815;3.79;3.815;200;3.8025
29.11.2021;09:55:00-000;3.7931;3.7931;3.7931;3.7931;500;3.7931
29.11.2021;10:20:00-000;3.8;3.8;3.76;3.8;1409;3.7836
29.11.2021;10:26:00-000;3.8;3.8;3.8;3.8;200;3.8
29.11.2021;10:41:00-000;3.75;3.7516;3.71;3.71;3266;3.7482
29.11.2021;10:46:00-000;3.712;3.712;3.712;3.712;500;3.712
29.11.2021;10:49:00-000;3.745;3.745;3.745;3.745;500;3.745
29.11.2021;11:02:00-000;3.71;3.71;3.71;3.71;600;3.71
29.11.2021;11:05:00-000;3.7003;3.7003;3.7003;3.7003;189;3.7003
29.11.2021;11:06:00-000;3.71;3.71;3.71;3.71;101;3.71
29.11.2021;11:07:00-000;3.75;3.75;3.75;3.75;100;3.75
29.11.2021;12:02:00-000;3.7101;3.7101;3.7101;3.7101;1100;3.7101
29.11.2021;12:05:00-000;3.7112;3.7112;3.7112;3.7112;300;3.7112
29.11.2021;12:20:00-000;3.74;3.74;3.74;3.74;1000;3.74
29.11.2021;12:21:00-000;3.74;3.74;3.74;3.74;150;3.7467
29.11.2021;12:23:00-000;3.74;3.74;3.74;3.74;500;3.74
29.11.2021;12:37:00-000;3.77;3.79;3.77;3.77;1242;3.7723
29.11.2021;12:44:00-000;3.79;3.79;3.79;3.79;300;3.79
29.11.2021;13:04:00-000;3.7603;3.7603;3.7603;3.7603;200;3.7603
29.11.2021;13:26:00-000;3.805;3.82;3.77;3.77;26772;3.8173
29.11.2021;13:28:00-000;3.795;3.825;3.795;3.81;11217;3.8086
29.11.2021;13:29:00-000;3.795;3.86;3.795;3.815;7800;3.817
29.11.2021;13:30:00-000;3.86;3.86;3.86;3.86;100;3.86
29.11.2021;13:31:00-000;3.86;3.87;3.855;3.855;10843;3.8696
29.11.2021;13:36:00-000;3.87;3.87;3.86;3.86;1101;3.8691
29.11.2021;13:38:00-000;3.875;3.875;3.875;3.875;112;3.8745
29.11.2021;13:42:00-000;3.89;3.893;3.89;3.893;800;3.8911
29.11.2021;13:44:00-000;3.85;3.9;3.85;3.9;5012;3.898
29.11.2021;13:53:00-000;3.875;3.875;3.875;3.875;1000;3.875
29.11.2021;13:54:00-000;3.8655;3.8655;3.8655;3.8655;500;3.8655
29.11.2021;13:55:00-000;3.875;3.875;3.875;3.875;243;3.8769
29.11.2021;13:57:00-000;3.88;3.89;3.88;3.88;2623;3.8804
29.11.2021;13:58:00-000;3.88;3.88;3.88;3.88;580;3.88
29.11.2021;14:04:00-000;3.885;3.885;3.885;3.885;1000;3.885
29.11.2021;14:13:00-000;3.8603;3.8606;3.8603;3.8606;2000;3.8611
29.11.2021;14:20:00-000;3.86;3.86;3.85;3.85;671;3.8566
29.11.2021;14:22:00-000;3.84;3.84;3.76;3.76;5492;3.8195
29.11.2021;14:25:00-000;3.76;3.78;3.75;3.76;4395;3.7557
29.11.2021;14:27:00-000;3.785;3.785;3.76;3.785;400;3.7788
29.11.2021;14:29:00-000;3.76;3.76;3.76;3.76;14125;3.76
29.11.2021;14:30:00-000;3.75;3.77;3.75;3.77;539;3.7692
29.11.2021;14:31:00-000;3.77;3.77;3.77;3.77;100;3.77
29.11.2021;14:33:00-000;3.7885;3.7885;3.7885;3.7885;100;3.7885
29.11.2021;14:38:00-000;3.77;3.77;3.77;3.77;1000;3.77
29.11.2021;14:41:00-000;3.77;3.77;3.77;3.77;1003;3.7701
29.11.2021;14:44:00-000;3.775;3.775;3.76;3.76;200;3.7675
29.11.2021;14:47:00-000;3.76;3.775;3.755;3.755;3576;3.7605
29.11.2021;14:52:00-000;3.75;3.755;3.735;3.75;7315;3.7493
29.11.2021;14:55:00-000;3.7512;3.7512;3.7512;3.7512;126;3.7633
29.11.2021;15:01:00-000;3.82;3.82;3.82;3.82;656;3.82
29.11.2021;15:02:00-000;3.79;3.79;3.79;3.79;100;3.79
29.11.2021;15:24:00-000;3.7701;3.7701;3.7701;3.7701;120;3.7701
29.11.2021;15:36:00-000;3.8;3.8;3.8;3.8;124;3.8039
29.11.2021;15:37:00-000;3.815;3.815;3.81;3.81;700;3.8114
29.11.2021;15:52:00-000;3.8;3.8;3.8;3.8;506;3.8021
29.11.2021;15:53:00-000;3.8;3.8;3.79;3.79;758;3.7921
29.11.2021;15:54:00-000;3.78;3.78;3.77;3.77;1200;3.7792
29.11.2021;15:55:00-000;3.762;3.8;3.76;3.8;2269;3.7686
29.11.2021;15:58:00-000;3.77;3.77;3.77;3.77;150;3.78
29.11.2021;15:59:00-000;3.79;3.8;3.76;3.76;482;3.7866
29.11.2021;16:00:00-000;3.78;3.78;3.78;3.78;329;3.78
