Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;15.17;15.17;13.712;13.712;953;14.864
29.11.2021;09:36:00-000;14.98;14.98;14.98;14.98;141;14.9771
29.11.2021;09:40:00-000;14.99;14.99;14.99;14.99;100;14.99
29.11.2021;09:43:00-000;14.97;14.97;14.97;14.97;101;14.97
29.11.2021;09:46:00-000;14.97;14.97;14.97;14.97;838;14.9644
29.11.2021;09:54:00-000;14.4;14.4;14.4;14.4;101;14.4019
29.11.2021;09:58:00-000;14.2;14.2;14.2;14.2;100;14.2
29.11.2021;10:45:00-000;14.24;14.24;14.24;14.24;102;14.2414
29.11.2021;10:49:00-000;14.14;14.14;14.14;14.14;448;14.1507
29.11.2021;10:52:00-000;14.16;14.16;14.16;14.16;357;14.1596
29.11.2021;10:54:00-000;14.2;14.2;14.2;14.2;419;14.2019
29.11.2021;10:56:00-000;14.51;14.51;14.51;14.51;104;14.5119
29.11.2021;11:34:00-000;14.19;14.19;14.19;14.19;100;14.19
29.11.2021;11:37:00-000;14.22;14.22;14.22;14.22;272;14.2255
29.11.2021;12:17:00-000;14.365;14.365;14.365;14.365;101;14.3659
29.11.2021;12:37:00-000;14.48;14.48;14.48;14.48;428;14.4877
29.11.2021;12:39:00-000;14.6;14.6;14.53;14.53;476;14.5549
29.11.2021;12:48:00-000;14.53;14.53;14.53;14.53;291;14.5334
29.11.2021;13:14:00-000;14.7086;14.7086;14.7086;14.7086;150;14.7086
29.11.2021;14:16:00-000;14.41;14.41;14.41;14.41;120;14.4067
29.11.2021;14:35:00-000;14.28;14.28;14.28;14.28;109;14.281
29.11.2021;14:36:00-000;14.26;14.26;14.26;14.26;488;14.2601
29.11.2021;14:46:00-000;14.25;14.25;14.25;14.25;565;14.2516
29.11.2021;14:47:00-000;14.25;14.25;14.25;14.25;406;14.2526
29.11.2021;14:52:00-000;14.26;14.26;14.26;14.26;123;14.2581
29.11.2021;14:54:00-000;14.25;14.25;14.25;14.25;322;14.2506
29.11.2021;14:55:00-000;14.25;14.26;14.25;14.25;3356;14.2522
29.11.2021;14:56:00-000;14.25;14.25;14.08;14.08;1839;14.1987
29.11.2021;14:57:00-000;14.12;14.15;14.12;14.12;1155;14.1315
29.11.2021;15:27:00-000;13.97;13.97;13.97;13.97;611;13.9907
29.11.2021;15:32:00-000;13.95;13.95;13.95;13.95;331;13.9505
29.11.2021;15:43:00-000;13.75;13.75;13.75;13.75;616;13.7315
29.11.2021;15:45:00-000;13.85;13.89;13.81;13.81;590;13.8494
29.11.2021;15:57:00-000;13.87;13.87;13.86;13.86;716;13.8645
29.11.2021;15:58:00-000;13.89;13.89;13.89;13.89;326;13.9113
29.11.2021;15:59:00-000;13.9;13.9;13.82;13.82;650;13.8494
29.11.2021;16:00:00-000;13.84;13.84;13.84;13.84;2414;13.84
