Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:38:00-000;98.3;98.3;98.3;98.3;199;98.3995
29.11.2021;09:30:00-000;98.6;98.6;96.96;96.96;1132;97.7003
29.11.2021;09:41:00-000;97.27;97.27;97.27;97.27;503;97.2694
29.11.2021;09:45:00-000;97.24;97.25;97.24;97.25;600;97.2417
29.11.2021;09:59:00-000;97.203;97.203;97.203;97.203;530;97.1997
29.11.2021;10:01:00-000;97.29;97.29;97.145;97.145;460;97.218
29.11.2021;10:27:00-000;97.02;97.02;97.02;97.02;107;97.0222
29.11.2021;10:29:00-000;97.12;97.14;97.12;97.14;773;97.133
29.11.2021;10:39:00-000;97.02;97.02;97;97;533;97.0265
29.11.2021;10:42:00-000;97;97;97;97;268;97
29.11.2021;10:58:00-000;96.94;96.94;96.94;96.94;100;96.94
29.11.2021;11:06:00-000;96.9336;96.9336;96.9336;96.9336;250;96.9336
29.11.2021;11:10:00-000;96.89;96.89;96.89;96.89;210;96.89
29.11.2021;11:17:00-000;97.19;97.19;97.19;97.19;260;97.1887
29.11.2021;11:24:00-000;97.3;97.3;97.3;97.3;100;97.3
29.11.2021;11:27:00-000;97.31;97.38;97.235;97.38;1340;97.3429
29.11.2021;11:29:00-000;97.4299;97.4299;97.4299;97.4299;150;97.4199
29.11.2021;11:31:00-000;97.37;97.37;97.37;97.37;764;97.37
29.11.2021;11:45:00-000;97.37;97.37;97.37;97.37;300;97.37
29.11.2021;11:49:00-000;97.4;97.42;97.3;97.3;610;97.3579
29.11.2021;11:54:00-000;97.2;97.36;97.195;97.195;800;97.2763
29.11.2021;12:00:00-000;97.33;97.33;97.33;97.33;200;97.33
29.11.2021;12:02:00-000;97.34;97.34;97.3352;97.3352;500;97.3381
29.11.2021;12:05:00-000;97.34;97.34;97.34;97.34;200;97.34
29.11.2021;12:08:00-000;97.34;97.34;97.34;97.34;100;97.34
29.11.2021;12:14:00-000;97.34;97.34;97.3376;97.3376;312;97.3388
29.11.2021;12:44:00-000;97.36;97.36;97.36;97.36;100;97.36
29.11.2021;13:09:00-000;97.57;97.57;97.57;97.57;100;97.57
29.11.2021;13:20:00-000;97.5629;97.5629;97.5629;97.5629;166;97.5629
29.11.2021;13:26:00-000;97.48;97.48;97.48;97.48;228;97.4837
29.11.2021;14:36:00-000;97.5;97.5;97.5;97.5;100;97.5
29.11.2021;14:42:00-000;97.5;97.5;97.49;97.49;216;97.496
29.11.2021;14:43:00-000;97.58;97.58;97.58;97.58;221;97.5819
29.11.2021;15:29:00-000;97.69;97.7;97.69;97.7;200;97.695
29.11.2021;15:37:00-000;97.61;97.61;97.61;97.61;100;97.61
29.11.2021;15:38:00-000;97.63;97.63;97.63;97.63;243;97.6318
29.11.2021;15:58:00-000;97.49;97.64;97.49;97.64;732;97.6072
29.11.2021;15:59:00-000;97.64;97.64;97.55;97.57;475;97.5946
29.11.2021;16:10:00-000;97.57;97.57;97.57;97.57;0;0
29.11.2021;18:30:00-000;97.57;97.57;97.57;97.57;0;0
29.11.2021;19:00:00-000;97.57;97.57;97.57;97.57;0;0
