Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;06:40:00-000;3;3;3;3;105;3
29.11.2021;07:05:00-000;3.005;3.005;3;3;1690;3.0024
29.11.2021;08:38:00-000;2.99;2.99;2.99;2.99;1000;2.99
29.11.2021;09:29:00-000;2.95;2.95;2.95;2.95;801;2.9499
29.11.2021;09:30:00-000;2.9;2.93;2.9;2.92;19567;2.9027
29.11.2021;09:31:00-000;2.91;2.92;2.88;2.89;17813;2.9028
29.11.2021;09:32:00-000;2.88;2.88;2.87;2.87;2857;2.8753
29.11.2021;09:33:00-000;2.87;2.88;2.86;2.865;3570;2.8657
29.11.2021;09:34:00-000;2.865;2.865;2.855;2.855;10450;2.8591
29.11.2021;09:35:00-000;2.855;2.855;2.855;2.855;1043;2.8551
29.11.2021;09:36:00-000;2.855;2.86;2.85;2.855;1823;2.8533
29.11.2021;09:37:00-000;2.85;2.855;2.85;2.855;839;2.8511
29.11.2021;09:38:00-000;2.855;2.8582;2.835;2.835;14845;2.8467
29.11.2021;09:39:00-000;2.8337;2.835;2.8337;2.835;1353;2.8338
29.11.2021;09:40:00-000;2.835;2.835;2.8342;2.835;3539;2.8345
29.11.2021;09:41:00-000;2.835;2.835;2.835;2.835;2880;2.835
29.11.2021;09:42:00-000;2.8387;2.84;2.8301;2.835;5234;2.8366
29.11.2021;09:43:00-000;2.8301;2.835;2.8301;2.835;2623;2.8322
29.11.2021;09:44:00-000;2.835;2.835;2.835;2.835;757;2.8356
29.11.2021;09:45:00-000;2.835;2.84;2.83;2.84;2518;2.8363
29.11.2021;09:46:00-000;2.835;2.84;2.835;2.835;851;2.8356
29.11.2021;09:47:00-000;2.835;2.84;2.835;2.835;1409;2.8368
29.11.2021;09:48:00-000;2.835;2.835;2.835;2.835;118;2.8348
29.11.2021;09:49:00-000;2.83;2.838;2.83;2.83;1000;2.8323
29.11.2021;09:50:00-000;2.83;2.83;2.825;2.825;4037;2.8295
29.11.2021;09:51:00-000;2.825;2.825;2.825;2.825;1000;2.825
29.11.2021;09:52:00-000;2.825;2.825;2.815;2.815;3462;2.8194
29.11.2021;09:53:00-000;2.8199;2.82;2.815;2.82;1465;2.8162
29.11.2021;09:54:00-000;2.815;2.84;2.815;2.835;22139;2.8313
29.11.2021;09:55:00-000;2.835;2.835;2.83;2.83;1250;2.8312
29.11.2021;09:56:00-000;2.835;2.835;2.835;2.835;761;2.835
29.11.2021;09:57:00-000;2.835;2.835;2.835;2.835;101;2.835
29.11.2021;09:58:00-000;2.835;2.835;2.835;2.835;271;2.8348
29.11.2021;09:59:00-000;2.835;2.84;2.835;2.835;1913;2.8351
29.11.2021;10:00:00-000;2.835;2.835;2.825;2.83;6517;2.8276
29.11.2021;10:01:00-000;2.825;2.825;2.825;2.825;1144;2.825
29.11.2021;10:02:00-000;2.83;2.83;2.825;2.825;4237;2.8282
29.11.2021;10:03:00-000;2.82;2.82;2.815;2.815;2006;2.8192
29.11.2021;10:04:00-000;2.815;2.82;2.815;2.815;5903;2.8194
29.11.2021;10:05:00-000;2.815;2.82;2.815;2.82;4994;2.8198
29.11.2021;10:06:00-000;2.82;2.82;2.82;2.82;358;2.82
29.11.2021;10:07:00-000;2.815;2.815;2.815;2.815;150;2.8167
29.11.2021;10:08:00-000;2.815;2.815;2.81;2.81;3670;2.8126
29.11.2021;10:09:00-000;2.815;2.815;2.815;2.815;425;2.815
29.11.2021;10:10:00-000;2.815;2.815;2.815;2.815;132;2.8145
29.11.2021;10:11:00-000;2.815;2.8154;2.815;2.8154;1311;2.8153
29.11.2021;10:12:00-000;2.8181;2.8181;2.815;2.815;620;2.8173
29.11.2021;10:14:00-000;2.82;2.82;2.815;2.815;948;2.8154
29.11.2021;10:15:00-000;2.815;2.82;2.815;2.815;1093;2.8154
29.11.2021;10:16:00-000;2.815;2.815;2.815;2.815;188;2.8129
29.11.2021;10:17:00-000;2.815;2.82;2.815;2.815;830;2.8155
29.11.2021;10:18:00-000;2.815;2.815;2.81;2.81;1440;2.8131
29.11.2021;10:19:00-000;2.815;2.82;2.815;2.815;1338;2.8161
29.11.2021;10:20:00-000;2.815;2.82;2.815;2.815;575;2.8166
29.11.2021;10:21:00-000;2.82;2.82;2.815;2.815;2432;2.8181
29.11.2021;10:22:00-000;2.815;2.8182;2.815;2.815;2645;2.8162
29.11.2021;10:23:00-000;2.815;2.815;2.815;2.815;700;2.815
29.11.2021;10:24:00-000;2.815;2.815;2.815;2.815;203;2.815
29.11.2021;10:25:00-000;2.82;2.82;2.815;2.8155;450;2.8163
29.11.2021;10:26:00-000;2.815;2.815;2.81;2.81;10774;2.8102
29.11.2021;10:27:00-000;2.81;2.815;2.8;2.8;9114;2.8091
29.11.2021;10:28:00-000;2.805;2.81;2.8;2.8;18540;2.8077
29.11.2021;10:29:00-000;2.805;2.805;2.8;2.8016;3499;2.8039
29.11.2021;10:30:00-000;2.805;2.805;2.805;2.805;109;2.8054
29.11.2021;10:31:00-000;2.8014;2.805;2.8;2.8;1232;2.8013
29.11.2021;10:32:00-000;2.8;2.805;2.8;2.8012;500;2.8032
29.11.2021;10:34:00-000;2.805;2.805;2.8;2.8;4816;2.8005
29.11.2021;10:35:00-000;2.805;2.805;2.805;2.805;222;2.8045
29.11.2021;10:36:00-000;2.805;2.805;2.8;2.805;822;2.8034
29.11.2021;10:37:00-000;2.8;2.8;2.78;2.78;14672;2.7948
29.11.2021;10:38:00-000;2.78;2.78;2.78;2.78;200;2.78
29.11.2021;10:39:00-000;2.78;2.785;2.78;2.7802;1846;2.7813
29.11.2021;10:40:00-000;2.78;2.78;2.7706;2.7706;2044;2.7771
29.11.2021;10:41:00-000;2.775;2.775;2.77;2.7713;1821;2.7721
29.11.2021;10:42:00-000;2.77;2.77;2.765;2.765;2936;2.7677
29.11.2021;10:43:00-000;2.765;2.765;2.76;2.76;916;2.7636
29.11.2021;10:44:00-000;2.765;2.765;2.76;2.765;2780;2.7618
29.11.2021;10:45:00-000;2.7617;2.7625;2.76;2.76;2500;2.7615
29.11.2021;10:47:00-000;2.76;2.762;2.76;2.76;981;2.7602
29.11.2021;10:48:00-000;2.7625;2.7625;2.7625;2.7625;103;2.7626
29.11.2021;10:49:00-000;2.76;2.76;2.76;2.76;7435;2.76
29.11.2021;10:50:00-000;2.7601;2.765;2.76;2.765;1054;2.7612
29.11.2021;10:51:00-000;2.765;2.765;2.76;2.765;300;2.7633
29.11.2021;10:52:00-000;2.765;2.765;2.7601;2.765;600;2.7634
29.11.2021;10:53:00-000;2.765;2.765;2.76;2.76;1600;2.7647
29.11.2021;10:54:00-000;2.76;2.765;2.76;2.765;701;2.7614
29.11.2021;10:55:00-000;2.765;2.765;2.7609;2.765;700;2.7621
29.11.2021;10:56:00-000;2.765;2.765;2.7501;2.755;26201;2.7519
29.11.2021;10:57:00-000;2.755;2.755;2.7523;2.755;726;2.7548
29.11.2021;10:59:00-000;2.7548;2.765;2.7548;2.76;17066;2.7592
29.11.2021;11:00:00-000;2.765;2.765;2.765;2.765;200;2.765
29.11.2021;11:01:00-000;2.77;2.77;2.765;2.77;11072;2.7697
29.11.2021;11:02:00-000;2.77;2.78;2.77;2.78;21866;2.7777
29.11.2021;11:03:00-000;2.7719;2.775;2.77;2.775;4002;2.7739
29.11.2021;11:04:00-000;2.775;2.775;2.775;2.775;408;2.775
29.11.2021;11:05:00-000;2.7716;2.775;2.77;2.771;2155;2.7726
29.11.2021;11:06:00-000;2.77;2.77;2.77;2.77;2796;2.7702
29.11.2021;11:07:00-000;2.775;2.78;2.775;2.775;301;2.7767
29.11.2021;11:08:00-000;2.775;2.78;2.775;2.78;1888;2.7754
29.11.2021;11:09:00-000;2.78;2.78;2.775;2.78;2074;2.7771
29.11.2021;11:10:00-000;2.78;2.78;2.775;2.78;2315;2.7787
29.11.2021;11:11:00-000;2.78;2.79;2.78;2.79;9471;2.7809
29.11.2021;11:12:00-000;2.79;2.79;2.7885;2.7885;391;2.7893
29.11.2021;11:13:00-000;2.79;2.79;2.79;2.79;5473;2.79
29.11.2021;11:14:00-000;2.795;2.8;2.7901;2.795;2497;2.7928
29.11.2021;11:15:00-000;2.795;2.795;2.795;2.795;254;2.794
29.11.2021;11:16:00-000;2.795;2.795;2.795;2.795;1003;2.795
29.11.2021;11:17:00-000;2.79;2.795;2.79;2.79;2192;2.7915
29.11.2021;11:18:00-000;2.8;2.8;2.795;2.8;798;2.7981
29.11.2021;11:19:00-000;2.8;2.8;2.79;2.795;1892;2.7913
29.11.2021;11:20:00-000;2.79;2.795;2.79;2.795;1028;2.7927
29.11.2021;11:21:00-000;2.795;2.8;2.795;2.8;424;2.7954
29.11.2021;11:22:00-000;2.795;2.795;2.795;2.795;300;2.795
29.11.2021;11:23:00-000;2.795;2.8;2.795;2.795;1008;2.7947
29.11.2021;11:24:00-000;2.79;2.8;2.79;2.795;612;2.7949
29.11.2021;11:25:00-000;2.79;2.8;2.79;2.795;1519;2.7949
29.11.2021;11:26:00-000;2.795;2.8;2.795;2.8;563;2.7959
29.11.2021;11:27:00-000;2.8;2.8;2.79;2.8;2054;2.7932
29.11.2021;11:28:00-000;2.8;2.8;2.79;2.8;400;2.795
29.11.2021;11:29:00-000;2.795;2.8;2.795;2.8;1326;2.7955
29.11.2021;11:30:00-000;2.795;2.8;2.795;2.795;576;2.7957
29.11.2021;11:31:00-000;2.795;2.8;2.7926;2.8;1486;2.7953
29.11.2021;11:32:00-000;2.795;2.8;2.795;2.8;235;2.7977
29.11.2021;11:33:00-000;2.79;2.8;2.79;2.8;1246;2.7914
29.11.2021;11:34:00-000;2.79;2.795;2.79;2.795;3905;2.7905
29.11.2021;11:35:00-000;2.79;2.8;2.79;2.8;1285;2.7915
29.11.2021;11:36:00-000;2.79;2.795;2.78;2.785;10316;2.7875
29.11.2021;11:37:00-000;2.785;2.785;2.785;2.785;1565;2.7852
29.11.2021;11:38:00-000;2.785;2.785;2.785;2.785;1053;2.7853
29.11.2021;11:39:00-000;2.79;2.79;2.785;2.785;1324;2.786
29.11.2021;11:40:00-000;2.785;2.785;2.785;2.785;215;2.7856
29.11.2021;11:41:00-000;2.785;2.785;2.7801;2.7801;774;2.7815
29.11.2021;11:42:00-000;2.788;2.788;2.78;2.785;2309;2.784
29.11.2021;11:43:00-000;2.7849;2.785;2.78;2.785;3340;2.7848
29.11.2021;11:44:00-000;2.785;2.785;2.785;2.785;487;2.785
29.11.2021;11:45:00-000;2.785;2.785;2.785;2.785;417;2.785
29.11.2021;11:46:00-000;2.785;2.785;2.785;2.785;393;2.785
29.11.2021;11:47:00-000;2.785;2.785;2.785;2.785;253;2.7848
29.11.2021;11:48:00-000;2.785;2.785;2.785;2.785;206;2.785
29.11.2021;11:49:00-000;2.7849;2.7849;2.7849;2.7849;1207;2.7849
29.11.2021;11:50:00-000;2.7856;2.7856;2.78;2.78;436;2.7832
29.11.2021;11:51:00-000;2.78;2.78;2.78;2.78;856;2.78
29.11.2021;11:52:00-000;2.785;2.785;2.785;2.785;100;2.785
29.11.2021;11:53:00-000;2.785;2.785;2.785;2.785;214;2.7841
29.11.2021;11:54:00-000;2.7892;2.79;2.785;2.79;2740;2.789
29.11.2021;11:55:00-000;2.79;2.79;2.79;2.79;278;2.79
29.11.2021;11:56:00-000;2.785;2.79;2.78;2.79;303;2.785
29.11.2021;11:57:00-000;2.785;2.79;2.78;2.785;400;2.785
29.11.2021;11:58:00-000;2.79;2.79;2.785;2.79;389;2.7869
29.11.2021;11:59:00-000;2.79;2.79;2.79;2.79;178;2.7883
29.11.2021;12:00:00-000;2.785;2.79;2.785;2.79;554;2.7873
29.11.2021;12:01:00-000;2.79;2.79;2.79;2.79;129;2.788
29.11.2021;12:02:00-000;2.785;2.785;2.785;2.785;314;2.785
29.11.2021;12:03:00-000;2.785;2.785;2.785;2.785;1075;2.7852
29.11.2021;12:05:00-000;2.785;2.785;2.785;2.785;655;2.7858
29.11.2021;12:06:00-000;2.785;2.79;2.785;2.79;255;2.7859
29.11.2021;12:07:00-000;2.79;2.79;2.785;2.785;200;2.7875
29.11.2021;12:08:00-000;2.785;2.785;2.78;2.785;1901;2.7847
29.11.2021;12:10:00-000;2.785;2.785;2.7846;2.7846;305;2.7848
29.11.2021;12:11:00-000;2.7801;2.7801;2.7801;2.7801;813;2.7802
29.11.2021;12:12:00-000;2.785;2.785;2.785;2.785;464;2.785
29.11.2021;12:14:00-000;2.785;2.7858;2.785;2.7858;1101;2.7857
29.11.2021;12:15:00-000;2.785;2.79;2.785;2.7862;3528;2.7865
29.11.2021;12:16:00-000;2.785;2.8;2.785;2.8;17624;2.7903
29.11.2021;12:17:00-000;2.8;2.8;2.8;2.8;310;2.7994
29.11.2021;12:18:00-000;2.8;2.81;2.795;2.805;14936;2.8004
29.11.2021;12:19:00-000;2.81;2.81;2.801;2.81;1634;2.8044
29.11.2021;12:20:00-000;2.81;2.81;2.81;2.81;1411;2.81
29.11.2021;12:21:00-000;2.81;2.81;2.81;2.81;1976;2.8094
29.11.2021;12:22:00-000;2.81;2.82;2.81;2.82;6223;2.8126
29.11.2021;12:23:00-000;2.817;2.817;2.815;2.815;809;2.8131
29.11.2021;12:25:00-000;2.82;2.82;2.82;2.82;105;2.8198
29.11.2021;12:26:00-000;2.815;2.82;2.815;2.82;3091;2.8177
29.11.2021;12:27:00-000;2.811;2.82;2.811;2.82;1177;2.8139
29.11.2021;12:28:00-000;2.82;2.82;2.82;2.82;719;2.82
29.11.2021;12:29:00-000;2.815;2.82;2.8136;2.82;731;2.8149
29.11.2021;12:30:00-000;2.82;2.825;2.82;2.825;2863;2.8225
29.11.2021;12:31:00-000;2.83;2.83;2.8244;2.8244;1314;2.825
